predicted_detail	zc	zs	count	fraction_of_false_rna	fraction_of_gdna_source
mrna	ambig_same_strand	unspliced	918169	0.36722500189977964	0.05036948101060763
nrna	ambig_same_strand	unspliced	854615	0.34180635046334623	0.046882996500513995
nrna	ambig_opp_strand	unspliced	361080	0.14441524783125156	0.019808349229074606
mrna	ambig_opp_strand	unspliced	217716	0.08707629914929868	0.011943598539817234
nrna	ambig_same_strand	spliced_implicit	41919	0.016765655183998657	0.0022996183431194706
nrna	unambig	unspliced	30380	0.012150590531498346	0.0016666047678611014
nrna	multimapper	unspliced	14926	0.0059697075139283845	0.000818819709186794
nrna	multimapper	spliced_annot	10662	0.004264305340580493	0.0005849025686285406
mrna	ambig_same_strand	spliced_annot	9159	0.0036631750716916837	0.0005024500680987435
nrna	ambig_opp_strand	spliced_implicit	6821	0.0027280835423090922	0.0003741906228301703
mrna	ambig_same_strand	spliced_implicit	6600	0.00263969379551972	0.00036206686859391936
mrna	multimapper	unspliced	6437	0.0025745013578424903	0.0003531249141119786
mrna	multimapper	spliced_annot	4780	0.001911778233724888	0.0002622241866483234
nrna	ambig_same_strand	spliced_unannot	4108	0.0016430094109083347	0.000225359196391488
nrna	multimapper	spliced_unannot	3598	0.001439033072163629	0.00019738130200013966
mrna	unambig	spliced_annot	3506	0.0014022373404685056	0.00019233430928640625
mrna	ambig_same_strand	spliced_unannot	1849	0.0007395142163509033	0.00010143358182275105
mrna	ambig_opp_strand	spliced_implicit	1669	0.0006675225673821837	9.155903086109869e-05
mrna	multimapper	spliced_unannot	1437	0.0005747333309336117	7.883183184385789e-05
nrna	ambig_opp_strand	spliced_unannot	555	0.00022197425098688552	3.04465321317614e-05
nrna	unambig	spliced_unannot	153	6.119290162341168e-05	8.393368317404495e-06
mrna	ambig_opp_strand	spliced_unannot	151	6.039299441264813e-05	8.283651084497246e-06
