predicted_detail	zc	zs	count	fraction_of_false_rna	fraction_of_gdna_source
nrna	ambig_same_strand	unspliced	877209	0.36648746343309835	0.04812247208066718
mrna	ambig_same_strand	unspliced	830287	0.3468840111666398	0.04554839607943023
nrna	ambig_opp_strand	unspliced	342908	0.14326287476635202	0.018811458450879347
mrna	ambig_opp_strand	unspliced	197129	0.08235814632442581	0.010814224202886474
nrna	ambig_same_strand	spliced_implicit	42010	0.01755127721993785	0.0023046104772167504
nrna	unambig	unspliced	28111	0.011744440702920089	0.0015421305671278283
nrna	multimapper	unspliced	15016	0.00627350580182306	0.0008237569846676202
nrna	multimapper	spliced_annot	10799	0.004511693470557221	0.0005924181990826871
mrna	ambig_same_strand	spliced_annot	9159	0.003826521020171644	0.0005024500680987435
nrna	ambig_opp_strand	spliced_implicit	6821	0.002849732490292694	0.0003741906228301703
mrna	ambig_same_strand	spliced_implicit	6509	0.002719382609487633	0.00035707473449663954
mrna	multimapper	unspliced	5931	0.0024779010995346676	0.0003253664541864448
mrna	multimapper	spliced_annot	4643	0.001939790053134288	0.0002547085561941769
nrna	ambig_same_strand	spliced_unannot	4135	0.0017275537087465605	0.00022684037903573584
nrna	multimapper	spliced_unannot	3643	0.0015220019736308875	0.00019984993974055275
mrna	unambig	spliced_annot	3506	0.0014647650067389217	0.00019233430928640625
mrna	ambig_same_strand	spliced_unannot	1822	0.0007612098808551955	9.99523991785032e-05
mrna	ambig_opp_strand	spliced_implicit	1669	0.0006972883046911752	9.155903086109869e-05
mrna	multimapper	spliced_unannot	1392	0.0005815610066687334	7.636319410344481e-05
nrna	ambig_opp_strand	spliced_unannot	558	0.0002331257483628974	3.061110798112227e-05
nrna	unambig	spliced_unannot	153	6.392157616402026e-05	8.393368317404495e-06
mrna	ambig_opp_strand	spliced_unannot	148	6.183263576650326e-05	8.119075235136373e-06
