flowcell	true_source	predicted_pool	predicted_detail	zc	zs	count
H7MFFDSXY	gdna	rna	nrna	ambig_same_strand	unspliced	1246318
H7MFFDSXY	gdna	rna	mrna	ambig_same_strand	unspliced	850384
H7MFFDSXY	gdna	rna	nrna	ambig_opp_strand	unspliced	470251
C6EL5ANXX	rna	gdna	gdna	ambig_same_strand	unspliced	371140
H7MFFDSXY	gdna	rna	mrna	ambig_opp_strand	unspliced	202715
H7MFFDSXY	gdna	unresolved	unresolved	missing	missing	147858
H7MFFDSXY	gdna	unresolved	unresolved	.	unspliced	145027
C6EL5ANXX	rna	unresolved	unresolved	missing	missing	98133
C6EL5ANXX	rna	gdna	gdna	ambig_opp_strand	unspliced	62411
H7MFFDSXY	gdna	rna	nrna	ambig_same_strand	spliced_implicit	42171
H7MFFDSXY	gdna	rna	nrna	unambig	unspliced	34969
H7MFFDSXY	gdna	rna	nrna	multimapper	unspliced	20419
C6EL5ANXX	rna	unresolved	unresolved	.	spliced_annot	11966
C6EL5ANXX	rna	unresolved	unresolved	.	unspliced	11703
H7MFFDSXY	gdna	rna	nrna	multimapper	spliced_annot	11060
C6EL5ANXX	rna	gdna	gdna	.	unknown	9491
C6EL5ANXX	rna	gdna	gdna	unambig	unspliced	9365
H7MFFDSXY	gdna	rna	mrna	ambig_same_strand	spliced_annot	9159
H7MFFDSXY	gdna	rna	nrna	ambig_opp_strand	spliced_implicit	6891
H7MFFDSXY	gdna	rna	mrna	multimapper	unspliced	6405
H7MFFDSXY	gdna	rna	mrna	ambig_same_strand	spliced_implicit	6348
H7MFFDSXY	gdna	rna	mrna	multimapper	spliced_annot	4382
H7MFFDSXY	gdna	rna	nrna	ambig_same_strand	spliced_unannot	4233
H7MFFDSXY	gdna	rna	nrna	multimapper	spliced_unannot	3734
H7MFFDSXY	gdna	rna	mrna	unambig	spliced_annot	3506
H7MFFDSXY	gdna	unresolved	unresolved	.	spliced_unannot	3391
C6EL5ANXX	rna	gdna	gdna	multimapper	unspliced	3093
C6EL5ANXX	rna	unresolved	unresolved	.	spliced_unannot	2545
H7MFFDSXY	gdna	rna	mrna	ambig_same_strand	spliced_unannot	1724
H7MFFDSXY	gdna	rna	mrna	ambig_opp_strand	spliced_implicit	1599
H7MFFDSXY	gdna	rna	mrna	multimapper	spliced_unannot	1301
H7MFFDSXY	gdna	rna	nrna	ambig_opp_strand	spliced_unannot	561
H7MFFDSXY	gdna	unresolved	unresolved	.	spliced_annot	186
H7MFFDSXY	gdna	rna	nrna	unambig	spliced_unannot	153
H7MFFDSXY	gdna	rna	mrna	ambig_opp_strand	spliced_unannot	145
