predicted_detail	zc	zs	count	fraction_of_false_rna	fraction_of_gdna_source
mrna	ambig_same_strand	unspliced	1043881	0.3953609481260633	0.057265867402225626
nrna	ambig_same_strand	unspliced	862648	0.3267205085436484	0.04732367576648596
nrna	ambig_opp_strand	unspliced	388357	0.14708687267168727	0.021304727710080112
mrna	ambig_opp_strand	unspliced	244051	0.09243221665219875	0.013388300204123425
nrna	ambig_same_strand	spliced_implicit	41915	0.015874945650609547	0.002299398908653656
nrna	unambig	unspliced	24897	0.009429524558349656	0.0013658149738458804
mrna	ambig_same_strand	spliced_annot	9159	0.003468892454107905	0.0005024500680987435
nrna	ambig_opp_strand	spliced_implicit	6793	0.0025727903090681293	0.0003726545815694688
mrna	ambig_same_strand	spliced_implicit	6604	0.0025012081850560764	0.00036228630305973385
nrna	ambig_same_strand	spliced_unannot	4137	0.0015668531589304948	0.00022695009626864308
mrna	unambig	spliced_annot	3506	0.0013278673374934288	0.00019233430928640625
mrna	ambig_same_strand	spliced_unannot	1820	0.0006893093423382888	9.984268194559594e-05
mrna	ambig_opp_strand	spliced_implicit	1697	0.0006427241505209209	9.309507212180017e-05
nrna	ambig_opp_strand	spliced_unannot	535	0.00020262664733570576	2.9349359802688918e-05
mrna	ambig_opp_strand	spliced_unannot	171	6.476477886804801e-05	9.380823413569728e-06
nrna	unambig	spliced_unannot	153	5.794743372404296e-05	8.393368317404495e-06
