flowcell	true_source	predicted_pool	predicted_detail	zc	zs	count
H7MFFDSXY	gdna	rna	nrna	ambig_same_strand	unspliced	1299008
H7MFFDSXY	gdna	rna	mrna	ambig_same_strand	unspliced	1107859
H7MFFDSXY	gdna	rna	nrna	ambig_opp_strand	unspliced	582324
C6EL5ANXX	rna	gdna	gdna	ambig_same_strand	unspliced	314117
H7MFFDSXY	gdna	rna	mrna	ambig_opp_strand	unspliced	262978
H7MFFDSXY	gdna	unresolved	unresolved	missing	missing	147858
C6EL5ANXX	rna	unresolved	unresolved	missing	missing	98133
H7MFFDSXY	gdna	unresolved	unresolved	.	unspliced	67776
C6EL5ANXX	rna	gdna	gdna	ambig_opp_strand	unspliced	48139
H7MFFDSXY	gdna	rna	nrna	unambig	unspliced	35519
H7MFFDSXY	gdna	rna	nrna	multimapper	unspliced	20898
C6EL5ANXX	rna	gdna	gdna	unambig	unspliced	11292
C6EL5ANXX	rna	unresolved	unresolved	.	spliced_annot	10890
C6EL5ANXX	rna	unresolved	unresolved	.	unspliced	10387
C6EL5ANXX	rna	gdna	gdna	.	unknown	9518
H7MFFDSXY	gdna	rna	mrna	multimapper	unspliced	7705
H7MFFDSXY	gdna	rna	nrna	ambig_same_strand	spliced_unannot	3773
H7MFFDSXY	gdna	unresolved	unresolved	.	spliced_unannot	3704
C6EL5ANXX	rna	gdna	gdna	multimapper	unspliced	3243
H7MFFDSXY	gdna	rna	nrna	multimapper	spliced_unannot	2694
H7MFFDSXY	gdna	rna	mrna	ambig_same_strand	spliced_annot	2095
H7MFFDSXY	gdna	rna	nrna	multimapper	spliced_annot	1835
H7MFFDSXY	gdna	rna	mrna	ambig_same_strand	spliced_unannot	1712
C6EL5ANXX	rna	unresolved	unresolved	.	spliced_unannot	1240
H7MFFDSXY	gdna	rna	mrna	multimapper	spliced_unannot	1200
H7MFFDSXY	gdna	rna	mrna	multimapper	spliced_annot	863
H7MFFDSXY	gdna	rna	mrna	unambig	spliced_annot	616
H7MFFDSXY	gdna	rna	nrna	ambig_opp_strand	spliced_unannot	352
H7MFFDSXY	gdna	rna	nrna	unambig	spliced_unannot	142
H7MFFDSXY	gdna	unresolved	unresolved	.	spliced_annot	93
H7MFFDSXY	gdna	rna	mrna	ambig_opp_strand	spliced_unannot	89
