flowcell	true_source	predicted_pool	predicted_detail	zc	zs	count
H7MFFDSXY	gdna	rna	nrna	ambig_same_strand	unspliced	877209
H7MFFDSXY	gdna	rna	mrna	ambig_same_strand	unspliced	830287
C6EL5ANXX	rna	gdna	gdna	ambig_same_strand	unspliced	412914
H7MFFDSXY	gdna	rna	nrna	ambig_opp_strand	unspliced	342908
H7MFFDSXY	gdna	rna	mrna	ambig_opp_strand	unspliced	197129
H7MFFDSXY	gdna	unresolved	unresolved	missing	missing	147858
H7MFFDSXY	gdna	unresolved	unresolved	.	unspliced	145027
C6EL5ANXX	rna	unresolved	unresolved	missing	missing	98133
C6EL5ANXX	rna	gdna	gdna	ambig_opp_strand	unspliced	71368
H7MFFDSXY	gdna	rna	nrna	ambig_same_strand	spliced_implicit	42010
H7MFFDSXY	gdna	rna	nrna	unambig	unspliced	28111
H7MFFDSXY	gdna	rna	nrna	multimapper	unspliced	15016
C6EL5ANXX	rna	unresolved	unresolved	.	spliced_annot	11966
C6EL5ANXX	rna	unresolved	unresolved	.	unspliced	11703
C6EL5ANXX	rna	gdna	gdna	unambig	unspliced	11117
H7MFFDSXY	gdna	rna	nrna	multimapper	spliced_annot	10799
C6EL5ANXX	rna	gdna	gdna	.	unknown	9491
H7MFFDSXY	gdna	rna	mrna	ambig_same_strand	spliced_annot	9159
H7MFFDSXY	gdna	rna	nrna	ambig_opp_strand	spliced_implicit	6821
H7MFFDSXY	gdna	rna	mrna	ambig_same_strand	spliced_implicit	6509
H7MFFDSXY	gdna	rna	mrna	multimapper	unspliced	5931
H7MFFDSXY	gdna	rna	mrna	multimapper	spliced_annot	4643
H7MFFDSXY	gdna	rna	nrna	ambig_same_strand	spliced_unannot	4135
C6EL5ANXX	rna	gdna	gdna	multimapper	unspliced	3709
H7MFFDSXY	gdna	rna	nrna	multimapper	spliced_unannot	3643
H7MFFDSXY	gdna	rna	mrna	unambig	spliced_annot	3506
H7MFFDSXY	gdna	unresolved	unresolved	.	spliced_unannot	3391
C6EL5ANXX	rna	unresolved	unresolved	.	spliced_unannot	2545
H7MFFDSXY	gdna	rna	mrna	ambig_same_strand	spliced_unannot	1822
H7MFFDSXY	gdna	rna	mrna	ambig_opp_strand	spliced_implicit	1669
H7MFFDSXY	gdna	rna	mrna	multimapper	spliced_unannot	1392
H7MFFDSXY	gdna	rna	nrna	ambig_opp_strand	spliced_unannot	558
H7MFFDSXY	gdna	unresolved	unresolved	.	spliced_annot	186
H7MFFDSXY	gdna	rna	nrna	unambig	spliced_unannot	153
H7MFFDSXY	gdna	rna	mrna	ambig_opp_strand	spliced_unannot	148
