flowcell	true_source	predicted_pool	predicted_detail	zc	zs	count
H7MFFDSXY	gdna	rna	nrna	ambig_same_strand	unspliced	1661933
H7MFFDSXY	gdna	rna	mrna	ambig_same_strand	unspliced	1048449
H7MFFDSXY	gdna	rna	nrna	ambig_opp_strand	unspliced	598628
C6EL5ANXX	rna	gdna	gdna	ambig_same_strand	unspliced	311221
H7MFFDSXY	gdna	rna	mrna	ambig_opp_strand	unspliced	260025
H7MFFDSXY	gdna	unresolved	unresolved	missing	missing	147858
H7MFFDSXY	gdna	unresolved	unresolved	.	unspliced	145027
C6EL5ANXX	rna	unresolved	unresolved	missing	missing	98133
C6EL5ANXX	rna	gdna	gdna	ambig_opp_strand	unspliced	47211
H7MFFDSXY	gdna	rna	nrna	ambig_same_strand	spliced_implicit	41217
H7MFFDSXY	gdna	rna	nrna	multimapper	unspliced	25463
H7MFFDSXY	gdna	rna	nrna	unambig	unspliced	25266
C6EL5ANXX	rna	gdna	gdna	unambig	unspliced	13330
C6EL5ANXX	rna	unresolved	unresolved	.	spliced_annot	11966
C6EL5ANXX	rna	unresolved	unresolved	.	unspliced	11703
H7MFFDSXY	gdna	rna	nrna	multimapper	spliced_annot	10525
C6EL5ANXX	rna	gdna	gdna	.	unknown	9491
H7MFFDSXY	gdna	rna	mrna	ambig_same_strand	spliced_annot	9159
H7MFFDSXY	gdna	rna	mrna	multimapper	unspliced	8364
H7MFFDSXY	gdna	rna	mrna	ambig_same_strand	spliced_implicit	7302
H7MFFDSXY	gdna	rna	nrna	ambig_opp_strand	spliced_implicit	6686
H7MFFDSXY	gdna	rna	mrna	multimapper	spliced_annot	4917
H7MFFDSXY	gdna	rna	nrna	ambig_same_strand	spliced_unannot	4329
H7MFFDSXY	gdna	rna	nrna	multimapper	spliced_unannot	3650
H7MFFDSXY	gdna	rna	mrna	unambig	spliced_annot	3506
H7MFFDSXY	gdna	unresolved	unresolved	.	spliced_unannot	3391
C6EL5ANXX	rna	gdna	gdna	multimapper	unspliced	2556
C6EL5ANXX	rna	unresolved	unresolved	.	spliced_unannot	2545
H7MFFDSXY	gdna	rna	mrna	ambig_opp_strand	spliced_implicit	1804
H7MFFDSXY	gdna	rna	mrna	ambig_same_strand	spliced_unannot	1628
H7MFFDSXY	gdna	rna	mrna	multimapper	spliced_unannot	1385
H7MFFDSXY	gdna	rna	nrna	ambig_opp_strand	spliced_unannot	535
H7MFFDSXY	gdna	unresolved	unresolved	.	spliced_annot	186
H7MFFDSXY	gdna	rna	mrna	ambig_opp_strand	spliced_unannot	171
H7MFFDSXY	gdna	rna	nrna	unambig	spliced_unannot	153
