flowcell	true_source	predicted_pool	predicted_detail	zc	zs	count
H7MFFDSXY	gdna	rna	mrna	ambig_same_strand	unspliced	1056095
H7MFFDSXY	gdna	rna	nrna	ambig_same_strand	unspliced	1009703
H7MFFDSXY	gdna	rna	nrna	ambig_opp_strand	unspliced	446849
C6EL5ANXX	rna	gdna	gdna	ambig_same_strand	unspliced	328391
H7MFFDSXY	gdna	rna	mrna	ambig_opp_strand	unspliced	248193
H7MFFDSXY	gdna	unresolved	unresolved	missing	missing	147858
H7MFFDSXY	gdna	unresolved	unresolved	.	unspliced	145027
C6EL5ANXX	rna	unresolved	unresolved	missing	missing	98133
C6EL5ANXX	rna	gdna	gdna	ambig_opp_strand	unspliced	54888
H7MFFDSXY	gdna	rna	nrna	ambig_same_strand	spliced_implicit	41963
H7MFFDSXY	gdna	rna	nrna	unambig	unspliced	32188
H7MFFDSXY	gdna	rna	nrna	multimapper	unspliced	15303
C6EL5ANXX	rna	unresolved	unresolved	.	spliced_annot	11966
C6EL5ANXX	rna	unresolved	unresolved	.	unspliced	11703
H7MFFDSXY	gdna	rna	nrna	multimapper	spliced_annot	10570
C6EL5ANXX	rna	gdna	gdna	unambig	unspliced	10374
C6EL5ANXX	rna	gdna	gdna	.	unknown	9491
H7MFFDSXY	gdna	rna	mrna	ambig_same_strand	spliced_annot	9159
H7MFFDSXY	gdna	rna	mrna	multimapper	unspliced	7134
H7MFFDSXY	gdna	rna	nrna	ambig_opp_strand	spliced_implicit	6826
H7MFFDSXY	gdna	rna	mrna	ambig_same_strand	spliced_implicit	6556
H7MFFDSXY	gdna	rna	mrna	multimapper	spliced_annot	4872
H7MFFDSXY	gdna	rna	nrna	ambig_same_strand	spliced_unannot	4107
H7MFFDSXY	gdna	rna	nrna	multimapper	spliced_unannot	3594
H7MFFDSXY	gdna	rna	mrna	unambig	spliced_annot	3506
H7MFFDSXY	gdna	unresolved	unresolved	.	spliced_unannot	3391
C6EL5ANXX	rna	gdna	gdna	multimapper	unspliced	3380
C6EL5ANXX	rna	unresolved	unresolved	.	spliced_unannot	2545
H7MFFDSXY	gdna	rna	mrna	ambig_same_strand	spliced_unannot	1850
H7MFFDSXY	gdna	rna	mrna	ambig_opp_strand	spliced_implicit	1664
H7MFFDSXY	gdna	rna	mrna	multimapper	spliced_unannot	1441
H7MFFDSXY	gdna	rna	nrna	ambig_opp_strand	spliced_unannot	541
H7MFFDSXY	gdna	unresolved	unresolved	.	spliced_annot	186
H7MFFDSXY	gdna	rna	mrna	ambig_opp_strand	spliced_unannot	165
H7MFFDSXY	gdna	rna	nrna	unambig	spliced_unannot	153
