n_transcripts,n_expressed_truth,n_expressed_pred,total_truth,total_predicted,total_abs_error,mae,median_abs_error,rmse,mean_rel_error,median_rel_error,mape,ware,pearson_r,spearman_r,log2_pearson_r,log2_spearman_r,precision,recall,f1,tp,fp,fn,tn,condition,tool,expression_bin,gdna_label,strand_specificity,nrna_label
60878,0,7658,0.0,6684.381121431998,6684.381121431998,0.10979961761936985,0.0,3.3155442130162247,,,,,,,,,0.0,,,0,7658,0,53220,pristine,rigel/oracle_vbem,zero,unknown,1.0,none
18853,18853,18194,70572.33155148759,66738.530916783,20711.454722496645,1.09857607396683,0.7495344574470817,2.549415424784348,0.37254234861932883,0.2489638510246931,37.254234861932886,0.2934783968046479,0.6681463291743611,0.8160773011216659,0.7976768018914849,0.8160773011216659,1.0,0.9650453508725402,0.9822117850298269,18194,0,659,0,pristine,rigel/oracle_vbem,low_1-10,unknown,1.0,none
10948,10948,10940,339468.58562724874,330084.96017542185,29723.629778439157,2.7149826249944424,1.7512761668507046,4.3908752153389745,0.10959625510641186,0.06826233304695989,10.959625510641185,0.08755929425256745,0.9797349695029387,0.9647330185936607,0.9505886901578915,0.9647330185936607,1.0,0.999269272926562,0.9996345029239766,10940,0,8,0,pristine,rigel/oracle_vbem,mid_10-100,unknown,1.0,none
1706,1706,1706,399286.83887152467,394918.4978940923,14175.436601404283,8.309165651467927,4.838979137173517,17.210389249892504,0.03970732264228761,0.024533164071778968,3.970732264228761,0.035501887919640145,0.9945513532645192,0.9863412864933855,0.9866439987822696,0.9863412864933855,1.0,1.0,1.0,1706,0,0,0,pristine,rigel/oracle_vbem,high_100-1000,unknown,1.0,none
98,98,98,182900.16215312172,180099.41542187874,4124.003937138321,42.08167282794205,20.665501502433926,97.58600920442534,0.02443819036472904,0.012216877702891333,2.443819036472904,0.022547841885923296,0.9905785887211003,0.9856932463707132,0.9754496253634121,0.9856932463707132,1.0,1.0,1.0,98,0,0,0,pristine,rigel/oracle_vbem,very_high_1000+,unknown,1.0,none
60878,0,7818,0.0,9395.709738724749,9395.709738724749,0.1543367019074994,0.0,4.708994953061794,,,,,,,,,0.0,,,0,7818,0,53060,pristine,rigel/star_vbem,zero,unknown,1.0,none
18853,18853,18182,70572.33155148759,67356.46873343126,22361.43304712467,1.1860941519718171,0.7633765804960078,4.241911676759361,0.4026155992710794,0.25470021177419155,40.261559927107946,0.316858357312602,0.4668198811506944,0.8074245829461866,0.7829212596543211,0.8074245829461866,1.0,0.964408847398292,0.981882003510193,18182,0,671,0,pristine,rigel/star_vbem,low_1-10,unknown,1.0,none
10948,10948,10936,339468.58562724874,325881.92277713295,33281.138186549484,3.0399285884681664,1.896569963511494,5.9322562467750855,0.1198558487066524,0.07305545943365614,11.98558487066524,0.09803893377955632,0.9631650516317369,0.9581143549057825,0.938438322567595,0.9581143549057825,1.0,0.9989039093898429,0.9994516541765673,10936,0,12,0,pristine,rigel/star_vbem,mid_10-100,unknown,1.0,none
1706,1706,1703,399286.83887152467,388325.8835565789,21426.093946797086,12.559257882061598,6.361040927250926,42.20706502627841,0.053670967032981846,0.03358291006752189,5.367096703298184,0.0536609070495589,0.9674858899292427,0.9723808462457242,0.8902907915759445,0.9723808462457242,1.0,0.9982415005861665,0.9991199765327076,1703,0,3,0,pristine,rigel/star_vbem,high_100-1000,unknown,1.0,none
98,98,98,182900.16215312172,171884.3236921997,11242.25043373936,114.71684116060571,53.16104058507199,225.7064722913228,0.062031044959319805,0.029522410014173297,6.2031044959319805,0.06146659631896602,0.9583474676040241,0.9421609318516533,0.9083925294191759,0.9421609318516533,1.0,1.0,1.0,98,0,0,0,pristine,rigel/star_vbem,very_high_1000+,unknown,1.0,none
60878,0,2584,0.0,17016.313000000002,17016.313000000002,0.27951498078123466,0.0,7.254671812822548,,,,,,,,,0.0,,,0,2584,0,58294,pristine,salmon,zero,unknown,1.0,none
18853,18853,16245,70572.33155148759,82232.406078,53941.973086216385,2.861187773097989,1.083852723105494,20.982911658347792,0.9621491075645074,0.3766846066893588,96.21491075645075,0.7643501624551237,0.10288629438650375,0.5770089903746835,0.5250602882953088,0.5770089903746835,1.0,0.8616665782634063,0.9256937717248845,16245,0,2608,0,pristine,salmon,low_1-10,unknown,1.0,none
10948,10948,10606,339468.58562724874,295083.14293900004,106255.15402965918,9.705439717725538,3.329561757362259,34.33791161981449,0.34645190193293657,0.1271037283976711,34.64519019329366,0.3130043795755875,0.4577084400919646,0.6943904308485236,0.547321022157813,0.6943904308485236,1.0,0.9687614176105225,0.9841328755683401,10606,0,342,0,pristine,salmon,mid_10-100,unknown,1.0,none
1706,1706,1671,399286.83887152467,319129.090552,88876.01578151723,52.09614055188583,15.95732170854805,105.42375203747059,0.22040356929154895,0.07242813475146136,22.040356929154896,0.22258689024837644,0.8209860674205492,0.7408880489819368,0.4501642170120401,0.7408880489819368,1.0,0.9794841735052755,0.989635771394729,1671,0,35,0,pristine,salmon,high_100-1000,unknown,1.0,none
98,98,96,182900.16215312172,141948.447545,42241.65000544242,431.03724495349405,154.3613717897664,715.9651939833336,0.2294271741875787,0.0905591276067707,22.94271741875787,0.23095468865729182,0.6657447139339902,0.6837170900617149,0.35985629011584663,0.6837170900617149,1.0,0.9795918367346939,0.9896907216494846,96,0,2,0,pristine,salmon,very_high_1000+,unknown,1.0,none
60878,0,3335,0.0,5535.588093636892,5535.588093636892,0.09092920420573758,0.0,4.519557817842691,,,,,,,,,0.0,,,0,3335,0,57543,pristine,kallisto,zero,unknown,1.0,none
18853,18853,17805,70572.33155148759,68637.34266749439,19024.44174787387,1.0090936056794075,0.6659788914508447,1.5025888190731354,0.342347452810525,0.2172425469252147,34.2347452810525,0.2695736605215342,0.8466708855725588,0.8275496186695284,0.7899410730642511,0.8275496186695284,1.0,0.9444120299156633,0.9714114245185226,17805,0,1048,0,pristine,kallisto,low_1-10,unknown,1.0,none
10948,10948,10935,339468.58562724874,337953.30534776294,26830.050743304953,2.4506805574812707,1.516443349791854,4.004765261030585,0.09785058634568042,0.058201046742819625,9.785058634568042,0.07903544504340533,0.9827325030285489,0.9680943402918122,0.947877746809223,0.9680943402918122,1.0,0.9988125685056631,0.999405931545035,10935,0,13,0,pristine,kallisto,mid_10-100,unknown,1.0,none
1706,1706,1705,399286.83887152467,396575.83836,13361.332832104817,7.831965317763668,4.317347244522708,20.99505893613919,0.03655192844360402,0.02276522471462613,3.655192844360402,0.03346299334550315,0.9917348028494853,0.9797581894923304,0.9404652333654056,0.9797581894923304,1.0,0.9994138335287222,0.9997068308413954,1705,0,1,0,pristine,kallisto,high_100-1000,unknown,1.0,none
