predicted_detail	zc	zs	count	fraction_of_false_rna	fraction_of_gdna_source
mrna	ambig_same_strand	unspliced	1056095	0.3626161915540002	0.05793591054359019
nrna	ambig_same_strand	unspliced	1009703	0.3466872359595005	0.05539090960907366
nrna	ambig_opp_strand	unspliced	446849	0.15342813154092524	0.024513517903685497
mrna	ambig_opp_strand	unspliced	248193	0.08521847033681816	0.013615524593474338
nrna	ambig_same_strand	spliced_implicit	41963	0.014408233393947052	0.00230203212224343
nrna	unambig	unspliced	32188	0.011051931856263082	0.001765789146409254
nrna	multimapper	unspliced	15303	0.005254371604212562	0.0008395014075898103
nrna	multimapper	spliced_annot	10570	0.003629269284227065	0.0005798555759148072
mrna	ambig_same_strand	spliced_annot	9159	0.003144794453570075	0.0005024500680987435
mrna	multimapper	unspliced	7134	0.002449499250111247	0.00039136136978015464
nrna	ambig_opp_strand	spliced_implicit	6826	0.0023437457080542996	0.0003744649159124384
mrna	ambig_same_strand	spliced_implicit	6556	0.002251039680926456	0.0003596530894699599
mrna	multimapper	spliced_annot	4872	0.0016728287561735347	0.0002672711793620568
nrna	ambig_same_strand	spliced_unannot	4107	0.001410161679311311	0.00022530433777503435
nrna	multimapper	spliced_unannot	3594	0.001234020227768408	0.00019716186753432517
mrna	unambig	spliced_annot	3506	0.0012038049300378516	0.00019233430928640625
mrna	ambig_same_strand	spliced_unannot	1850	0.0006352079636537437	0.00010148844043920467
mrna	ambig_opp_strand	spliced_implicit	1664	0.0005713438116323403	9.128473777883057e-05
mrna	multimapper	spliced_unannot	1441	0.000494775500337862	7.905126630967239e-05
nrna	ambig_opp_strand	spliced_unannot	541	0.0001857554099117164	2.967851150141066e-05
mrna	ambig_opp_strand	spliced_unannot	165	5.665368324479336e-05	9.051671714847983e-06
nrna	unambig	spliced_unannot	153	5.2533415372444746e-05	8.393368317404495e-06
