TA1	TA2	TA3	TA4	TB	TC	NTA	gdna	strand_specificity	n_fragments	strand_symmetry_kappa	nrna_TB	nrna_TC	TA1_expected	TA2_expected	TA3_expected	TA4_expected	TB_expected	TC_expected	TA1_observed	TA2_observed	TA3_observed	TA4_observed	TB_observed	TC_observed	TA1_abs_diff	TA2_abs_diff	TA3_abs_diff	TA4_abs_diff	TB_abs_diff	TC_abs_diff	TA1_rel_err	TA2_rel_err	TA3_rel_err	TA4_rel_err	TB_rel_err	TC_rel_err	nrna_expected	nrna_observed	nrna_abs_diff	nrna_rel_err	gdna_expected	gdna_observed	gdna_abs_diff	total_mrna_expected	total_mrna_observed	total_mrna_rel_err	total_rna_expected	total_rna_observed	total_rna_rel_err	n_fragments_actual	n_intergenic	n_chimeric
100	0	0	3	0	0	0	0	1.0	200000	6.0	0	0	196174	0	0	3826	0	0	196087.77	1.61	134.07	3776.55	0.0	0.0	86.23	1.61	134.07	49.45	0.0	0.0	0.0004	0.0	0.0	0.0129	0.0	0.0	0	0.0	0.0	0.0	0	0.0	0.0	200000	200000.0	0.0	200000	200000.0	0.0	200000	0	0
100	0	0	3	0	0	0	10	1.0	200000	6.0	0	0	71636	0	0	1381	0	0	70514.02	0.94	104.37	1380.7	2.55	94.52	1121.98	0.94	104.37	0.3	2.55	94.52	0.0157	0.0	0.0	0.0002	0.0	0.0	0	2748.61	2748.61	0.0	126983	125154.29	1828.71	73017	72097.1	0.0126	73017	74845.71	0.025	200000	75725	0
100	0	0	3	0	0	0	100	1.0	200000	6.0	0	0	10663	0	0	212	0	0	10164.58	0.95	4.12	341.05	2.6	45.83	498.42	0.95	4.12	129.05	2.6	45.83	0.0467	0.0	0.0	0.6087	0.0	0.0	0	0.0	0.0	0.0	189125	189440.87	315.87	10875	10559.13	0.029	10875	10559.13	0.029	200000	112813	0
100	0	0	3	0	0	0	1000	1.0	200000	6.0	0	0	1119	0	0	24	0	0	690.67	0.33	5.64	7.34	2.59	117.44	428.33	0.33	5.64	16.66	2.59	117.44	0.3828	0.0	0.0	0.6941	0.0	0.0	0	3127.96	3127.96	0.0	198857	196048.02	2808.98	1143	824.02	0.2791	1143	3951.98	2.4575	200000	118633	0
100	0	0	3	0	0	0	5000	1.0	200000	6.0	0	0	225	0	0	5	0	0	116.4	0.26	7.57	0.8	2.91	14.5	108.6	0.26	7.57	4.2	2.91	14.5	0.4827	0.0	0.0	0.8394	0.0	0.0	0	2919.15	2919.15	0.0	199770	196938.39	2831.61	230	142.46	0.3806	230	3061.61	12.3114	200000	119173	0
100	0	0	3	0	0	0	10000	1.0	200000	6.0	0	0	115	0	0	0	0	0	67.88	0.71	1.18	1.02	2.73	34.03	47.12	0.71	1.18	1.02	2.73	34.03	0.4098	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	199885	199892.46	7.46	115	107.54	0.0648	115	107.54	0.0648	200000	119428	0
100	0	0	3	0	0	10	0	1.0	200000	6.0	0	0	150044	0	0	2830	0	0	150055.86	1.05	99.36	2869.07	0.0	0.0	11.86	1.05	99.36	39.07	0.0	0.0	0.0001	0.0	0.0	0.0138	0.0	0.0	47126	46974.65	151.35	0.0032	0	0.0	0.0	152874	153025.35	0.001	200000	200000.0	0.0	200000	0	0
100	0	0	3	0	0	10	10	1.0	200000	6.0	0	0	64366	0	0	1265	0	0	63476.2	0.81	76.7	1253.89	2.96	32.52	889.8	0.81	76.7	11.11	2.96	32.52	0.0138	0.0	0.0	0.0088	0.0	0.0	20232	22631.6	2399.6	0.1186	114137	112525.32	1611.68	65631	64843.09	0.012	85863	87474.68	0.0188	200000	68133	0
100	0	0	3	0	0	10	100	1.0	200000	6.0	0	0	10504	0	0	192	0	0	9254.52	0.69	69.5	154.57	2.71	135.48	1249.48	0.69	69.5	37.43	2.71	135.48	0.119	0.0	0.0	0.1949	0.0	0.0	3297	7226.63	3929.63	1.1919	186007	183155.88	2851.12	10696	9617.49	0.1008	13993	16844.12	0.2038	200000	110936	0
100	0	0	3	0	0	10	1000	1.0	200000	6.0	0	0	1114	0	0	27	0	0	710.32	0.34	36.93	2.47	2.92	105.49	403.68	0.34	36.93	24.53	2.92	105.49	0.3624	0.0	0.0	0.9087	0.0	0.0	352	3746.16	3394.16	9.6425	198507	195395.38	3111.62	1141	858.46	0.2476	1493	4604.62	2.0841	200000	118423	0
100	0	0	3	0	0	10	5000	1.0	200000	6.0	0	0	222	0	0	7	0	0	140.05	0.24	0.48	0.29	2.48	7.86	81.95	0.24	0.48	6.71	2.48	7.86	0.3692	0.0	0.0	0.9589	0.0	0.0	71	3071.89	3000.89	42.2661	199700	196776.72	2923.28	229	151.39	0.3389	300	3223.28	9.7443	200000	119153	0
100	0	0	3	0	0	10	10000	1.0	200000	6.0	0	0	115	0	0	0	0	0	57.73	0.33	0.69	0.3	2.67	61.88	57.27	0.33	0.69	0.3	2.67	61.88	0.498	0.0	0.0	0.0	0.0	0.0	35	2964.06	2929.06	83.6875	199850	196912.33	2937.67	115	123.6	0.0748	150	3087.67	19.5844	200000	119284	0
100	0	0	3	0	0	100	0	1.0	200000	6.0	0	0	48068	0	0	920	0	0	48085.62	0.65	160.66	825.33	0.0	0.0	17.62	0.65	160.66	94.67	0.0	0.0	0.0004	0.0	0.0	0.1029	0.0	0.0	151012	150927.74	84.26	0.0006	0	0.0	0.0	48988	49072.26	0.0017	200000	200000.0	0.0	200000	0	0
100	0	0	3	0	0	100	10	1.0	200000	6.0	0	0	33701	0	0	654	0	0	33371.42	0.53	86.73	548.84	3.07	29.0	329.58	0.53	86.73	105.16	3.07	29.0	0.0098	0.0	0.0	0.1608	0.0	0.0	105901	106999.59	1098.59	0.0104	59744	58960.82	783.18	34355	34039.59	0.0092	140256	141039.18	0.0056	200000	35495	0
100	0	0	3	0	0	100	100	1.0	200000	6.0	0	0	9140	0	0	174	0	0	8176.4	0.53	81.11	123.31	2.74	118.18	963.6	0.53	81.11	50.69	2.74	118.18	0.1054	0.0	0.0	0.2913	0.0	0.0	28711	31869.85	3158.85	0.11	161975	159627.87	2347.13	9314	8502.28	0.0872	38025	40372.13	0.0617	200000	96584	0
100	0	0	3	0	0	100	1000	1.0	200000	6.0	0	0	1095	0	0	28	0	0	736.35	0.33	35.03	3.14	2.79	91.3	358.65	0.33	35.03	24.86	2.79	91.3	0.3275	0.0	0.0	0.8878	0.0	0.0	3464	6613.0	3149.0	0.9091	195413	192518.05	2894.95	1123	868.95	0.2262	4587	7481.95	0.6311	200000	116648	0
100	0	0	3	0	0	100	5000	1.0	200000	6.0	0	0	222	0	0	7	0	0	143.55	0.26	0.5	0.32	2.59	17.93	78.45	0.26	0.5	6.68	2.59	17.93	0.3534	0.0	0.0	0.9545	0.0	0.0	706	3307.33	2601.33	3.6846	199065	196527.51	2537.49	229	165.16	0.2788	935	3472.49	2.7139	200000	118806	0
100	0	0	3	0	0	100	10000	1.0	200000	6.0	0	0	114	0	0	0	0	0	62.08	0.31	0.29	0.31	2.8	82.72	51.92	0.31	0.29	0.31	2.8	82.72	0.4555	0.0	0.0	0.0	0.0	0.0	354	3524.28	3170.28	8.9556	199532	196327.2	3204.8	114	148.51	0.3027	468	3672.8	6.8479	200000	119010	0
100	0	0	3	0	0	1000	0	1.0	200000	6.0	0	0	6166	0	0	118	0	0	6008.47	0.52	73.88	32.93	0.0	0.0	157.53	0.52	73.88	85.07	0.0	0.0	0.0255	0.0	0.0	0.7209	0.0	0.0	193716	193884.2	168.2	0.0009	0	0.0	0.0	6284	6115.8	0.0268	200000	200000.0	0.0	200000	0	0
100	0	0	3	0	0	1000	10	1.0	200000	6.0	0	0	5838	0	0	121	0	0	5687.73	0.43	92.81	73.27	2.25	2.32	150.27	0.43	92.81	47.73	2.25	2.32	0.0257	0.0	0.0	0.3945	0.0	0.0	183679	184197.96	518.96	0.0028	10362	9943.22	418.78	5959	5858.81	0.0168	189638	190056.78	0.0022	200000	6141	0
100	0	0	3	0	0	1000	100	1.0	200000	6.0	0	0	3994	0	0	69	0	0	3834.39	0.44	39.52	24.28	3.23	15.16	159.61	0.44	39.52	44.72	3.23	15.16	0.04	0.0	0.0	0.6481	0.0	0.0	125267	126561.34	1294.34	0.0103	70670	69521.63	1148.37	4063	3917.03	0.0359	129330	130478.37	0.0089	200000	42252	0
100	0	0	3	0	0	1000	1000	1.0	200000	6.0	0	0	945	0	0	27	0	0	766.99	0.35	7.83	9.36	3.06	40.99	178.01	0.35	7.83	17.64	3.06	40.99	0.1884	0.0	0.0	0.6535	0.0	0.0	29967	32693.07	2726.07	0.091	169061	166478.36	2582.64	972	828.57	0.1476	30939	33521.64	0.0835	200000	101006	0
100	0	0	3	0	0	1000	5000	1.0	200000	6.0	0	0	217	0	0	5	0	0	166.82	0.31	1.71	4.38	2.66	122.1	50.18	0.31	1.71	0.62	2.66	122.1	0.2313	0.0	0.0	0.1236	0.0	0.0	6840	9920.52	3080.52	0.4504	192938	189781.51	3156.49	222	297.98	0.3422	7062	10218.49	0.447	200000	114865	0
100	0	0	3	0	0	1000	10000	1.0	200000	6.0	0	0	113	0	0	0	0	0	49.74	0.37	0.8	0.31	2.71	20.57	63.26	0.37	0.8	0.31	2.71	20.57	0.5598	0.0	0.0	0.0	0.0	0.0	3481	6961.55	3480.55	0.9999	196406	192963.94	3442.06	113	74.51	0.3406	3594	7036.06	0.9577	200000	117111	0
100	0	0	3	0	0	5000	0	1.0	200000	6.0	0	0	1263	0	0	26	0	0	1226.78	0.5	5.94	14.73	0.0	0.0	36.22	0.5	5.94	11.27	0.0	0.0	0.0287	0.0	0.0	0.4335	0.0	0.0	198711	198752.05	41.05	0.0002	0	0.0	0.0	1289	1247.95	0.0318	200000	200000.0	0.0	200000	0	0
100	0	0	3	0	0	5000	10	1.0	200000	6.0	0	0	1246	0	0	29	0	0	1263.07	0.44	9.33	3.98	1.99	0.98	17.07	0.44	9.33	25.02	1.99	0.98	0.0137	0.0	0.0	0.8628	0.0	0.0	196508	196826.55	318.55	0.0016	2217	1893.66	323.34	1275	1279.79	0.0038	197783	198106.34	0.0016	200000	1320	0
100	0	0	3	0	0	5000	100	1.0	200000	6.0	0	0	1128	0	0	31	0	0	1146.61	0.39	7.68	4.2	3.25	1.97	18.61	0.39	7.68	26.8	3.25	1.97	0.0165	0.0	0.0	0.8646	0.0	0.0	178680	180310.53	1630.53	0.0091	20161	18525.37	1635.63	1159	1164.1	0.0044	179839	181474.63	0.0091	200000	11832	0
100	0	0	3	0	0	5000	1000	1.0	200000	6.0	0	0	595	0	0	13	0	0	435.54	0.41	9.62	2.7	2.91	10.84	159.46	0.41	9.62	10.3	2.91	10.84	0.268	0.0	0.0	0.7926	0.0	0.0	93686	97073.14	3387.14	0.0362	105706	102464.85	3241.15	608	462.0	0.2401	94294	97535.15	0.0344	200000	62905	0
100	0	0	3	0	0	5000	5000	1.0	200000	6.0	0	0	189	0	0	6	0	0	147.68	0.44	0.6	0.52	2.98	96.84	41.32	0.44	0.6	5.48	2.98	96.84	0.2186	0.0	0.0	0.9129	0.0	0.0	30084	34314.72	4230.72	0.1406	169721	165436.22	4284.78	195	249.06	0.2772	30279	34563.78	0.1415	200000	101359	0
100	0	0	3	0	0	5000	10000	1.0	200000	6.0	0	0	105	0	0	1	0	0	80.73	0.36	0.69	0.38	2.81	12.25	24.27	0.36	0.69	0.62	2.81	12.25	0.2311	0.0	0.0	0.6196	0.0	0.0	16274	20882.78	4608.78	0.2832	183620	179020.0	4600.0	106	97.22	0.0828	16380	20980.0	0.2808	200000	109258	0
100	0	0	3	0	0	10000	0	1.0	200000	6.0	0	0	636	0	0	11	0	0	567.99	0.51	9.69	3.5	0.0	0.0	68.01	0.51	9.69	7.5	0.0	0.0	0.1069	0.0	0.0	0.6819	0.0	0.0	199353	199418.32	65.32	0.0003	0	0.0	0.0	647	581.68	0.101	200000	200000.0	0.0	200000	0	0
100	0	0	3	0	0	10000	10	1.0	200000	6.0	0	0	632	0	0	11	0	0	586.15	0.45	6.54	5.41	2.29	1.36	45.85	0.45	6.54	5.59	2.29	1.36	0.0725	0.0	0.0	0.5081	0.0	0.0	198239	198466.17	227.17	0.0011	1118	931.63	186.37	643	602.2	0.0635	198882	199068.37	0.0009	200000	666	0
100	0	0	3	0	0	10000	100	1.0	200000	6.0	0	0	597	0	0	15	0	0	599.99	0.44	4.77	34.36	3.44	12.47	2.99	0.44	4.77	19.36	3.44	12.47	0.005	0.0	0.0	1.2909	0.0	0.0	188740	190326.69	1586.69	0.0084	10648	9017.83	1630.17	612	655.48	0.071	189352	190982.17	0.0086	200000	6290	0
