TA1	TA2	TA3	TA4	TB	TC	NTA	gdna	strand_specificity	n_fragments	strand_symmetry_kappa	nrna_TB	nrna_TC	TA1_expected	TA2_expected	TA3_expected	TA4_expected	TB_expected	TC_expected	TA1_observed	TA2_observed	TA3_observed	TA4_observed	TB_observed	TC_observed	TA1_abs_diff	TA2_abs_diff	TA3_abs_diff	TA4_abs_diff	TB_abs_diff	TC_abs_diff	TA1_rel_err	TA2_rel_err	TA3_rel_err	TA4_rel_err	TB_rel_err	TC_rel_err	nrna_expected	nrna_observed	nrna_abs_diff	nrna_rel_err	gdna_expected	gdna_observed	gdna_abs_diff	total_mrna_expected	total_mrna_observed	total_mrna_rel_err	total_rna_expected	total_rna_observed	total_rna_rel_err	n_fragments_actual	n_intergenic	n_chimeric
100	0	0	3	0	0	100	0	0.9	100000	2.0	0	0	24020	0	0	474	0	0	23979.2	0.58	166.91	277.24	0.0	0.0	40.8	0.58	166.91	196.76	0.0	0.0	0.0017	0.0	0.0	0.4151	0.0	0.0	75506	74931.18	574.82	0.0076	0	644.89	644.89	24494	24423.93	0.0029	100000	99355.11	0.0064	100000	0	0
100	0	0	3	0	0	100	0	0.9	100000	6.0	0	0	24020	0	0	474	0	0	23980.46	0.58	166.15	277.95	0.0	0.0	39.54	0.58	166.15	196.05	0.0	0.0	0.0016	0.0	0.0	0.4136	0.0	0.0	75506	75553.53	47.53	0.0006	0	21.33	21.33	24494	24425.14	0.0028	100000	99978.67	0.0002	100000	0	0
100	0	0	3	0	0	100	0	1.0	100000	2.0	0	0	24017	0	0	477	0	0	23942.58	0.65	74.24	480.69	0.0	0.0	74.42	0.65	74.24	3.69	0.0	0.0	0.0031	0.0	0.0	0.0077	0.0	0.0	75506	75501.83	4.17	0.0001	0	0.0	0.0	24494	24498.17	0.0002	100000	100000.0	0.0	100000	0	0
100	0	0	3	0	0	100	0	1.0	100000	6.0	0	0	24017	0	0	477	0	0	23942.58	0.65	74.24	480.69	0.0	0.0	74.42	0.65	74.24	3.69	0.0	0.0	0.0031	0.0	0.0	0.0077	0.0	0.0	75506	75501.83	4.17	0.0001	0	0.0	0.0	24494	24498.17	0.0002	100000	100000.0	0.0	100000	0	0
100	0	0	3	0	0	100	10	0.9	100000	2.0	0	0	16861	0	0	316	0	0	16464.34	0.56	248.76	75.14	2.98	0.39	396.66	0.56	248.76	240.86	2.98	0.39	0.0235	0.0	0.0	0.7622	0.0	0.0	52951	50907.79	2043.21	0.0386	29872	32300.05	2428.05	17177	16792.16	0.0224	70128	67699.95	0.0346	100000	17781	0
100	0	0	3	0	0	100	10	0.9	100000	6.0	0	0	16861	0	0	316	0	0	16485.2	0.56	258.78	67.78	2.98	3.71	375.8	0.56	258.78	248.22	2.98	3.71	0.0223	0.0	0.0	0.7855	0.0	0.0	52951	55412.45	2461.45	0.0465	29872	27768.53	2103.47	17177	16819.02	0.0208	70128	72231.47	0.03	100000	17781	0
100	0	0	3	0	0	100	10	1.0	100000	2.0	0	0	16857	0	0	320	0	0	16763.72	0.54	21.11	241.5	2.1	0.5	93.28	0.54	21.11	78.5	2.1	0.5	0.0055	0.0	0.0	0.2453	0.0	0.0	52951	52758.31	192.69	0.0036	29872	30212.21	340.21	17177	17029.48	0.0086	70128	69787.79	0.0049	100000	17927	0
100	0	0	3	0	0	100	10	1.0	100000	6.0	0	0	16857	0	0	320	0	0	16763.87	0.54	21.43	241.27	2.11	16.4	93.13	0.54	21.43	78.73	2.11	16.4	0.0055	0.0	0.0	0.246	0.0	0.0	52951	53573.21	622.21	0.0118	29872	29381.18	490.82	17177	17045.6	0.0076	70128	70618.82	0.007	100000	17927	0
100	0	0	3	0	0	100	50	0.9	100000	2.0	0	0	7685	0	0	140	0	0	7164.77	0.54	55.71	41.64	2.86	0.5	520.23	0.54	55.71	98.36	2.86	0.5	0.0677	0.0	0.0	0.7026	0.0	0.0	24125	21944.69	2180.31	0.0904	68050	70789.29	2739.29	7825	7266.02	0.0714	31950	29210.71	0.0857	100000	40607	0
100	0	0	3	0	0	100	50	0.9	100000	6.0	0	0	7685	0	0	140	0	0	7183.6	0.55	58.25	40.02	2.86	5.37	501.4	0.55	58.25	99.98	2.86	5.37	0.0652	0.0	0.0	0.7141	0.0	0.0	24125	26913.85	2788.85	0.1156	68050	65795.51	2254.49	7825	7290.64	0.0683	31950	34204.49	0.0706	100000	40607	0
100	0	0	3	0	0	100	50	1.0	100000	2.0	0	0	7681	0	0	144	0	0	7335.59	0.61	9.32	101.52	2.99	0.46	345.41	0.61	9.32	42.48	2.99	0.46	0.045	0.0	0.0	0.295	0.0	0.0	24125	23602.57	522.43	0.0217	68050	68946.94	896.94	7825	7450.49	0.0479	31950	31053.06	0.0281	100000	40486	0
100	0	0	3	0	0	100	50	1.0	100000	6.0	0	0	7681	0	0	144	0	0	7335.92	0.61	9.23	101.58	2.99	5.92	345.08	0.61	9.23	42.42	2.99	5.92	0.0449	0.0	0.0	0.2946	0.0	0.0	24125	25483.0	1358.0	0.0563	68050	67060.75	989.25	7825	7456.25	0.0471	31950	32939.25	0.031	100000	40486	0
100	0	0	3	0	0	100	100	0.9	100000	2.0	0	0	4570	0	0	87	0	0	3974.83	0.56	15.03	58.44	3.0	0.59	595.17	0.56	15.03	28.56	3.0	0.59	0.1302	0.0	0.0	0.3283	0.0	0.0	14356	12352.4	2003.6	0.1396	80987	83595.16	2608.16	4657	4052.44	0.1298	19013	16404.84	0.1372	100000	48273	0
100	0	0	3	0	0	100	100	0.9	100000	6.0	0	0	4570	0	0	87	0	0	3989.03	0.57	15.41	58.85	3.0	67.33	580.97	0.57	15.41	28.15	3.0	67.33	0.1271	0.0	0.0	0.3236	0.0	0.0	14356	16719.37	2363.37	0.1646	80987	79146.45	1840.55	4657	4134.18	0.1123	19013	20853.55	0.0968	100000	48273	0
100	0	0	3	0	0	100	100	1.0	100000	2.0	0	0	4573	0	0	84	0	0	4195.01	0.49	7.36	57.19	2.6	0.45	377.99	0.49	7.36	26.81	2.6	0.45	0.0827	0.0	0.0	0.3192	0.0	0.0	14356	13657.0	699.0	0.0487	80987	82079.9	1092.9	4657	4263.1	0.0846	19013	17920.1	0.0575	100000	48025	0
100	0	0	3	0	0	100	100	1.0	100000	6.0	0	0	4573	0	0	84	0	0	4195.29	0.49	7.34	57.19	2.6	12.11	377.71	0.49	7.34	26.81	2.6	12.11	0.0826	0.0	0.0	0.3191	0.0	0.0	14356	15836.33	1480.33	0.1031	80987	79888.63	1098.37	4657	4275.04	0.082	19013	20111.37	0.0578	100000	48025	0
100	0	0	3	0	0	100	500	0.9	100000	2.0	0	0	1074	0	0	25	0	0	795.94	0.38	0.61	0.4	2.59	0.53	278.06	0.38	0.61	24.6	2.59	0.53	0.2589	0.0	0.0	0.9839	0.0	0.0	3386	1480.74	1905.26	0.5627	95515	97718.82	2203.82	1099	800.45	0.2717	4485	2281.18	0.4914	100000	56853	0
100	0	0	3	0	0	100	500	0.9	100000	6.0	0	0	1074	0	0	25	0	0	795.26	0.38	0.61	0.4	2.59	39.08	278.74	0.38	0.61	24.6	2.59	39.08	0.2595	0.0	0.0	0.984	0.0	0.0	3386	5459.99	2073.99	0.6125	95515	93701.69	1813.31	1099	838.32	0.2372	4485	6298.31	0.4043	100000	56853	0
100	0	0	3	0	0	100	500	1.0	100000	2.0	0	0	1066	0	0	33	0	0	794.59	0.35	11.08	5.19	3.02	0.52	271.41	0.35	11.08	27.81	3.02	0.52	0.2546	0.0	0.0	0.8426	0.0	0.0	3386	2269.47	1116.53	0.3297	95515	96915.77	1400.77	1099	814.76	0.2586	4485	3084.23	0.3123	100000	56883	0
100	0	0	3	0	0	100	500	1.0	100000	6.0	0	0	1066	0	0	33	0	0	794.6	0.35	11.17	5.11	3.02	43.87	271.4	0.35	11.17	27.89	3.02	43.87	0.2546	0.0	0.0	0.8451	0.0	0.0	3386	4921.09	1535.09	0.4534	95515	94220.78	1294.22	1099	858.13	0.2192	4485	5779.22	0.2886	100000	56883	0
100	0	0	3	0	0	100	1000	0.9	100000	2.0	0	0	548	0	0	14	0	0	334.1	0.27	2.99	3.4	2.63	0.5	213.9	0.27	2.99	10.6	2.63	0.5	0.3903	0.0	0.0	0.7574	0.0	0.0	1732	0.0	1732.0	1.0	97706	99656.11	1950.11	562	343.89	0.3881	2294	343.89	0.8501	100000	58111	0
