TA1	TA2	TA3	TA4	TB	TC	NTA	gdna	strand_specificity	n_fragments	strand_symmetry_kappa	nrna_TB	nrna_TC	TA1_expected	TA2_expected	TA3_expected	TA4_expected	TB_expected	TC_expected	TA1_observed	TA2_observed	TA3_observed	TA4_observed	TB_observed	TC_observed	TA1_abs_diff	TA2_abs_diff	TA3_abs_diff	TA4_abs_diff	TB_abs_diff	TC_abs_diff	TA1_rel_err	TA2_rel_err	TA3_rel_err	TA4_rel_err	TB_rel_err	TC_rel_err	nrna_expected	nrna_observed	nrna_abs_diff	nrna_rel_err	gdna_expected	gdna_observed	gdna_abs_diff	total_mrna_expected	total_mrna_observed	total_mrna_rel_err	total_rna_expected	total_rna_observed	total_rna_rel_err	n_fragments_actual	n_intergenic	n_chimeric
1	0	0	3	0	0	100	100	1.0	100000	2.0	0	0	48	0	0	92	0	0	30.65	0.59	8.79	73.3	2.58	0.5	17.35	0.59	8.79	18.7	2.58	0.5	0.3614	0.0	0.0	0.2033	0.0	0.0	15036	15038.43	2.43	0.0002	84824	84845.16	21.16	140	116.41	0.1685	15176	15154.84	0.0014	100000	50369	0
1	0	0	3	0	0	100	100	1.0	100000	6.0	0	0	48	0	0	92	0	0	30.49	0.59	8.68	73.12	2.58	19.96	17.51	0.59	8.68	18.88	2.58	19.96	0.3647	0.0	0.0	0.2052	0.0	0.0	15036	17951.12	2915.12	0.1939	84824	81913.46	2910.54	140	135.42	0.0327	15176	18086.54	0.1918	100000	50369	0
3	0	0	3	0	0	100	100	1.0	100000	2.0	0	0	131	0	0	105	0	0	87.01	0.34	38.66	56.96	2.97	0.51	43.99	0.34	38.66	48.04	2.97	0.51	0.3358	0.0	0.0	0.4575	0.0	0.0	15021	14519.17	501.83	0.0334	84743	85294.37	551.37	236	186.46	0.2099	15257	14705.63	0.0361	100000	50558	0
3	0	0	3	0	0	100	100	1.0	100000	6.0	0	0	131	0	0	105	0	0	86.76	0.34	38.59	56.83	2.97	38.52	44.24	0.34	38.59	48.17	2.97	38.52	0.3377	0.0	0.0	0.4588	0.0	0.0	15021	17132.81	2111.81	0.1406	84743	82643.19	2099.81	236	224.01	0.0508	15257	17356.81	0.1376	100000	50558	0
10	0	0	3	0	0	100	100	1.0	100000	2.0	0	0	459	0	0	110	0	0	326.15	0.42	69.78	41.35	3.07	0.51	132.85	0.42	69.78	68.65	3.07	0.51	0.2894	0.0	0.0	0.6241	0.0	0.0	14971	14052.52	918.48	0.0614	84460	85506.21	1046.21	569	441.27	0.2245	15540	14493.79	0.0673	100000	50386	0
10	0	0	3	0	0	100	100	1.0	100000	6.0	0	0	459	0	0	110	0	0	325.81	0.42	69.63	41.39	3.07	16.9	133.19	0.42	69.63	68.61	3.07	16.9	0.2902	0.0	0.0	0.6238	0.0	0.0	14971	16512.54	1541.54	0.103	84460	83030.26	1429.74	569	457.21	0.1965	15540	16969.74	0.092	100000	50386	0
30	0	0	3	0	0	100	100	1.0	100000	2.0	0	0	1418	0	0	89	0	0	1260.7	0.39	29.62	97.12	3.36	0.52	157.3	0.39	29.62	8.12	3.36	0.52	0.1109	0.0	0.0	0.0912	0.0	0.0	14830	13795.26	1034.74	0.0698	83663	84813.03	1150.03	1507	1391.72	0.0765	16337	15186.97	0.0704	100000	49671	0
30	0	0	3	0	0	100	100	1.0	100000	6.0	0	0	1418	0	0	89	0	0	1260.55	0.39	29.72	97.02	3.36	48.64	157.45	0.39	29.72	8.02	3.36	48.64	0.111	0.0	0.0	0.0901	0.0	0.0	14830	16125.94	1295.94	0.0874	83663	82434.37	1228.63	1507	1439.69	0.0447	16337	17565.63	0.0752	100000	49671	0
100	0	0	3	0	0	100	100	1.0	100000	2.0	0	0	4573	0	0	84	0	0	4195.01	0.49	7.36	57.19	2.6	0.45	377.99	0.49	7.36	26.81	2.6	0.45	0.0827	0.0	0.0	0.3192	0.0	0.0	14356	13657.0	699.0	0.0487	80987	82079.9	1092.9	4657	4263.1	0.0846	19013	17920.1	0.0575	100000	48025	0
100	0	0	3	0	0	100	100	1.0	100000	6.0	0	0	4573	0	0	84	0	0	4195.29	0.49	7.34	57.19	2.6	12.11	377.71	0.49	7.34	26.81	2.6	12.11	0.0826	0.0	0.0	0.3191	0.0	0.0	14356	15836.33	1480.33	0.1031	80987	79888.63	1098.37	4657	4275.04	0.082	19013	20111.37	0.0578	100000	48025	0
