TA1	TA2	TA3	TA4	TB	TC	NTA	gdna	strand_specificity	n_fragments	strand_symmetry_kappa	nrna_TB	nrna_TC	TA1_expected	TA2_expected	TA3_expected	TA4_expected	TB_expected	TC_expected	TA1_observed	TA2_observed	TA3_observed	TA4_observed	TB_observed	TC_observed	TA1_abs_diff	TA2_abs_diff	TA3_abs_diff	TA4_abs_diff	TB_abs_diff	TC_abs_diff	TA1_rel_err	TA2_rel_err	TA3_rel_err	TA4_rel_err	TB_rel_err	TC_rel_err	nrna_expected	nrna_observed	nrna_abs_diff	nrna_rel_err	gdna_expected	gdna_observed	gdna_abs_diff	total_mrna_expected	total_mrna_observed	total_mrna_rel_err	total_rna_expected	total_rna_observed	total_rna_rel_err	n_fragments_actual	n_intergenic	n_chimeric
100	0	0	3	0	0	0	0	1.0	100000	2.0	0	0	98116	0	0	1884	0	0	97908.08	1.65	205.71	1884.56	0.0	0.0	207.92	1.65	205.71	0.56	0.0	0.0	0.0021	0.0	0.0	0.0003	0.0	0.0	0	0.0	0.0	0.0	0	0.0	0.0	100000	100000.0	0.0	100000	100000.0	0.0	100000	0	0
100	0	0	3	0	0	0	0	1.0	100000	6.0	0	0	98116	0	0	1884	0	0	97908.08	1.65	205.71	1884.56	0.0	0.0	207.92	1.65	205.71	0.56	0.0	0.0	0.0021	0.0	0.0	0.0003	0.0	0.0	0	0.0	0.0	0.0	0	0.0	0.0	100000	100000.0	0.0	100000	100000.0	0.0	100000	0	0
100	0	0	3	0	0	0	100	1.0	100000	2.0	0	0	5347	0	0	91	0	0	4563.04	0.76	94.34	2.54	3.07	0.59	783.96	0.76	94.34	88.46	3.07	0.59	0.1466	0.0	0.0	0.9721	0.0	0.0	0	0.0	0.0	0.0	94562	95335.66	773.66	5438	4664.34	0.1423	5438	4664.34	0.1423	100000	56158	0
100	0	0	3	0	0	0	100	1.0	100000	6.0	0	0	5347	0	0	91	0	0	5008.77	1.01	19.18	82.09	3.07	59.06	338.23	1.01	19.18	8.91	3.07	59.06	0.0633	0.0	0.0	0.0979	0.0	0.0	0	0.0	0.0	0.0	94562	94826.81	264.81	5438	5173.19	0.0487	5438	5173.19	0.0487	100000	56158	0
100	0	0	3	0	0	10	0	1.0	100000	2.0	0	0	74981	0	0	1456	0	0	74780.23	1.09	56.83	1328.5	0.0	0.0	200.77	1.09	56.83	127.5	0.0	0.0	0.0027	0.0	0.0	0.0876	0.0	0.0	23563	23833.35	270.35	0.0115	0	0.0	0.0	76437	76166.65	0.0035	100000	100000.0	0.0	100000	0	0
100	0	0	3	0	0	10	0	1.0	100000	6.0	0	0	74981	0	0	1456	0	0	74780.23	1.09	56.83	1328.5	0.0	0.0	200.77	1.09	56.83	127.5	0.0	0.0	0.0027	0.0	0.0	0.0876	0.0	0.0	23563	23833.35	270.35	0.0115	0	0.0	0.0	76437	76166.65	0.0035	100000	100000.0	0.0	100000	0	0
100	0	0	3	0	0	10	100	1.0	100000	2.0	0	0	5257	0	0	90	0	0	4661.5	0.71	180.29	3.96	2.96	0.56	595.5	0.71	180.29	86.04	2.96	0.56	0.1133	0.0	0.0	0.956	0.0	0.0	1649	700.22	948.78	0.5754	93004	94449.79	1445.79	5347	4849.99	0.093	6996	5550.21	0.2067	100000	55245	0
100	0	0	3	0	0	10	100	1.0	100000	6.0	0	0	5257	0	0	90	0	0	4660.49	0.71	180.32	3.9	2.96	37.74	596.51	0.71	180.32	86.1	2.96	37.74	0.1135	0.0	0.0	0.9567	0.0	0.0	1649	3234.31	1585.31	0.9614	93004	91879.57	1124.43	5347	4886.12	0.0862	6996	8120.43	0.1607	100000	55245	0
100	0	0	3	0	0	50	0	1.0	100000	2.0	0	0	38573	0	0	777	0	0	38492.2	0.73	33.02	726.31	0.0	0.0	80.8	0.73	33.02	50.69	0.0	0.0	0.0021	0.0	0.0	0.0652	0.0	0.0	60650	60747.74	97.74	0.0016	0	0.0	0.0	39350	39252.26	0.0025	100000	100000.0	0.0	100000	0	0
100	0	0	3	0	0	50	0	1.0	100000	6.0	0	0	38573	0	0	777	0	0	38492.2	0.73	33.02	726.31	0.0	0.0	80.8	0.73	33.02	50.69	0.0	0.0	0.0021	0.0	0.0	0.0652	0.0	0.0	60650	60747.74	97.74	0.0016	0	0.0	0.0	39350	39252.26	0.0025	100000	100000.0	0.0	100000	0	0
