TA1	TA2	TA3	TA4	TB	TC	NTA	gdna	strand_specificity	strand_symmetry_kappa	n_fragments	nrna_TB	nrna_TC	TA1_expected	TA2_expected	TA3_expected	TA4_expected	TB_expected	TC_expected	TA1_observed	TA2_observed	TA3_observed	TA4_observed	TB_observed	TC_observed	TA1_abs_diff	TA2_abs_diff	TA3_abs_diff	TA4_abs_diff	TB_abs_diff	TC_abs_diff	TA1_rel_err	TA2_rel_err	TA3_rel_err	TA4_rel_err	TB_rel_err	TC_rel_err	nrna_expected	nrna_observed	nrna_abs_diff	nrna_rel_err	gdna_expected	gdna_observed	gdna_abs_diff	total_mrna_expected	total_mrna_observed	total_mrna_rel_err	total_rna_expected	total_rna_observed	total_rna_rel_err	n_fragments_actual	n_intergenic	n_chimeric
100	0	0	3	0	0	0	0	1.0	2.0	50000	0	0	49086	0	0	914	0	0	49044.77	1.59	48.65	904.99	0.0	0.0	41.23	1.59	48.65	9.01	0.0	0.0	0.0008	0.0	0.0	0.0099	0.0	0.0	0	0.0	0.0	0.0	0	0.0	0.0	50000	50000.0	0.0	50000	50000.0	0.0	50000	0	0
100	0	0	3	0	0	0	0	1.0	4.0	50000	0	0	49086	0	0	914	0	0	49044.77	1.59	48.65	904.99	0.0	0.0	41.23	1.59	48.65	9.01	0.0	0.0	0.0008	0.0	0.0	0.0099	0.0	0.0	0	0.0	0.0	0.0	0	0.0	0.0	50000	50000.0	0.0	50000	50000.0	0.0	50000	0	0
100	0	0	3	0	0	0	0	1.0	6.0	50000	0	0	49086	0	0	914	0	0	49044.77	1.59	48.65	904.99	0.0	0.0	41.23	1.59	48.65	9.01	0.0	0.0	0.0008	0.0	0.0	0.0099	0.0	0.0	0	0.0	0.0	0.0	0	0.0	0.0	50000	50000.0	0.0	50000	50000.0	0.0	50000	0	0
100	0	0	3	0	0	0	0	0.95	2.0	50000	0	0	49051	0	0	949	0	0	49015.8	1.66	42.29	940.25	0.0	0.0	35.2	1.66	42.29	8.75	0.0	0.0	0.0007	0.0	0.0	0.0092	0.0	0.0	0	0.0	0.0	0.0	0	0.0	0.0	50000	50000.0	0.0	50000	50000.0	0.0	50000	0	0
100	0	0	3	0	0	0	0	0.95	4.0	50000	0	0	49051	0	0	949	0	0	49015.8	1.66	42.29	940.25	0.0	0.0	35.2	1.66	42.29	8.75	0.0	0.0	0.0007	0.0	0.0	0.0092	0.0	0.0	0	0.0	0.0	0.0	0	0.0	0.0	50000	50000.0	0.0	50000	50000.0	0.0	50000	0	0
100	0	0	3	0	0	0	0	0.95	6.0	50000	0	0	49051	0	0	949	0	0	49015.8	1.66	42.29	940.25	0.0	0.0	35.2	1.66	42.29	8.75	0.0	0.0	0.0007	0.0	0.0	0.0092	0.0	0.0	0	0.0	0.0	0.0	0	0.0	0.0	50000	50000.0	0.0	50000	50000.0	0.0	50000	0	0
100	0	0	3	0	0	0	0	0.9	2.0	50000	0	0	49051	0	0	949	0	0	49020.92	1.31	36.22	941.44	0.0	0.0	30.08	1.31	36.22	7.56	0.0	0.0	0.0006	0.0	0.0	0.008	0.0	0.0	0	0.0	0.0	0.0	0	0.11	0.11	50000	49999.89	0.0	50000	49999.89	0.0	50000	0	0
100	0	0	3	0	0	0	0	0.9	4.0	50000	0	0	49051	0	0	949	0	0	49020.8	1.31	36.37	941.4	0.0	0.0	30.2	1.31	36.37	7.6	0.0	0.0	0.0006	0.0	0.0	0.008	0.0	0.0	0	0.0	0.0	0.0	0	0.11	0.11	50000	49999.89	0.0	50000	49999.89	0.0	50000	0	0
100	0	0	3	0	0	0	0	0.9	6.0	50000	0	0	49051	0	0	949	0	0	49020.9	1.31	36.25	941.43	0.0	0.0	30.1	1.31	36.25	7.57	0.0	0.0	0.0006	0.0	0.0	0.008	0.0	0.0	0	0.0	0.0	0.0	0	0.11	0.11	50000	49999.89	0.0	50000	49999.89	0.0	50000	0	0
100	0	0	3	0	0	0	10	1.0	2.0	50000	0	0	17913	0	0	341	0	0	17655.42	1.08	59.66	280.54	2.09	0.61	257.58	1.08	59.66	60.46	2.09	0.61	0.0144	0.0	0.0	0.1773	0.0	0.0	0	0.0	0.0	0.0	31746	32000.6	254.6	18254	17999.4	0.0139	18254	17999.4	0.0139	50000	18853	0
100	0	0	3	0	0	0	10	1.0	4.0	50000	0	0	17913	0	0	341	0	0	17763.77	1.09	21.36	338.93	2.09	1.72	149.23	1.09	21.36	2.07	2.09	1.72	0.0083	0.0	0.0	0.0061	0.0	0.0	0	0.0	0.0	0.0	31746	31871.02	125.02	18254	18128.98	0.0068	18254	18128.98	0.0068	50000	18853	0
100	0	0	3	0	0	0	10	1.0	6.0	50000	0	0	17913	0	0	341	0	0	17822.77	1.1	13.32	373.99	2.09	21.49	90.23	1.1	13.32	32.99	2.09	21.49	0.005	0.0	0.0	0.0967	0.0	0.0	0	0.0	0.0	0.0	31746	31765.24	19.24	18254	18234.76	0.0011	18254	18234.76	0.0011	50000	18853	0
100	0	0	3	0	0	0	10	0.95	2.0	50000	0	0	17912	0	0	342	0	0	17449.8	0.78	20.55	289.0	2.34	0.53	462.2	0.78	20.55	53.0	2.34	0.53	0.0258	0.0	0.0	0.155	0.0	0.0	0	0.0	0.0	0.0	31746	32237.01	491.01	18254	17762.99	0.0269	18254	17762.99	0.0269	50000	18844	0
100	0	0	3	0	0	0	10	0.95	4.0	50000	0	0	17912	0	0	342	0	0	17535.39	0.79	14.07	310.5	2.34	1.17	376.61	0.79	14.07	31.5	2.34	1.17	0.021	0.0	0.0	0.0921	0.0	0.0	0	377.02	377.02	0.0	31746	31758.72	12.72	18254	17864.27	0.0214	18254	18241.28	0.0007	50000	18844	0
100	0	0	3	0	0	0	10	0.95	6.0	50000	0	0	17912	0	0	342	0	0	17567.25	0.8	14.17	311.48	2.34	5.95	344.75	0.8	14.17	30.52	2.34	5.95	0.0192	0.0	0.0	0.0892	0.0	0.0	0	749.72	749.72	0.0	31746	31348.3	397.7	18254	17901.98	0.0193	18254	18651.7	0.0218	50000	18844	0
100	0	0	3	0	0	0	10	0.9	2.0	50000	0	0	17912	0	0	342	0	0	17413.02	0.79	22.05	285.98	2.39	0.54	498.98	0.79	22.05	56.02	2.39	0.54	0.0279	0.0	0.0	0.1638	0.0	0.0	0	0.0	0.0	0.0	31746	32275.23	529.23	18254	17724.77	0.029	18254	17724.77	0.029	50000	18844	0
