TA1	TA2	TA3	TA4	TB	TC	NTA	gdna	strand_specificity	n_fragments	strand_symmetry_kappa	nrna_TB	nrna_TC	TA1_expected	TA2_expected	TA3_expected	TA4_expected	TB_expected	TC_expected	TA1_observed	TA2_observed	TA3_observed	TA4_observed	TB_observed	TC_observed	TA1_abs_diff	TA2_abs_diff	TA3_abs_diff	TA4_abs_diff	TB_abs_diff	TC_abs_diff	TA1_rel_err	TA2_rel_err	TA3_rel_err	TA4_rel_err	TB_rel_err	TC_rel_err	nrna_expected	nrna_observed	nrna_abs_diff	nrna_rel_err	gdna_expected	gdna_observed	gdna_abs_diff	total_mrna_expected	total_mrna_observed	total_mrna_rel_err	total_rna_expected	total_rna_observed	total_rna_rel_err	n_fragments_actual	n_intergenic	n_chimeric
100	0	0	3	0	0	0	0	1.0	10000	2.0	0	0	9802	0	0	198	0	0	9771.36	1.69	34.82	192.14	0.0	0.0	30.64	1.69	34.82	5.86	0.0	0.0	0.0031	0.0	0.0	0.0296	0.0	0.0	0	0.0	0.0	0.0	0	0.0	0.0	10000	10000.0	0.0	10000	10000.0	0.0	10000	0	0
100	0	0	3	0	0	0	0	1.0	10000	6.0	0	0	9802	0	0	198	0	0	9771.36	1.69	34.82	192.14	0.0	0.0	30.64	1.69	34.82	5.86	0.0	0.0	0.0031	0.0	0.0	0.0296	0.0	0.0	0	0.0	0.0	0.0	0	0.0	0.0	10000	10000.0	0.0	10000	10000.0	0.0	10000	0	0
100	0	0	3	0	0	0	100	1.0	10000	2.0	0	0	534	0	0	10	0	0	447.68	0.66	21.87	1.2	2.27	0.31	86.32	0.66	21.87	8.8	2.27	0.31	0.1617	0.0	0.0	0.8803	0.0	0.0	0	0.0	0.0	0.0	9456	9526.01	70.01	544	473.99	0.1287	544	473.99	0.1287	10000	5607	0
100	0	0	3	0	0	0	100	1.0	10000	6.0	0	0	534	0	0	10	0	0	535.79	1.03	11.24	19.84	2.31	16.59	1.79	1.03	11.24	9.84	2.31	16.59	0.0033	0.0	0.0	0.9842	0.0	0.0	0	0.0	0.0	0.0	9456	9413.19	42.81	544	586.81	0.0787	544	586.81	0.0787	10000	5607	0
100	0	0	3	0	0	100	0	1.0	10000	2.0	0	0	2400	0	0	49	0	0	2379.84	0.79	25.96	22.11	0.0	0.0	20.16	0.79	25.96	26.89	0.0	0.0	0.0084	0.0	0.0	0.5487	0.0	0.0	7551	7571.3	20.3	0.0027	0	0.0	0.0	2449	2428.7	0.0083	10000	10000.0	0.0	10000	0	0
100	0	0	3	0	0	100	0	1.0	10000	6.0	0	0	2400	0	0	49	0	0	2379.84	0.79	25.96	22.11	0.0	0.0	20.16	0.79	25.96	26.89	0.0	0.0	0.0084	0.0	0.0	0.5487	0.0	0.0	7551	7571.3	20.3	0.0027	0	0.0	0.0	2449	2428.7	0.0083	10000	10000.0	0.0	10000	0	0
100	0	0	3	0	0	100	100	1.0	10000	2.0	0	0	456	0	0	9	0	0	399.09	0.38	24.72	0.78	3.84	0.63	56.91	0.38	24.72	8.22	3.84	0.63	0.1248	0.0	0.0	0.9134	0.0	0.0	1436	1355.88	80.12	0.0558	8099	8214.68	115.68	465	429.44	0.0765	1901	1785.32	0.0609	10000	4841	0
100	0	0	3	0	0	100	100	1.0	10000	6.0	0	0	456	0	0	9	0	0	399.18	0.38	24.78	0.77	3.85	38.64	56.82	0.38	24.78	8.23	3.85	38.64	0.1246	0.0	0.0	0.9139	0.0	0.0	1436	1729.01	293.01	0.204	8099	7803.38	295.62	465	467.61	0.0056	1901	2196.62	0.1555	10000	4841	0
0	100	0	3	0	0	0	0	1.0	10000	2.0	0	0	0	9705	0	295	0	0	0.61	9721.71	2.41	275.27	0.0	0.0	0.61	16.71	2.41	19.73	0.0	0.0	0.0	0.0017	0.0	0.0669	0.0	0.0	0	0.0	0.0	0.0	0	0.0	0.0	10000	10000.0	0.0	10000	10000.0	0.0	10000	0	0
0	100	0	3	0	0	0	0	1.0	10000	6.0	0	0	0	9705	0	295	0	0	0.61	9721.71	2.41	275.27	0.0	0.0	0.61	16.71	2.41	19.73	0.0	0.0	0.0	0.0017	0.0	0.0669	0.0	0.0	0	0.0	0.0	0.0	0	0.0	0.0	10000	10000.0	0.0	10000	10000.0	0.0	10000	0	0
0	100	0	3	0	0	0	100	1.0	10000	2.0	0	0	0	348	0	12	0	0	0.22	328.18	0.25	0.42	4.04	0.48	0.22	19.82	0.25	11.58	4.04	0.48	0.0	0.057	0.0	0.9652	0.0	0.0	0	0.0	0.0	0.0	9640	9666.41	26.41	360	333.59	0.0734	360	333.59	0.0734	10000	5649	0
0	100	0	3	0	0	0	100	1.0	10000	6.0	0	0	0	348	0	12	0	0	0.23	339.12	0.26	0.47	4.16	41.75	0.23	8.88	0.26	11.53	4.16	41.75	0.0	0.0255	0.0	0.9604	0.0	0.0	0	356.6	356.6	0.0	9640	9257.4	382.6	360	386.0	0.0722	360	742.6	1.0628	10000	5649	0
0	100	0	3	0	0	100	0	1.0	10000	2.0	0	0	0	1696	0	45	0	0	0.55	1696.15	1.16	83.02	0.0	0.0	0.55	0.15	1.16	38.02	0.0	0.0	0.0	0.0001	0.0	0.8448	0.0	0.0	8259	8219.13	39.87	0.0048	0	0.0	0.0	1741	1780.87	0.0229	10000	10000.0	0.0	10000	0	0
0	100	0	3	0	0	100	0	1.0	10000	6.0	0	0	0	1696	0	45	0	0	0.55	1696.15	1.16	83.02	0.0	0.0	0.55	0.15	1.16	38.02	0.0	0.0	0.0	0.0001	0.0	0.8448	0.0	0.0	8259	8219.13	39.87	0.0048	0	0.0	0.0	1741	1780.87	0.0229	10000	10000.0	0.0	10000	0	0
0	100	0	3	0	0	100	100	1.0	10000	2.0	0	0	0	299	0	9	0	0	0.27	290.98	1.16	4.13	2.0	0.4	0.27	8.02	1.16	4.87	2.0	0.4	0.0	0.0268	0.0	0.5415	0.0	0.0	1459	1424.97	34.03	0.0233	8233	8276.1	43.1	308	298.93	0.0294	1767	1723.9	0.0244	10000	4834	0
0	100	0	3	0	0	100	100	1.0	10000	6.0	0	0	0	299	0	9	0	0	0.27	291.51	1.16	4.1	2.01	17.87	0.27	7.49	1.16	4.9	2.01	17.87	0.0	0.0251	0.0	0.5445	0.0	0.0	1459	1858.0	399.0	0.2735	8233	7825.09	407.91	308	316.91	0.0289	1767	2174.91	0.2308	10000	4834	0
0	0	100	3	0	0	0	0	1.0	10000	2.0	0	0	0	0	9761	239	0	0	0.93	1.81	9760.57	236.69	0.0	0.0	0.93	1.81	0.43	2.31	0.0	0.0	0.0	0.0	0.0	0.0097	0.0	0.0	0	0.0	0.0	0.0	0	0.0	0.0	10000	10000.0	0.0	10000	10000.0	0.0	10000	0	0
0	0	100	3	0	0	0	0	1.0	10000	6.0	0	0	0	0	9761	239	0	0	0.93	1.81	9760.57	236.69	0.0	0.0	0.93	1.81	0.43	2.31	0.0	0.0	0.0	0.0	0.0	0.0097	0.0	0.0	0	0.0	0.0	0.0	0	0.0	0.0	10000	10000.0	0.0	10000	10000.0	0.0	10000	0	0
0	0	100	3	0	0	0	100	1.0	10000	2.0	0	0	0	0	438	15	0	0	0.69	0.69	381.79	0.91	2.91	0.54	0.69	0.69	56.21	14.09	2.91	0.54	0.0	0.0	0.1283	0.9391	0.0	0.0	0	0.0	0.0	0.0	9547	9612.47	65.47	453	387.53	0.1445	453	387.53	0.1445	10000	5651	0
0	0	100	3	0	0	0	100	1.0	10000	6.0	0	0	0	0	438	15	0	0	0.94	1.01	444.9	11.95	2.91	40.12	0.94	1.01	6.9	3.05	2.91	40.12	0.0	0.0	0.0157	0.2034	0.0	0.0	0	0.0	0.0	0.0	9547	9498.18	48.82	453	501.82	0.1078	453	501.82	0.1078	10000	5651	0
0	0	100	3	0	0	100	0	1.0	10000	2.0	0	0	0	0	2066	45	0	0	0.91	0.65	2012.5	58.87	0.0	0.0	0.91	0.65	53.5	13.87	0.0	0.0	0.0	0.0	0.0259	0.3081	0.0	0.0	7889	7927.07	38.07	0.0048	0	0.0	0.0	2111	2072.93	0.018	10000	10000.0	0.0	10000	0	0
0	0	100	3	0	0	100	0	1.0	10000	6.0	0	0	0	0	2066	45	0	0	0.91	0.65	2012.5	58.87	0.0	0.0	0.91	0.65	53.5	13.87	0.0	0.0	0.0	0.0	0.0259	0.3081	0.0	0.0	7889	7927.07	38.07	0.0048	0	0.0	0.0	2111	2072.93	0.018	10000	10000.0	0.0	10000	0	0
