TA1	TA2	TA3	TA4	TB	TC	NTA	gdna	strand_specificity	n_fragments	strand_symmetry_kappa	strand_symmetry_pseudo	nrna_TB	nrna_TC	TA1_expected	TA2_expected	TA3_expected	TA4_expected	TB_expected	TC_expected	TA1_observed	TA2_observed	TA3_observed	TA4_observed	TB_observed	TC_observed	TA1_abs_diff	TA2_abs_diff	TA3_abs_diff	TA4_abs_diff	TB_abs_diff	TC_abs_diff	TA1_rel_err	TA2_rel_err	TA3_rel_err	TA4_rel_err	TB_rel_err	TC_rel_err	nrna_expected	nrna_observed	nrna_abs_diff	nrna_rel_err	gdna_expected	gdna_observed	gdna_abs_diff	total_mrna_expected	total_mrna_observed	total_mrna_rel_err	total_rna_expected	total_rna_observed	total_rna_rel_err	n_fragments_actual	n_intergenic	n_chimeric
100	0	0	3	0	0	100	100	1.0	10000	2.0	1.0	0	0	456	0	0	9	0	0	399.09	0.38	24.72	0.78	3.84	0.63	56.91	0.38	24.72	8.22	3.84	0.63	0.1248	0.0	0.0	0.9134	0.0	0.0	1436	1355.88	80.12	0.0558	8099	8214.68	115.68	465	429.44	0.0765	1901	1785.32	0.0609	10000	4841	0
100	0	0	3	0	0	100	100	1.0	10000	2.0	5.0	0	0	456	0	0	9	0	0	399.09	0.38	24.72	0.78	3.84	0.63	56.91	0.38	24.72	8.22	3.84	0.63	0.1248	0.0	0.0	0.9134	0.0	0.0	1436	1355.88	80.12	0.0558	8099	8214.68	115.68	465	429.44	0.0765	1901	1785.32	0.0609	10000	4841	0
100	0	0	3	0	0	100	100	1.0	10000	2.0	10.0	0	0	456	0	0	9	0	0	399.09	0.38	24.72	0.78	3.84	0.63	56.91	0.38	24.72	8.22	3.84	0.63	0.1248	0.0	0.0	0.9134	0.0	0.0	1436	1355.88	80.12	0.0558	8099	8214.68	115.68	465	429.44	0.0765	1901	1785.32	0.0609	10000	4841	0
100	0	0	3	0	0	100	100	1.0	10000	2.0	20.0	0	0	456	0	0	9	0	0	399.09	0.38	24.72	0.78	3.84	0.63	56.91	0.38	24.72	8.22	3.84	0.63	0.1248	0.0	0.0	0.9134	0.0	0.0	1436	1355.88	80.12	0.0558	8099	8214.68	115.68	465	429.44	0.0765	1901	1785.32	0.0609	10000	4841	0
100	0	0	3	0	0	100	100	1.0	10000	2.0	50.0	0	0	456	0	0	9	0	0	399.09	0.38	24.72	0.78	3.84	0.63	56.91	0.38	24.72	8.22	3.84	0.63	0.1248	0.0	0.0	0.9134	0.0	0.0	1436	1355.88	80.12	0.0558	8099	8214.68	115.68	465	429.44	0.0765	1901	1785.32	0.0609	10000	4841	0
100	0	0	3	0	0	100	100	1.0	10000	3.0	1.0	0	0	456	0	0	9	0	0	399.13	0.38	24.74	0.78	3.85	1.61	56.87	0.38	24.74	8.22	3.85	1.61	0.1247	0.0	0.0	0.9136	0.0	0.0	1436	1532.87	96.87	0.0675	8099	8036.64	62.36	465	430.49	0.0742	1901	1963.36	0.0328	10000	4841	0
100	0	0	3	0	0	100	100	1.0	10000	3.0	5.0	0	0	456	0	0	9	0	0	399.13	0.38	24.74	0.78	3.85	1.57	56.87	0.38	24.74	8.22	3.85	1.57	0.1247	0.0	0.0	0.9136	0.0	0.0	1436	1531.38	95.38	0.0664	8099	8038.17	60.83	465	430.45	0.0743	1901	1961.83	0.032	10000	4841	0
100	0	0	3	0	0	100	100	1.0	10000	3.0	10.0	0	0	456	0	0	9	0	0	399.13	0.38	24.74	0.78	3.85	1.53	56.87	0.38	24.74	8.22	3.85	1.53	0.1247	0.0	0.0	0.9136	0.0	0.0	1436	1529.55	93.55	0.0651	8099	8040.05	58.95	465	430.4	0.0744	1901	1959.95	0.031	10000	4841	0
100	0	0	3	0	0	100	100	1.0	10000	3.0	20.0	0	0	456	0	0	9	0	0	399.13	0.38	24.74	0.78	3.85	1.45	56.87	0.38	24.74	8.22	3.85	1.45	0.1247	0.0	0.0	0.9136	0.0	0.0	1436	1525.97	89.97	0.0627	8099	8043.71	55.29	465	430.32	0.0746	1901	1956.29	0.0291	10000	4841	0
100	0	0	3	0	0	100	100	1.0	10000	3.0	50.0	0	0	456	0	0	9	0	0	399.12	0.38	24.74	0.78	3.85	1.27	56.88	0.38	24.74	8.22	3.85	1.27	0.1247	0.0	0.0	0.9136	0.0	0.0	1436	1515.92	79.92	0.0557	8099	8053.95	45.05	465	430.13	0.075	1901	1946.05	0.0237	10000	4841	0
100	0	0	3	0	0	100	100	1.0	10000	4.0	1.0	0	0	456	0	0	9	0	0	399.15	0.38	24.76	0.78	3.85	10.2	56.85	0.38	24.76	8.22	3.85	10.2	0.1247	0.0	0.0	0.9137	0.0	0.0	1436	1626.56	190.56	0.1327	8099	7934.32	164.68	465	439.11	0.0557	1901	2065.68	0.0866	10000	4841	0
100	0	0	3	0	0	100	100	1.0	10000	4.0	5.0	0	0	456	0	0	9	0	0	399.15	0.38	24.76	0.78	3.85	9.59	56.85	0.38	24.76	8.22	3.85	9.59	0.1247	0.0	0.0	0.9137	0.0	0.0	1436	1624.64	188.64	0.1314	8099	7936.85	162.15	465	438.51	0.057	1901	2063.15	0.0853	10000	4841	0
100	0	0	3	0	0	100	100	1.0	10000	4.0	10.0	0	0	456	0	0	9	0	0	399.15	0.38	24.76	0.78	3.85	8.87	56.85	0.38	24.76	8.22	3.85	8.87	0.1247	0.0	0.0	0.9137	0.0	0.0	1436	1622.27	186.27	0.1297	8099	7939.94	159.06	465	437.79	0.0585	1901	2060.06	0.0837	10000	4841	0
100	0	0	3	0	0	100	100	1.0	10000	4.0	20.0	0	0	456	0	0	9	0	0	399.15	0.38	24.76	0.78	3.85	7.58	56.85	0.38	24.76	8.22	3.85	7.58	0.1247	0.0	0.0	0.9137	0.0	0.0	1436	1617.63	181.63	0.1265	8099	7945.88	153.12	465	436.5	0.0613	1901	2054.12	0.0805	10000	4841	0
100	0	0	3	0	0	100	100	1.0	10000	4.0	50.0	0	0	456	0	0	9	0	0	399.15	0.38	24.75	0.78	3.85	4.8	56.85	0.38	24.75	8.22	3.85	4.8	0.1247	0.0	0.0	0.9137	0.0	0.0	1436	1604.47	168.47	0.1173	8099	7961.83	137.17	465	433.7	0.0673	1901	2038.17	0.0722	10000	4841	0
100	0	0	3	0	0	100	100	1.0	10000	6.0	1.0	0	0	456	0	0	9	0	0	399.18	0.38	24.78	0.77	3.85	40.83	56.82	0.38	24.78	8.23	3.85	40.83	0.1246	0.0	0.0	0.9139	0.0	0.0	1436	1733.92	297.92	0.2075	8099	7796.28	302.72	465	469.8	0.0103	1901	2203.72	0.1592	10000	4841	0
100	0	0	3	0	0	100	100	1.0	10000	6.0	5.0	0	0	456	0	0	9	0	0	399.18	0.38	24.78	0.77	3.85	39.85	56.82	0.38	24.78	8.23	3.85	39.85	0.1246	0.0	0.0	0.9139	0.0	0.0	1436	1731.72	295.72	0.2059	8099	7799.46	299.54	465	468.82	0.0082	1901	2200.54	0.1576	10000	4841	0
100	0	0	3	0	0	100	100	1.0	10000	6.0	10.0	0	0	456	0	0	9	0	0	399.18	0.38	24.78	0.77	3.85	38.64	56.82	0.38	24.78	8.23	3.85	38.64	0.1246	0.0	0.0	0.9139	0.0	0.0	1436	1729.01	293.01	0.204	8099	7803.38	295.62	465	467.61	0.0056	1901	2196.62	0.1555	10000	4841	0
