TA1	TA2	TA3	TA4	TB	TC	NTA	gdna	strand_specificity	n_fragments	strand_symmetry_kappa	nrna_TB	nrna_TC	TA1_expected	TA2_expected	TA3_expected	TA4_expected	TB_expected	TC_expected	TA1_observed	TA2_observed	TA3_observed	TA4_observed	TB_observed	TC_observed	TA1_abs_diff	TA2_abs_diff	TA3_abs_diff	TA4_abs_diff	TB_abs_diff	TC_abs_diff	TA1_rel_err	TA2_rel_err	TA3_rel_err	TA4_rel_err	TB_rel_err	TC_rel_err	nrna_expected	nrna_observed	nrna_abs_diff	nrna_rel_err	gdna_expected	gdna_observed	gdna_abs_diff	total_mrna_expected	total_mrna_observed	total_mrna_rel_err	total_rna_expected	total_rna_observed	total_rna_rel_err	n_fragments_actual	n_intergenic	n_chimeric
100	0	0	3	0	0	0	0	0.8	10000	2.0	0	0	9788	0	0	212	0	0	9792.61	1.23	19.67	186.37	0.0	0.0	4.61	1.23	19.67	25.63	0.0	0.0	0.0005	0.0	0.0	0.1209	0.0	0.0	0	0.0	0.0	0.0	0	0.12	0.12	10000	9999.88	0.0	10000	9999.88	0.0	10000	0	0
100	0	0	3	0	0	0	0	0.8	10000	3.0	0	0	9788	0	0	212	0	0	9792.65	1.23	19.62	186.38	0.0	0.0	4.65	1.23	19.62	25.62	0.0	0.0	0.0005	0.0	0.0	0.1208	0.0	0.0	0	0.0	0.0	0.0	0	0.12	0.12	10000	9999.88	0.0	10000	9999.88	0.0	10000	0	0
100	0	0	3	0	0	0	0	0.8	10000	6.0	0	0	9788	0	0	212	0	0	9792.66	1.23	19.6	186.38	0.0	0.0	4.66	1.23	19.6	25.62	0.0	0.0	0.0005	0.0	0.0	0.1208	0.0	0.0	0	0.0	0.0	0.0	0	0.12	0.12	10000	9999.88	0.0	10000	9999.88	0.0	10000	0	0
100	0	0	3	0	0	0	0	0.9	10000	2.0	0	0	9788	0	0	212	0	0	9792.66	1.23	19.6	186.39	0.0	0.0	4.66	1.23	19.6	25.61	0.0	0.0	0.0005	0.0	0.0	0.1208	0.0	0.0	0	0.0	0.0	0.0	0	0.11	0.11	10000	9999.89	0.0	10000	9999.89	0.0	10000	0	0
100	0	0	3	0	0	0	0	0.9	10000	3.0	0	0	9788	0	0	212	0	0	9792.67	1.23	19.6	186.39	0.0	0.0	4.67	1.23	19.6	25.61	0.0	0.0	0.0005	0.0	0.0	0.1208	0.0	0.0	0	0.0	0.0	0.0	0	0.11	0.11	10000	9999.89	0.0	10000	9999.89	0.0	10000	0	0
100	0	0	3	0	0	0	0	0.9	10000	6.0	0	0	9788	0	0	212	0	0	9792.66	1.23	19.6	186.39	0.0	0.0	4.66	1.23	19.6	25.61	0.0	0.0	0.0005	0.0	0.0	0.1208	0.0	0.0	0	0.0	0.0	0.0	0	0.11	0.11	10000	9999.89	0.0	10000	9999.89	0.0	10000	0	0
100	0	0	3	0	0	0	0	0.95	10000	2.0	0	0	9788	0	0	212	0	0	9792.66	1.23	19.62	186.38	0.0	0.0	4.66	1.23	19.62	25.62	0.0	0.0	0.0005	0.0	0.0	0.1209	0.0	0.0	0	0.0	0.0	0.0	0	0.12	0.12	10000	9999.88	0.0	10000	9999.88	0.0	10000	0	0
100	0	0	3	0	0	0	0	0.95	10000	3.0	0	0	9788	0	0	212	0	0	9792.66	1.23	19.62	186.38	0.0	0.0	4.66	1.23	19.62	25.62	0.0	0.0	0.0005	0.0	0.0	0.1209	0.0	0.0	0	0.0	0.0	0.0	0	0.12	0.12	10000	9999.88	0.0	10000	9999.88	0.0	10000	0	0
100	0	0	3	0	0	0	0	0.95	10000	6.0	0	0	9788	0	0	212	0	0	9792.64	1.23	19.64	186.37	0.0	0.0	4.64	1.23	19.64	25.63	0.0	0.0	0.0005	0.0	0.0	0.1209	0.0	0.0	0	0.0	0.0	0.0	0	0.12	0.12	10000	9999.88	0.0	10000	9999.88	0.0	10000	0	0
100	0	0	3	0	0	0	0	1.0	10000	2.0	0	0	9802	0	0	198	0	0	9771.36	1.69	34.82	192.14	0.0	0.0	30.64	1.69	34.82	5.86	0.0	0.0	0.0031	0.0	0.0	0.0296	0.0	0.0	0	0.0	0.0	0.0	0	0.0	0.0	10000	10000.0	0.0	10000	10000.0	0.0	10000	0	0
