TA1	TA2	TA3	TA4	TB	TC	NTA	gdna	strand_specificity	n_fragments	strand_symmetry_kappa	strand_symmetry_pseudo	nrna_TB	nrna_TC	TA1_expected	TA2_expected	TA3_expected	TA4_expected	TB_expected	TC_expected	TA1_observed	TA2_observed	TA3_observed	TA4_observed	TB_observed	TC_observed	TA1_abs_diff	TA2_abs_diff	TA3_abs_diff	TA4_abs_diff	TB_abs_diff	TC_abs_diff	TA1_rel_err	TA2_rel_err	TA3_rel_err	TA4_rel_err	TB_rel_err	TC_rel_err	nrna_expected	nrna_observed	nrna_abs_diff	nrna_rel_err	gdna_expected	gdna_observed	gdna_abs_diff	total_mrna_expected	total_mrna_observed	total_mrna_rel_err	total_rna_expected	total_rna_observed	total_rna_rel_err	n_fragments_actual	n_intergenic	n_chimeric
100	0	0	3	0	0	100	100	1.0	10000	2.0	1.0	0	0	456	0	0	9	0	0	399.09	0.38	24.72	0.78	3.84	0.63	56.91	0.38	24.72	8.22	3.84	0.63	0.1248	0.0	0.0	0.9134	0.0	0.0	1436	1355.88	80.12	0.0558	8099	8214.68	115.68	465	429.44	0.0765	1901	1785.32	0.0609	10000	4841	0
100	0	0	3	0	0	100	100	1.0	10000	2.0	5.0	0	0	456	0	0	9	0	0	399.09	0.38	24.72	0.78	3.84	0.63	56.91	0.38	24.72	8.22	3.84	0.63	0.1248	0.0	0.0	0.9134	0.0	0.0	1436	1355.88	80.12	0.0558	8099	8214.68	115.68	465	429.44	0.0765	1901	1785.32	0.0609	10000	4841	0
100	0	0	3	0	0	100	100	1.0	10000	2.0	10.0	0	0	456	0	0	9	0	0	399.09	0.38	24.72	0.78	3.84	0.63	56.91	0.38	24.72	8.22	3.84	0.63	0.1248	0.0	0.0	0.9134	0.0	0.0	1436	1355.88	80.12	0.0558	8099	8214.68	115.68	465	429.44	0.0765	1901	1785.32	0.0609	10000	4841	0
100	0	0	3	0	0	100	100	1.0	10000	2.0	20.0	0	0	456	0	0	9	0	0	399.09	0.38	24.72	0.78	3.84	0.63	56.91	0.38	24.72	8.22	3.84	0.63	0.1248	0.0	0.0	0.9134	0.0	0.0	1436	1355.88	80.12	0.0558	8099	8214.68	115.68	465	429.44	0.0765	1901	1785.32	0.0609	10000	4841	0
100	0	0	3	0	0	100	100	1.0	10000	2.0	50.0	0	0	456	0	0	9	0	0	399.09	0.38	24.72	0.78	3.84	0.63	56.91	0.38	24.72	8.22	3.84	0.63	0.1248	0.0	0.0	0.9134	0.0	0.0	1436	1355.88	80.12	0.0558	8099	8214.68	115.68	465	429.44	0.0765	1901	1785.32	0.0609	10000	4841	0
100	0	0	3	0	0	100	100	1.0	10000	3.0	1.0	0	0	456	0	0	9	0	0	399.11	0.38	24.73	0.78	3.84	0.97	56.89	0.38	24.73	8.22	3.84	0.97	0.1248	0.0	0.0	0.9135	0.0	0.0	1436	1456.54	20.54	0.0143	8099	8113.64	14.64	465	429.82	0.0757	1901	1886.36	0.0077	10000	4841	0
100	0	0	3	0	0	100	100	1.0	10000	3.0	5.0	0	0	456	0	0	9	0	0	399.11	0.38	24.73	0.78	3.84	0.97	56.89	0.38	24.73	8.22	3.84	0.97	0.1248	0.0	0.0	0.9135	0.0	0.0	1436	1456.09	20.09	0.014	8099	8114.1	15.1	465	429.81	0.0757	1901	1885.9	0.0079	10000	4841	0
100	0	0	3	0	0	100	100	1.0	10000	3.0	10.0	0	0	456	0	0	9	0	0	399.11	0.38	24.73	0.78	3.84	0.96	56.89	0.38	24.73	8.22	3.84	0.96	0.1248	0.0	0.0	0.9135	0.0	0.0	1436	1455.54	19.54	0.0136	8099	8114.66	15.66	465	429.8	0.0757	1901	1885.34	0.0082	10000	4841	0
100	0	0	3	0	0	100	100	1.0	10000	3.0	20.0	0	0	456	0	0	9	0	0	399.11	0.38	24.73	0.78	3.84	0.95	56.89	0.38	24.73	8.22	3.84	0.95	0.1248	0.0	0.0	0.9135	0.0	0.0	1436	1454.45	18.45	0.0128	8099	8115.76	16.76	465	429.79	0.0757	1901	1884.24	0.0088	10000	4841	0
100	0	0	3	0	0	100	100	1.0	10000	3.0	50.0	0	0	456	0	0	9	0	0	399.11	0.38	24.73	0.78	3.84	0.92	56.89	0.38	24.73	8.22	3.84	0.92	0.1248	0.0	0.0	0.9135	0.0	0.0	1436	1451.27	15.27	0.0106	8099	8118.96	19.96	465	429.76	0.0758	1901	1881.04	0.0105	10000	4841	0
100	0	0	3	0	0	100	100	1.0	10000	4.0	1.0	0	0	456	0	0	9	0	0	399.12	0.38	24.74	0.78	3.84	1.72	56.88	0.38	24.74	8.22	3.84	1.72	0.1247	0.0	0.0	0.9136	0.0	0.0	1436	1516.76	80.76	0.0562	8099	8052.65	46.35	465	430.59	0.074	1901	1947.35	0.0244	10000	4841	0
100	0	0	3	0	0	100	100	1.0	10000	4.0	5.0	0	0	456	0	0	9	0	0	399.12	0.38	24.74	0.78	3.84	1.7	56.88	0.38	24.74	8.22	3.84	1.7	0.1247	0.0	0.0	0.9136	0.0	0.0	1436	1516.15	80.15	0.0558	8099	8053.28	45.72	465	430.56	0.0741	1901	1946.72	0.024	10000	4841	0
100	0	0	3	0	0	100	100	1.0	10000	4.0	10.0	0	0	456	0	0	9	0	0	399.12	0.38	24.74	0.78	3.84	1.67	56.88	0.38	24.74	8.22	3.84	1.67	0.1247	0.0	0.0	0.9136	0.0	0.0	1436	1515.4	79.4	0.0553	8099	8054.06	44.94	465	430.54	0.0741	1901	1945.94	0.0236	10000	4841	0
100	0	0	3	0	0	100	100	1.0	10000	4.0	20.0	0	0	456	0	0	9	0	0	399.12	0.38	24.74	0.78	3.84	1.62	56.88	0.38	24.74	8.22	3.84	1.62	0.1247	0.0	0.0	0.9136	0.0	0.0	1436	1513.91	77.91	0.0543	8099	8055.6	43.4	465	430.49	0.0742	1901	1944.4	0.0228	10000	4841	0
100	0	0	3	0	0	100	100	1.0	10000	4.0	50.0	0	0	456	0	0	9	0	0	399.12	0.38	24.74	0.78	3.84	1.5	56.88	0.38	24.74	8.22	3.84	1.5	0.1247	0.0	0.0	0.9136	0.0	0.0	1436	1509.56	73.56	0.0512	8099	8060.07	38.93	465	430.36	0.0745	1901	1939.93	0.0205	10000	4841	0
100	0	0	3	0	0	100	100	1.0	10000	6.0	1.0	0	0	456	0	0	9	0	0	399.14	0.38	24.75	0.78	3.84	8.45	56.86	0.38	24.75	8.22	3.84	8.45	0.1247	0.0	0.0	0.9137	0.0	0.0	1436	1590.18	154.18	0.1074	8099	7972.48	126.52	465	437.34	0.0595	1901	2027.52	0.0666	10000	4841	0
100	0	0	3	0	0	100	100	1.0	10000	6.0	5.0	0	0	456	0	0	9	0	0	399.14	0.38	24.75	0.78	3.84	8.23	56.86	0.38	24.75	8.22	3.84	8.23	0.1247	0.0	0.0	0.9137	0.0	0.0	1436	1589.47	153.47	0.1069	8099	7973.4	125.6	465	437.13	0.0599	1901	2026.6	0.0661	10000	4841	0
