strand_specificity	n_rna_fragments	gdna_fraction	TA1	NTA1	TD	TE	NTD	NTE	gdna	TA1_expected	TD_expected	TE_expected	TA1_observed	TD_observed	TE_observed	TA1_abs_diff	TD_abs_diff	TE_abs_diff	TA1_rel_err	TD_rel_err	TE_rel_err	nrna_expected	nrna_observed	nrna_abs_diff	nrna_rel_err	gdna_expected	gdna_observed	gdna_abs_diff	total_mrna_expected	total_mrna_observed	total_mrna_rel_err	total_rna_expected	total_rna_observed	total_rna_rel_err	n_fragments_actual	n_intergenic	n_chimeric	rna_fl_true_mean	rna_fl_est_mean	rna_fl_mean_err	rna_fl_true_std	rna_fl_est_std	gdna_fl_true_mean	gdna_fl_est_mean	gdna_fl_mean_err	gdna_fl_true_std	gdna_fl_est_std	rna_fl_n_obs	gdna_fl_n_obs
0.5	10000	0.0	0	0	0	0	0	0	0	3403	3328	3269	3402.99	3327.68	3268.84	0.01	0.32	0.16	0.0	0.0001	0.0	0	0.12	0.12	0.0	0	0.37	0.37	10000	9999.51	0.0	10000	9999.63	0.0	10000	0	0	250	257.21	7.21	50	50.1	250			50		1315	0
0.5	10000	0.0	0	5	0	0	0	0	0	0	0	0	0.27	0.0	0.0	0.27	0.0	0.0	0.0	0.0	0.0	10000	9999.73	0.27	0.0	0	0.0	0.0	0	0.27	0.0	10000	10000.0	0.0	10000	0	0	250	249.05	-0.95	50	50.18	250			50		10000	0
0.5	10000	0.0	0	10	0	0	0	0	0	0	0	0	0.27	0.0	0.0	0.27	0.0	0.0	0.0	0.0	0.0	10000	9999.73	0.27	0.0	0	0.0	0.0	0	0.27	0.0	10000	10000.0	0.0	10000	0	0	250	249.05	-0.95	50	50.18	250			50		10000	0
0.5	10000	0.0	0	20	0	0	0	0	0	0	0	0	0.27	0.0	0.0	0.27	0.0	0.0	0.0	0.0	0.0	10000	9999.73	0.27	0.0	0	0.0	0.0	0	0.27	0.0	10000	10000.0	0.0	10000	0	0	250	249.05	-0.95	50	50.18	250			50		10000	0
0.5	10000	0.0	0	50	0	0	0	0	0	0	0	0	0.27	0.0	0.0	0.27	0.0	0.0	0.0	0.0	0.0	10000	9999.73	0.27	0.0	0	0.0	0.0	0	0.27	0.0	10000	10000.0	0.0	10000	0	0	250	249.05	-0.95	50	50.18	250			50		10000	0
0.5	10000	0.0	0	100	0	0	0	0	0	0	0	0	0.27	0.0	0.0	0.27	0.0	0.0	0.0	0.0	0.0	10000	9999.73	0.27	0.0	0	0.0	0.0	0	0.27	0.0	10000	10000.0	0.0	10000	0	0	250	249.05	-0.95	50	50.18	250			50		10000	0
0.5	10000	0.0	0	200	0	0	0	0	0	0	0	0	0.27	0.0	0.0	0.27	0.0	0.0	0.0	0.0	0.0	10000	9999.73	0.27	0.0	0	0.0	0.0	0	0.27	0.0	10000	10000.0	0.0	10000	0	0	250	249.05	-0.95	50	50.18	250			50		10000	0
0.5	10000	0.0	0	500	0	0	0	0	0	0	0	0	0.27	0.0	0.0	0.27	0.0	0.0	0.0	0.0	0.0	10000	9999.73	0.27	0.0	0	0.0	0.0	0	0.27	0.0	10000	10000.0	0.0	10000	0	0	250	249.05	-0.95	50	50.18	250			50		10000	0
0.5	10000	0.0	0	1000	0	0	0	0	0	0	0	0	0.27	0.0	0.0	0.27	0.0	0.0	0.0	0.0	0.0	10000	9999.73	0.27	0.0	0	0.0	0.0	0	0.27	0.0	10000	10000.0	0.0	10000	0	0	250	249.05	-0.95	50	50.18	250			50		10000	0
0.5	10000	0.0	5	0	0	0	0	0	0	10000	0	0	10000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0.0	0.0	10000	10000.0	0.0	10000	10000.0	0.0	10000	0	0	250	251.24	1.24	50	65.94	250			50		10000	0
0.5	10000	0.0	5	5	0	0	0	0	0	976	0	0	427.25	0.0	0.0	548.75	0.0	0.0	0.5622	0.0	0.0	9024	0.36	9023.64	1.0	0	9572.39	9572.39	976	427.25	0.5622	10000	427.61	0.9572	10000	0	0	250	258.11	8.11	50	47.25	250	248.89	-1.11	50	51.75	208	9466
