target_label	chrom	observed_start_1based	observed_end	gdna_false_rna	fraction_of_false_rna	pred_mrna	pred_nrna	ambig_same	ambig_opp	unspliced	mean_zw	max_zw	zw_ge_90_rate
nRNA chr2:178,525,988-178,804,642(-)	chr2	32916265	178804640	14066	0.0058766071262948295	0	14066	417	13623	13935	0.7353240524271796	0.9990323185920715	0.16962889236456705
nRNA chr2:178,523,417-178,776,534(+)	chr2	178526721	178776529	6812	0.0028459723975771635	0	6812	0	6801	6722	0.4519397662799418	0.9833395481109619	0.0005871990604815032
nRNA chr11:64,251,529-64,267,923(+)	chr11	64251522	64328765	2809	0.0011735667153250516	0	2809	2800	0	2539	0.7423349264617937	0.9976447820663452	0.097187611249555
nRNA chr9:110,365,247-110,579,741(-)	chr9	110366202	110579718	2170	0.0009066001325223788	0	2170	2166	0	2166	0.6499909165783138	0.9989553093910217	0.0013824884792626728
nRNA chr17:29,560,546-29,707,090(+)	chr17	29562309	29703236	1750	0.0007311291391309506	0	1750	226	1519	1696	0.4815130280346743	0.9999409914016724	0.024
nRNA chr21:8,380,664-8,450,668(+)	mixed	101586	45024528	1715	0.0007165065563483317	0	1715	137	0	1335	0.8291882574422497	0.9991204142570496	0.6915451895043732
mRNA ZFHX4 ENST00000518282.5	chr8	76704045	92818668	1711	0.000714835404030318	1711	0	1710	1	1709	0.7669863567210207	0.9932529330253601	0.48684979544126245
nRNA chr5:141,136,682-141,241,744(-)	chr5	141137019	141241485	1704	0.0007119108874737943	0	1704	3	1677	1703	0.640377188597679	0.9489741325378418	0.0005868544600938967
nRNA ENST00000698129.1	chr11	65499302	65506876	1701	0.000710657523235284	0	1701	0	1692	1673	0.8457488189246078	0.9993476867675781	0.6072898295120517
nRNA chr1:152,168,124-152,332,686(+)	chr1	152179714	152326058	1688	0.0007052262782017398	0	1688	13	1246	1569	0.7956541335536829	0.996897280216217	0.32582938388625593
mRNA MUC16 ENST00000397910.8	chr19	8886745	8981296	1670	0.0006977060927706786	1670	0	1660	0	1658	0.5178859052950974	0.9594102501869202	0.00718562874251497
mRNA FSIP2 ENST00000424728.6	chr2	185788656	185833291	1618	0.0006759811126365018	1618	0	576	1039	1617	0.7823075719571434	1.0	0.16440049443757726
nRNA chr2:178,528,739-178,633,078(+)	chr2	178528814	178632987	1575	0.0006580162252178556	0	1575	0	1575	1553	0.13778470304040683	0.3129633665084839	0.0
nRNA chr8:109,362,460-109,537,207(+)	chr8	109362473	109530370	1569	0.0006555094967408352	0	1569	1558	0	1555	0.5688671178443843	1.0	0.007010834926704908
nRNA chr7:141,995,878-142,106,747(+)	chr7	142005153	142106142	1558	0.0006509138278662978	0	1558	1533	0	1504	0.6677721439620459	0.9977639317512512	0.03337612323491656
mRNA AR ENST00000396043.4	chrX	67544227	67724277	1536	0.000641722490117223	1536	0	1528	1	1532	0.49186253318960854	0.9688456654548645	0.224609375
mRNA FLG2 ENST00000388718.5	chr1	152350091	152357632	1449	0.0006053749272004271	1449	0	0	1433	1439	0.7496822215796669	0.8814797401428223	0.0
mRNA AHNAK ENST00000378024.9	chr11	62516582	62534062	1433	0.0005986903179283728	1433	0	1423	0	1416	0.6892559638211798	1.0	0.01256106071179344
nRNA chr1:152,335,378-152,364,080(+)	chr1	152344441	152359031	1432	0.0005982725298488694	0	1432	1	1405	1412	0.8003667367091558	0.9955963492393494	0.44972067039106145
