target_label	chrom	observed_start_1based	observed_end	gdna_false_rna	fraction_of_false_rna	pred_mrna	pred_nrna	ambig_same	ambig_opp	unspliced	mean_zw	max_zw	zw_ge_90_rate
nRNA chr2:178,525,988-178,804,642(-)	chr2	178526839	178804618	14782	0.005598555328815706	0	14782	440	14342	14668	0.756972077257398	0.999218761920929	0.28927073467731024
nRNA chr2:178,523,417-178,776,534(+)	chr2	178526721	178776531	7662	0.002901916582964818	0	7662	0	7662	7567	0.5065283074447969	0.9930506944656372	0.005742625946228139
nRNA chr11:64,251,529-64,267,923(+)	chr11	64251539	64267707	3264	0.0012362119194462497	0	3264	3264	0	2996	0.809004617425814	0.9980326890945435	0.46262254901960786
nRNA chr13:110,149,060-110,299,118(-)	chr13	110149064	110299077	2492	0.0009438235610478109	0	2492	2492	0	2433	0.5968429314437507	0.9980754852294922	0.023274478330658106
mRNA ZFHX4 ENST00000518282.5	chr8	76704057	92818668	2184	0.0008271712108059465	2184	0	2183	1	2182	0.7869859200146649	0.9948737621307373	0.5201465201465202
mRNA ZNF462 ENST00000277225.10	chr9	29052401	107012899	2176	0.0008241412796308332	2176	0	2151	25	2175	0.7340351529072744	1.0	0.5078125
mRNA AHNAK ENST00000378024.9	chr11	62516540	62534074	2130	0.0008067191753739314	2130	0	2130	0	2120	0.8415914716177179	0.9998085498809814	0.6507042253521127
nRNA chr12:57,128,482-57,213,361(+)	chr12	57128772	57212660	2094	0.0007930844850859213	0	2094	2009	85	2038	0.6317111264786184	1.0	0.02148997134670487
nRNA chr17:29,560,546-29,707,090(+)	chr17	29562309	29703260	2088	0.0007908120367045862	0	2088	250	1838	2037	0.5746242388925904	0.999965488910675	0.019157088122605363
nRNA chr2:178,528,764-178,620,148(+)	chr2	178528774	178619987	2065	0.0007821009845761353	0	2065	0	2065	2039	0.18014073114273912	0.3344595730304718	0.0
nRNA chr11:64,823,051-64,844,653(-)	chr11	64687206	64844644	1968	0.0007453630690778859	0	1968	1968	0	1850	0.7954790606683998	1.0	0.4771341463414634
mRNA MUC16 ENST00000397910.8	chr19	8934900	8981296	1888	0.0007150637573267524	1888	0	1888	0	1884	0.5540496295434423	0.9640465974807739	0.00211864406779661
mRNA PCLO ENST00000423517.6	chr7	82821985	83162880	1888	0.0007150637573267524	1888	0	1888	0	1885	0.7874371678917669	0.998811662197113	0.5609110169491526
nRNA ENST00000698129.1	chr11	65499313	65506876	1824	0.0006908243079258455	0	1824	0	1824	1802	0.8641507576236076	0.9889940023422241	0.7110745614035088
nRNA chr5:141,136,682-141,241,744(-)	chr5	141136747	141241485	1804	0.000683249479988062	0	1804	3	1801	1803	0.6781536000316133	0.922103762626648	0.0005543237250554324
mRNA AR ENST00000396043.4	chrX	67521831	67724284	1769	0.0006699935310969412	1769	0	1769	0	1766	0.4791307053805122	0.995122492313385	0.2255511588468061
mRNA FSIP2 ENST00000424728.6	chr2	185788659	185833291	1730	0.0006552226166182635	1730	0	631	1099	1730	0.8220290324074685	0.946106493473053	0.5109826589595375
mRNA BSN ENST00000296452.5	chr3	49624975	49671352	1723	0.0006525714268400393	1723	0	1722	0	1722	0.8467449745578444	1.0	0.6639582124201974
mRNA IRS2 ENST00000375856.5	chr13	109755789	109786266	1705	0.0006457540816960343	1705	0	1491	214	1705	0.8773272505964089	0.9917081594467163	0.7612903225806451
mRNA FAT3 ENST00000409404.6	chr11	92352096	92891411	1697	0.0006427241505209209	1697	0	1683	14	1697	0.8409780758319442	0.957671046257019	0.6505598114319388
mRNA FAT1 ENST00000441802.7	chr4	83052074	186709837	1572	0.0005953814759097747	1572	0	1568	1	1567	0.8465594220710989	1.0	0.6571246819338422
mRNA FLG2 ENST00000388718.5	chr1	152350343	152357635	1503	0.000569248319524422	1503	0	0	1503	1493	0.7670755202442665	0.9008230566978455	0.005988023952095809
