target_label	chrom	observed_start_1based	observed_end	gdna_false_rna	fraction_of_false_rna	pred_mrna	pred_nrna	ambig_same	ambig_opp	unspliced	mean_zw	max_zw	zw_ge_90_rate
nRNA chr2:178,525,988-178,804,642(-)	chr2	178526810	178804640	15139	0.006054897631874703	0	15139	436	14677	15010	0.7656140768408615	0.9991784691810608	0.30781425457427836
nRNA chr2:178,523,417-178,776,534(+)	chr2	178526721	178776531	7538	0.0030148502773678252	0	7538	0	7527	7439	0.4825735142097197	0.9719703197479248	0.0005306447333510214
nRNA chr11:64,251,529-64,267,923(+)	chr11	64251522	64328765	2931	0.0011722640173739845	0	2931	2923	0	2661	0.7667969046360761	0.9978501200675964	0.0931422722620266
mRNA ZFHX4 ENST00000518282.5	chr8	76704049	92818668	1886	0.000754312499750029	1886	0	1885	1	1884	0.7735313564422417	0.9928874373435974	0.5090137857900318
nRNA chr5:141,136,682-141,241,744(-)	chr5	141136836	141241485	1855	0.0007419139379831939	0	1855	2	1832	1854	0.6831419414125203	0.9438109397888184	0.0005390835579514825
nRNA chr9:110,365,247-110,579,741(-)	chr9	110366265	110579724	1851	0.0007403141235616668	0	1851	1848	0	1848	0.6439499897527121	0.9982928037643433	0.0016207455429497568
mRNA MUC16 ENST00000397910.8	chr19	8886745	8981251	1814	0.0007255158401625411	1814	0	1807	0	1804	0.5484871577754896	0.9627247452735901	0.005512679162072767
nRNA ENST00000698129.1	chr11	65499302	65506771	1811	0.0007243159793463959	0	1811	0	1801	1783	0.8582714985971751	0.9993502497673035	0.6808393152954169
mRNA FSIP2 ENST00000424728.6	chr2	185788659	185833291	1804	0.0007215163041087234	1804	0	648	1153	1803	0.8187690994628971	1.0	0.44567627494456763
nRNA chr1:152,168,124-152,332,686(+)	chr1	152172762	152326058	1764	0.0007055181598934524	0	1764	13	1292	1645	0.7947855041385575	0.995863139629364	0.37244897959183676
nRNA chr8:109,362,460-109,537,207(+)	chr8	109362514	109534214	1757	0.0007027184846557799	0	1757	1743	0	1742	0.612840653108258	1.0	0.006260671599317018
nRNA chr17:29,560,546-29,707,090(+)	chr17	29562370	29703284	1738	0.0006951193661535262	0	1738	198	1532	1688	0.5081820694672885	0.9999532699584961	0.02474108170310702
