target_label	chrom	observed_start_1based	observed_end	gdna_false_rna	fraction_of_false_rna	pred_mrna	pred_nrna	ambig_same	ambig_opp	unspliced	mean_zw	max_zw	zw_ge_90_rate
nRNA chr2:151,485,335-151,734,487(-)	chr2	151485401	151733434	3097	0.0009295660844347356	0	3097	2857	234	3096	0.7421982829147168	1.0	0.32353890862124635
nRNA chr8:109,362,460-109,537,207(+)	chr8	109362486	109530469	2932	0.0008800412526840958	0	2932	2922	0	2930	0.8374024134632428	1.0	0.5661664392905866
nRNA chr5:141,136,682-141,241,744(-)	chr5	141136761	141241568	2639	0.0007920971575147779	0	2639	13	2595	2635	0.7951400367406879	1.0	0.4982948086396362
nRNA chr17:29,560,546-29,707,090(+)	chr17	29562307	29703260	2575	0.0007728875258054389	0	2575	296	2273	2575	0.6498350676123812	0.8531951308250427	0.0
nRNA chr7:141,995,878-142,106,747(+)	chr7	142005153	142106219	2223	0.000667234551404074	0	2223	2200	0	2199	0.778965065119184	0.9287404417991638	0.14349977507872244
mRNA AHNAK ENST00000378024.9	chr11	62516540	62534074	2210	0.0006633325949631145	2210	0	2198	0	2194	0.8609545300584034	1.0	0.6850678733031674
nRNA chr4:78,057,322-78,544,269(+)	mixed	25647226	78541173	2157	0.0006474246187038181	0	2157	2150	0	2156	0.6534718467690324	1.0	0.0004636068613815484
nRNA chr9:110,365,247-110,579,741(-)	chr9	110365919	110579730	2041	0.0006126071612306411	0	2041	2041	0	2041	0.6940129393112099	0.9421141743659973	0.20186183243508085
mRNA MUC16 ENST00000397910.8	chr19	8934968	8981316	2025	0.0006078047533033063	2025	0	2016	0	2013	0.5630196015279234	0.8952337503433228	0.0
mRNA PCLO ENST00000423517.6	chr7	82821985	83162905	2018	0.0006057036998350973	2018	0	2010	0	2015	0.804306240728341	0.9877941608428955	0.5817641228939544
mRNA ZFHX4 ENST00000518282.5	chr8	76704045	76864778	2014	0.0006045030978532636	2014	0	2014	0	2013	0.8393950133280165	0.9894920587539673	0.5714995034756704
mRNA FSIP2 ENST00000424728.6	chr2	185788659	185833291	1902	0.0005708862423619203	1902	0	692	1206	1902	0.8476258796785657	1.0	0.5972660357518401
nRNA chr21:8,380,664-8,450,668(+)	mixed	101586	8472277	1868	0.0005606811255163339	0	1868	129	0	1513	0.8436421155645383	0.9955888986587524	0.7178800856531049
mRNA BSN ENST00000296452.5	chr3	49624975	49671352	1737	0.0005213614106112805	1737	0	1735	0	1736	0.8687127157488155	1.0	0.6948762233736328
nRNA ENST00000242310.4	chr9	32629863	32635660	1722	0.0005168591531794041	0	1722	0	658	1721	0.951060100132978	0.9979549646377563	0.8031358885017421
