condition	locus_id	pool_error_count	gdna_truth	mrna_truth	nrna_truth	locus_span_bp	n_transcripts	n_nrna_entities	n_genes	mrna	nrna	gdna	gdna_rate	gdna_prior	gdna_eff_len_per_bp	pool_error_fraction
gdna_zero_ss_0.99_nrna_high	23	22618	0	111203	51697	28337	15	5	1	108369.0	54531.0	1349.0	0.008213139806026216	0.003343529416550942	0.7885056984038188	0.13884591774094537
gdna_high_ss_0.99_nrna_high	24	21122	1803	110490	48851	28337	15	5	1	112138.0	49006.0	8782.0	0.05168132010404529	0.03597366800500233	1.0085843702941582	0.1310753115226133
gdna_med_ss_0.99_nrna_high	24	20840	1084	110944	50196	28337	15	5	1	112124.0	50100.0	4900.0	0.029319547162585863	0.01962727879164813	0.9997696945271467	0.12846434559621264
gdna_low_ss_0.99_nrna_high	24	20500	313	111209	51268	28337	15	5	1	111779.0	51011.0	2152.0	0.013047010464284416	0.0074577631694622	0.9511207549955836	0.12592911112476196
gdna_high_ss_0.50_nrna_high	24	19696	2237	107540	40060	28337	15	5	1	110993.0	38844.0	20089.0	0.11822204959806033	0.06758649548644663	1.0120068362152292	0.13144950846586625
gdna_med_ss_0.50_nrna_high	24	18897	1227	107987	41233	28337	15	5	1	111173.0	39274.0	16677.0	0.09978818123070295	0.05214569044675266	1.0117139016356815	0.12560569502881413
gdna_low_ss_0.50_nrna_high	24	16731	284	106716	35847	28337	15	5	1	110917.0	31930.0	22095.0	0.1339561785354852	0.04087935377845824	1.0106905149325676	0.11712531589742872
gdna_high_ss_0.99_nrna_high	4	15263	1301	83546	28881	18721	15	5	1	84447.0	29281.0	5884.0	0.04919238872353945	0.03442324724302528	1.008312193637352	0.13420617613956107
gdna_low_ss_0.99_nrna_high	4	15169	233	84072	30460	18721	15	5	1	84026.0	30739.0	1382.0	0.011898714559997244	0.0071850749615616225	0.9563417144133982	0.13217444342787435
gdna_med_ss_0.99_nrna_high	4	14973	747	83878	29722	18721	15	5	1	84675.0	29672.0	3233.0	0.02749617281850655	0.01910763437098944	1.015500263310642	0.13094353153121638
gdna_zero_ss_0.99_nrna_high	4	14264	0	84123	30545	18721	15	5	1	84189.0	30479.0	990.0	0.00855971917204171	0.004171431864939209	1.0133638259499067	0.12439390239648376
gdna_high_ss_0.50_nrna_high	4	13757	1544	81329	23596	18721	15	5	1	84046.0	22423.0	13143.0	0.10988027957061164	0.06522041791219485	1.018174356770875	0.12921131972686886
gdna_high_ss_0.99_nrna_high	15	13396	2444	177823	45530	56271	19	8	2	180739.0	45058.0	15403.0	0.06385986733001658	0.050616742485528915	1.0037283614289076	0.05932762614206566
gdna_med_ss_0.50_nrna_high	4	13323	814	81805	24339	18721	15	5	1	84122.0	22836.0	10622.0	0.09033849294097636	0.05042197658084639	1.0177311494736387	0.12456291254511116
gdna_zero_ss_0.99_nrna_high	15	12126	0	178551	50018	56271	19	8	2	179887.0	48682.0	1336.0	0.005811095887431766	0.004040459181858639	0.7962607169742445	0.0530518136755203
