locus_key	qname	true_source	predicted_detail	chrom	fragment_start_1based	fragment_end	read_start_1based	read_end	cigar	template_length	mapq	is_reverse	mate_is_reverse	nh	nm	as	zf	zw	zc	zs	zl	zt	zg	zr	target_label
chr17:9059	A00839:75:H7MFFDSXY:3:1145:2320:1344	gdna	mrna	chr17	47819951	47820370	47820221	47820370	150M	-420	255	True	False	1	0	298	3	1.0	ambig_same_strand	spliced_annot	9059	ENST00000585051.1	ENSG00000006025.13	OSBPL7	mRNA OSBPL7 ENST00000585051.1
chr3:15015	A00839:75:H7MFFDSXY:3:2130:5999:25567	gdna	mrna	chr3	184352479	184353037	184352666	184353037	145M222N5M	-559	255	True	False	1	1	298	3	1.0	ambig_same_strand	spliced_annot	15015	ENST00000491162.1	ENSG00000114859.16	CLCN2	mRNA CLCN2 ENST00000491162.1
chr1:226	A00839:75:H7MFFDSXY:3:1108:8576:9204	gdna	mrna	chr1	154601859	154602314	154602165	154602314	150M	-456	255	True	False	1	0	300	3	1.0	unambig	spliced_annot	226	ENST00000680270.2	ENSG00000160710.19	ADAR	mRNA ADAR ENST00000680270.2
chrX:21781	A00839:75:H7MFFDSXY:3:2106:27145:12023	gdna	nrna	chrX	109375769	109376246	109376097	109376246	150M	-478	255	True	False	1	0	298	25	1.0	ambig_same_strand	spliced_implicit	21781	RIGEL_NRNA_chrX_2_109372905_109482086	RIGEL_NRNA_chrX_2_109372905_109482086		nRNA chrX:109,372,905-109,482,086(-)
chr9:20291	A00839:75:H7MFFDSXY:3:1621:15338:32878	gdna	nrna	chr9	17464264	17465983	17464482	17465983	5S142M1357N3M	-1720	3	True	False	2	0	292	25	1.0	multimapper	spliced_annot	20291	RIGEL_NRNA_chr9_1_17135039_17503923	RIGEL_NRNA_chr9_1_17135039_17503923		nRNA chr9:17,135,039-17,503,923(+)
chr8:19623	A00839:75:H7MFFDSXY:3:2262:14733:20275	gdna	mrna	chr8	38457354	38457581	38457354	38457503	150M	228	0	False	True	13	0	265	3	1.0	multimapper	unspliced	19623	ENST00000649678.1	ENSG00000077782.23	FGFR1	mRNA FGFR1 ENST00000649678.1
chr10:2881	A00839:75:H7MFFDSXY:3:2214:4761:31031	gdna	nrna	chr10	102869391	102869697	102869391	102869576	119M36N31M	307	255	False	True	1	0	294	25	1.0	ambig_same_strand	spliced_unannot	2881	RIGEL_NRNA_chr10_1_102854258_102901899	RIGEL_NRNA_chr10_1_102854258_102901899		nRNA chr10:102,854,258-102,901,899(+)
chr16:7765	A00839:75:H7MFFDSXY:3:1669:18629:4225	gdna	nrna	chr16	20372722	20373182	20373033	20373182	150M	-461	255	True	False	1	0	298	25	1.0	ambig_same_strand	spliced_implicit	7765	RIGEL_NRNA_chr16_2_20359174_20404737	RIGEL_NRNA_chr16_2_20359174_20404737		nRNA chr16:20,359,174-20,404,737(-)
chr11:3878	A00839:75:H7MFFDSXY:3:2627:2040:11600	gdna	nrna	chr11	65617181	65617638	65617181	65617330	150M	458	255	False	True	1	0	296	25	1.0	ambig_same_strand	spliced_implicit	3878	RIGEL_NRNA_chr11_1_65615775_65637439	RIGEL_NRNA_chr11_1_65615775_65637439		nRNA chr11:65,615,775-65,637,439(+)
chr2:3	A00839:75:H7MFFDSXY:3:1561:32470:6151	gdna	nrna	chr2	85306158	85306633	85306158	85306307	150M	476	255	False	True	1	0	298	25	1.0	ambig_same_strand	spliced_implicit	3	RIGEL_NRNA_chr2_1_85133391_85310387	RIGEL_NRNA_chr2_1_85133391_85310387		nRNA chr2:85,133,391-85,310,387(+)
