target_label	chrom	observed_start_1based	observed_end	gdna_false_rna	fraction_of_false_rna	pred_mrna	pred_nrna	ambig_same	ambig_opp	unspliced	mean_zw	max_zw	zw_ge_90_rate
nRNA chr2:178,525,988-178,804,642(-)	chr2	178526713	178804640	17642	0.006057480483664512	0	17642	533	17082	17517	0.8093136012005785	0.9762976169586182	0.46814420133771684
nRNA chr2:178,523,417-178,776,534(+)	chr2	178526721	178776511	9890	0.003395787438127311	0	9890	0	9870	9791	0.5713755684830362	0.9940699338912964	0.03660262891809909
nRNA chr11:64,251,529-64,267,923(+)	chr11	64251522	64328765	3300	0.0011330736648958672	0	3300	3291	0	3030	0.8104433777996085	0.9980260729789734	0.4827272727272727
nRNA chr2:151,485,335-151,734,487(-)	chr2	151485477	151733424	2477	0.0008504919599839584	0	2477	2269	203	2448	0.6484866880442907	1.0	0.004844570044408559
nRNA chr13:110,149,060-110,299,118(-)	chr13	110149061	110298934	2476	0.0008501486043279294	0	2476	2467	0	2412	0.5997780922601701	0.9980862736701965	0.025040387722132473
nRNA chr2:178,528,764-178,620,148(+)	chr2	32916265	178620131	2451	0.0008415647129272031	0	2451	0	2448	2420	0.200283468836597	0.3612819015979767	0.0
nRNA chr8:109,362,460-109,537,207(+)	chr8	109362486	109530370	2371	0.000814096260444879	0	2371	2357	0	2358	0.7620381421457861	1.0	0.22690847743568116
nRNA chr17:29,560,546-29,707,090(+)	chr17	29562307	29703260	2206	0.0007574425772000857	0	2206	271	1929	2147	0.5994965055947304	0.9999932050704956	0.019492293744333637
mRNA ZFHX4 ENST00000518282.5	chr8	76704046	92818668	2190	0.0007519488867036209	2190	0	2189	1	2188	0.7785262052318481	0.9919938445091248	0.5164383561643836
nRNA chr12:57,128,482-57,213,361(+)	chr12	57128772	57212654	2155	0.0007399314387426041	0	2155	2064	89	2093	0.6266060434938722	1.0	0.021809744779582366
nRNA chr1:152,189,332-152,365,557(+)	chr1	152194565	152358977	2151	0.0007385580161184879	0	2151	12	1662	2026	0.6695518654267603	0.9909287095069885	0.25755462575546256
nRNA chr5:141,136,682-141,241,744(-)	chr5	141137134	141241485	2146	0.0007368412378383427	0	2146	5	2121	2145	0.7406715835476744	0.9398981928825378	0.3275862068965517
mRNA AHNAK ENST00000378024.9	chr11	62516540	62534074	2143	0.0007358111708702555	2143	0	2130	0	2126	0.8440354701150704	1.0	0.6444237050863276
mRNA FSIP2 ENST00000424728.6	chr2	185788656	185814037	2052	0.0007045658061716119	2052	0	745	1303	2051	0.8628395844612191	1.0	0.7115009746588694
nRNA ENST00000698129.1	chr11	65499302	65506876	1989	0.0006829343998417817	0	1989	0	1979	1960	0.9017657037354283	0.9993507266044617	0.7873303167420814
mRNA ZNF462 ENST00000277225.10	chr9	29052401	107011466	1959	0.0006726337301609102	1959	0	1936	21	1958	0.7382963165648437	1.0	0.46248085758039814
mRNA PCLO ENST00000423517.6	chr7	82821985	83162894	1959	0.0006726337301609102	1959	0	1949	0	1952	0.7928224983095035	0.995786190032959	0.5686574783052578
nRNA chr7:141,995,878-142,106,747(+)	chr7	142005153	142106213	1956	0.000671603663192823	0	1956	1930	0	1905	0.7592110213516985	0.971786379814148	0.2147239263803681
nRNA chr11:64,823,051-64,844,653(-)	chr11	64687206	64844653	1949	0.0006692001736006197	0	1949	1947	0	1831	0.8004758570471319	1.0	0.4807593637762955
mRNA MUC16 ENST00000397910.8	chr19	8934899	8981316	1852	0.0006358946749658018	1852	0	1844	0	1841	0.5616129335633542	0.9635052680969238	0.005939524838012959
nRNA chr21:8,380,664-8,450,668(+)	mixed	101576	45024528	1815	0.0006231905156927269	0	1815	143	0	1429	0.8269505363455447	0.9985237717628479	0.70633608815427
nRNA chr12:40,393,447-40,570,646(+)	chr12	40393447	40570627	1788	0.0006139199129799425	0	1788	1235	548	1761	0.647162505535938	1.0	0.013422818791946308
mRNA AR ENST00000396043.4	chrX	67521831	67724284	1761	0.0006046493102671582	1761	0	1747	1	1756	0.471866239599507	0.9950668811798096	0.22032935831913686
mRNA FLG2 ENST00000388718.5	chr1	152350091	152357645	1740	0.0005974388414905481	1740	0	0	1725	1728	0.7907893981056652	0.868049681186676	0.0
mRNA IRS2 ENST00000375856.5	chr13	109755789	109786266	1736	0.0005960654188664319	1736	0	1510	226	1736	0.8737179623344862	0.9917037487030029	0.7494239631336406
mRNA BSN ENST00000296452.5	chr3	49624972	49671352	1679	0.0005764941464727761	1679	0	1675	0	1676	0.8489590267234212	1.0	0.6783799880881477
nRNA ENST00000242310.4	chr9	32629863	32635660	1643	0.0005641333428557302	0	1643	0	644	1638	0.8913273268577099	0.9984041452407837	0.7608034083992696
mRNA FAT1 ENST00000441802.7	chr4	83052074	186709839	1583	0.0005435320034939871	1583	0	1579	1	1578	0.8483817573890928	1.0	0.6506632975363235
nRNA chr9:110,365,247-110,579,741(-)	chr9	110365919	110579718	1482	0.000508853082235053	0	1482	1480	0	1480	0.5894328486827904	0.8467665910720825	0.0
nRNA chr11:64,229,213-64,234,292(-)	chr11	64229217	64234291	1477	0.0005071363039549078	0	1477	0	1470	1437	0.8292747124192194	0.9997643232345581	0.28368314150304674
nRNA chr12:123,762,187-123,935,720(+)	chr12	123762227	123935691	1463	0.0005023293247705011	0	1463	1261	196	1452	0.5661175036936571	0.9968835711479187	0.006151742993848257
nRNA chr2:178,541,746-178,597,681(+)	chr2	178542026	178597679	1461	0.000501642613458443	0	1461	0	1460	1451	0.17908990056260982	0.2621796727180481	0.0
mRNA FAT3 ENST00000409404.6	chr11	92352096	92891475	1455	0.0004995824795222687	1455	0	1443	12	1455	0.7715220358318735	0.8788657188415527	0.0
nRNA chr17:28,614,881-28,645,454(-)	chr17	28614919	28645427	1446	0.0004964922786180072	0	1446	1060	382	1432	0.6915565667130352	0.9987134337425232	0.4024896265560166
nRNA chr8:132,866,957-133,134,903(+)	chr8	132867031	133133875	1445	0.0004961489229619782	0	1445	1120	320	1441	0.49968061674463604	0.9991773366928101	0.002768166089965398
mRNA FLRT1 ENST00000246841.3	chr11	64103236	64118658	1415	0.00048584825328110663	1415	0	0	1414	1415	0.858204028241389	0.998933732509613	0.6904593639575972
mRNA FAT4 ENST00000394329.9	chr4	125315073	125491980	1412	0.0004848181863130195	1412	0	1410	0	1410	0.80658275458471	0.9996407628059387	0.4497167138810198
mRNA SON ENST00000300278.8	chr21	33546227	33560571	1409	0.00048378811934493234	1409	0	1347	61	1402	0.6045848956904021	0.9989506006240845	0.036905606813342796
nRNA chr13:110,477,922-110,513,027(+)	chr13	110477931	110512909	1398	0.0004800112071286128	0	1398	936	441	1329	0.6141643709528429	0.8445913195610046	0.0
nRNA chr11:64,340,203-64,357,534(+)	chr11	64340204	64383523	1382	0.00047451751663214796	0	1382	1371	6	1238	0.5266132075171082	1.0	0.1049204052098408
nRNA chr3:52,495,337-52,524,495(+)	chr3	52495338	52524474	1326	0.00045528959989452115	0	1326	1320	4	1252	0.6498803382691665	1.0	0.23529411764705882
mRNA SACS ENST00000402364.1	chr13	23249827	23358337	1323	0.000454259532926434	1323	0	1322	1	1321	0.6439487838016672	0.7668691277503967	0.0
nRNA chr1:152,335,378-152,364,080(+)	chr1	152350386	152359031	1301	0.00044670570849379487	0	1301	0	1283	1287	0.6414322515206553	0.7444551587104797	0.0
nRNA chr6:56,457,986-56,642,996(-)	chr6	56458968	56642962	1299	0.00044601899718173677	0	1299	1295	0	1290	0.44632032695581264	0.8857583403587341	0.0
nRNA chr17:10,383,155-10,537,862(+)	chr17	10362213	10537841	1289	0.0004425854406214463	0	1289	2	1284	1222	0.47488510047784255	0.9337296485900879	0.051978277734678044
nRNA chr4:78,057,322-78,544,269(+)	chr4	78057891	78541287	1283	0.00044052530668527195	0	1283	1275	0	1278	0.4727639939711485	1.0	0.003117692907248636
mRNA ZFP62 ENST00000502412.2	chr5	107995110	180851494	1282	0.0004401819510292429	1282	0	1281	1	1277	0.81266172654642	0.9838871359825134	0.6575663026521061
nRNA chr17:28,455,751-28,614,197(-)	chr17	28469436	28613653	1274	0.0004374351057810105	0	1274	341	930	1248	0.582754045830136	0.9999954700469971	0.012558869701726845
nRNA ENST00000333861.5	chr11	66590180	66593065	1202	0.00041271349854691885	0	1202	0	0	1202	0.8772841585620296	1.0	0.7495840266222962
nRNA chr6:33,621,321-33,696,574(+)	chr6	33621535	33892590	1194	0.00040996665329868647	0	1194	1155	29	1103	0.48086794162827423	0.9982608556747437	0.07872696817420435
nRNA chr2:27,217,407-27,243,785(+)	chr2	27217409	32916114	1193	0.0004096232976426574	0	1193	1188	0	1171	0.739633912579699	0.9969598054885864	0.45766974015088013
mRNA CCDC168 ENST00000322527.4	chr13	102729395	102759040	1191	0.0004089365863305993	1191	0	1191	0	1189	0.34585125175227294	0.9995250105857849	0.0016792611251049538
mRNA FAT2 ENST00000261800.6	chr5	151505139	151568940	1169	0.0004013827618979602	1169	0	1142	24	1167	0.6929396813029505	1.0	0.0025662959794696323
mRNA RP1 ENST00000220676.2	chr8	54620955	54630704	1166	0.00040035269492987306	1166	0	1165	0	1166	0.8182353682498132	0.9255968928337097	0.5917667238421955
mRNA NRIP1 ENST00000400199.5	chr21	14724112	24192340	1162	0.0003989792723057568	1162	0	1162	0	1160	0.8739424672157291	0.9993226528167725	0.7349397590361446
nRNA chr7:128,830,405-128,859,274(+)	chr7	128830409	128858668	1157	0.0003972624940256116	0	1157	804	348	1104	0.6870178501785781	1.0	0.045808124459809856
nRNA chr6:11,173,451-11,259,099(+)	chr6	11174471	11255583	1130	0.0003879918913128272	0	1130	2	1122	1125	0.6304590860530075	0.999382495880127	0.004424778761061947
mRNA AR ENST00000513847.5	chrX	67544823	67689760	1130	0.0003879918913128272	1130	0	1124	0	1128	0.31254269707931487	0.9927352070808411	0.0017699115044247787
nRNA chr13:110,307,283-110,504,595(+)	chr13	110307608	110504453	1130	0.0003879918913128272	0	1130	865	247	1083	0.2627587344423266	0.47916990518569946	0.0
mRNA FLG ENST00000368799.2	chr1	152302307	152314738	1123	0.00038558840172062386	1123	0	0	974	1072	0.8749958444204271	0.9842733144760132	0.7275155832591274
mRNA ZNF318 ENST00000361428.3	chr6	29199014	43369630	1121	0.00038490169040856576	1121	0	1119	0	1119	0.8285539373788687	0.9997506737709045	0.4005352363960749
nRNA chr8:102,254,197-102,412,759(-)	chr8	102254219	102412449	1102	0.0003783779329440138	0	1102	1088	9	1063	0.5324354824828096	0.9922960996627808	0.03539019963702359
mRNA ZFHX3 ENST00000268489.10	chr16	72786900	72960167	1098	0.0003770045103198976	1098	0	352	745	1098	0.8698282066905678	0.9741944074630737	0.7404371584699454
mRNA STARD9 ENST00000290607.12	chr15	42663294	42719792	1073	0.00036842061891917134	1073	0	1071	0	1070	0.7480461734025031	0.9999337196350098	0.08294501397949673
mRNA SPEN ENST00000375759.8	chr1	15847747	221517039	1050	0.00036052343883050315	1050	0	1044	3	1047	0.7239168753572518	0.9579167366027832	0.11904761904761904
nRNA chr13:110,456,395-110,463,287(-)	chr13	110456426	110463286	1045	0.00035880666055035793	0	1045	0	1032	1025	0.8594434091491562	0.9999410510063171	0.6832535885167464
nRNA chr2:185,788,019-185,800,151(-)	chr2	185788475	185800135	1039	0.0003567465266141836	0	1039	0	1038	1039	0.8704722195548203	0.9654475450515747	0.710298363811357
