qname	chrom	pos	end	is_reverse	tlen	cigar	mapq	nm	zf	zw	zc	zs	zl	zn	zt	zr	zg	pred
A00839:75:H7MFFDSXY:3:1624:11686:30154	chr11	65501040	65501189	True	-346	150M	255	0	3	0.7107172608375549	ambig_opp_strand	unspliced	3419	13	ENST00000710933.1	MALAT1	ENSG00000251562.11	mrna
A00839:75:H7MFFDSXY:3:2273:2989:12305	chr11	65504112	65504261	True	-228	150M	255	0	3	0.7396686673164368	ambig_opp_strand	unspliced	3419	12	ENST00000710862.1	MALAT1	ENSG00000251562.11	mrna
A00839:75:H7MFFDSXY:3:2476:29026:25394	chr11	65501865	65502014	True	-361	150M	255	0	3	0.539547860622406	ambig_opp_strand	unspliced	3419	18	ENST00000618132.2	MALAT1	ENSG00000251562.11	mrna
A00839:75:H7MFFDSXY:3:1458:29559:10191	chr11	65502457	65502606	True	-327	150M	255	0	3	0.9481635093688965	ambig_opp_strand	unspliced	3419	12	ENST00000618132.2	MALAT1	ENSG00000251562.11	mrna
A00839:75:H7MFFDSXY:3:1629:27028:31735	chr11	65504927	65505076	True	-267	150M	255	0	3	0.3661997616291046	ambig_opp_strand	unspliced	3419	19	ENST00000618132.2	MALAT1	ENSG00000251562.11	mrna
A00839:75:H7MFFDSXY:3:1450:10176:33019	chr11	65506517	65506666	True	-361	150M	255	0	9	0.7284287810325623	ambig_opp_strand	unspliced	3419	3	ENST00000534336.3	MALAT1	ENSG00000251562.11	mrna
A00839:75:H7MFFDSXY:3:1402:26232:19366	chr11	65505941	65506090	True	-294	150M	255	0	3	0.517391562461853	ambig_opp_strand	unspliced	3419	6	ENST00000618132.2	MALAT1	ENSG00000251562.11	mrna
A00839:75:H7MFFDSXY:3:1418:4237:10332	chr11	65500590	65500739	False	382	150M	255	0	3	0.016194472089409828	ambig_opp_strand	unspliced	3419	13	ENST00000710933.1	MALAT1	ENSG00000251562.11	mrna
A00839:75:H7MFFDSXY:3:1133:1687:33379	chr11	65504773	65504922	True	-312	150M	255	0	3	0.08271989226341248	ambig_opp_strand	unspliced	3419	19	ENST00000710949.1	MALAT1	ENSG00000251562.11	mrna
A00839:75:H7MFFDSXY:3:1316:15474:31955	chr11	65501535	65501684	False	183	150M	255	0	9	0.9540403485298157	ambig_opp_strand	unspliced	3419	17	ENST00000698129.1	TALAM1	ENSG00000289740.1	mrna
A00839:75:H7MFFDSXY:3:2163:27317:22028	chr11	65504284	65504433	True	-269	150M	255	0	3	0.7393182516098022	ambig_opp_strand	unspliced	3419	12	ENST00000710862.1	MALAT1	ENSG00000251562.11	mrna
A00839:75:H7MFFDSXY:3:2539:30535:9189	chr11	65505246	65505369	False	125	124M1S	255	4	9	0.8921422958374023	ambig_opp_strand	unspliced	3419	16	ENST00000698129.1	TALAM1	ENSG00000289740.1	mrna
A00839:75:H7MFFDSXY:3:1370:15953:4601	chr11	65500237	65500386	True	-423	150M	255	0	3	0.58756422996521	ambig_opp_strand	unspliced	3419	25	ENST00000710935.1	MALAT1	ENSG00000251562.11	mrna
A00839:75:H7MFFDSXY:3:2115:11623:16799	chr11	65502224	65502373	True	-264	150M	255	0	3	0.5403043031692505	ambig_opp_strand	unspliced	3419	22	ENST00000618132.2	MALAT1	ENSG00000251562.11	mrna
A00839:75:H7MFFDSXY:3:1670:14931:19335	chr11	65505360	65505509	True	-225	150M	255	0	3	0.5149350166320801	ambig_opp_strand	unspliced	3419	8	ENST00000618132.2	MALAT1	ENSG00000251562.11	mrna
A00839:75:H7MFFDSXY:3:1144:25473:13761	chr11	65503402	65503551	False	398	150M	255	0	5	0.6030558347702026	ambig_opp_strand	unspliced	-1	23	.	.	.	mrna
A00839:75:H7MFFDSXY:3:2503:19831:18928	chr11	65501826	65501975	False	258	150M	255	0	9	0.9530819058418274	ambig_opp_strand	unspliced	3419	20	ENST00000698129.1	TALAM1	ENSG00000289740.1	mrna
A00839:75:H7MFFDSXY:3:2204:31385:17487	chr11	65502992	65503141	False	410	150M	255	0	9	0.38499459624290466	ambig_opp_strand	unspliced	3419	18	ENST00000698129.1	TALAM1	ENSG00000289740.1	mrna
A00839:75:H7MFFDSXY:3:1540:29776:15358	chr11	65500833	65500982	False	267	150M	255	0	9	0.9343855381011963	ambig_opp_strand	unspliced	3419	13	ENST00000698129.1	TALAM1	ENSG00000289740.1	mrna
A00839:75:H7MFFDSXY:3:2131:29749:28150	chr11	65500930	65501079	False	292	150M	255	0	9	0.956516444683075	ambig_opp_strand	unspliced	3419	13	ENST00000698129.1	TALAM1	ENSG00000289740.1	mrna
A00839:75:H7MFFDSXY:3:1275:19786:24079	chr11	65505867	65506016	True	-357	150M	255	0	3	0.24576397240161896	ambig_opp_strand	unspliced	3419	6	ENST00000710862.1	MALAT1	ENSG00000251562.11	mrna
A00839:75:H7MFFDSXY:3:1119:28465:11929	chr11	65500894	65501043	False	291	150M	255	2	9	0.9255009889602661	ambig_opp_strand	unspliced	3419	13	ENST00000698129.1	TALAM1	ENSG00000289740.1	mrna
A00839:75:H7MFFDSXY:3:2247:21495:8782	chr11	65500910	65501058	False	189	149M	255	0	9	0.9385653734207153	ambig_opp_strand	unspliced	3419	13	ENST00000698129.1	TALAM1	ENSG00000289740.1	mrna
A00839:75:H7MFFDSXY:3:1443:3965:27555	chr11	65503279	65503428	True	-286	150M	255	0	3	0.016386276111006737	ambig_opp_strand	unspliced	3419	27	ENST00000710947.1	MALAT1	ENSG00000251562.11	mrna
A00839:75:H7MFFDSXY:3:2249:16523:35837	chr11	65504665	65504814	False	226	150M	255	0	9	0.9424185156822205	ambig_opp_strand	unspliced	3419	21	ENST00000698129.1	TALAM1	ENSG00000289740.1	mrna
A00839:75:H7MFFDSXY:3:2608:25554:16376	chr11	65500689	65500838	False	307	150M	255	0	9	0.9129411578178406	ambig_opp_strand	unspliced	3419	13	ENST00000698129.1	TALAM1	ENSG00000289740.1	mrna
A00839:75:H7MFFDSXY:3:1635:3206:13933	chr11	65504687	65504836	False	352	150M	255	0	9	0.7921796441078186	ambig_opp_strand	unspliced	3419	18	ENST00000698129.1	TALAM1	ENSG00000289740.1	mrna
A00839:75:H7MFFDSXY:3:2569:20356:34961	chr11	65504097	65504246	True	-264	150M	255	0	3	0.7394059896469116	ambig_opp_strand	unspliced	3419	12	ENST00000710862.1	MALAT1	ENSG00000251562.11	mrna
A00839:75:H7MFFDSXY:3:1508:12807:26678	chr11	65500600	65500749	False	421	150M	255	0	9	0.34952864050865173	ambig_opp_strand	unspliced	3419	13	ENST00000698129.1	TALAM1	ENSG00000289740.1	mrna
A00839:75:H7MFFDSXY:3:1107:21884:4789	chr11	65502022	65502171	True	-189	150M	255	0	3	0.540851354598999	ambig_opp_strand	unspliced	3419	22	ENST00000618132.2	MALAT1	ENSG00000251562.11	mrna
A00839:75:H7MFFDSXY:3:2613:14660:18834	chr11	65503960	65504109	False	286	150M	255	0	9	0.9625600576400757	ambig_opp_strand	unspliced	3419	12	ENST00000698129.1	TALAM1	ENSG00000289740.1	mrna
A00839:75:H7MFFDSXY:3:1678:31105:29778	chr11	65504772	65504921	True	-310	150M	255	0	3	0.42710593342781067	ambig_opp_strand	unspliced	3419	19	ENST00000618132.2	MALAT1	ENSG00000251562.11	mrna
A00839:75:H7MFFDSXY:3:1562:5647:36511	chr11	65504168	65504317	True	-398	150M	255	4	3	0.6696926355361938	ambig_opp_strand	unspliced	3419	12	ENST00000710862.1	MALAT1	ENSG00000251562.11	mrna
A00839:75:H7MFFDSXY:3:1230:16776:13322	chr11	65504787	65504936	False	302	150M	255	0	9	0.9201130867004395	ambig_opp_strand	unspliced	3419	19	ENST00000698129.1	TALAM1	ENSG00000289740.1	mrna
A00839:75:H7MFFDSXY:3:1555:4164:31093	chr11	65500233	65500382	False	249	150M	255	0	9	0.9457634091377258	ambig_opp_strand	unspliced	3419	26	ENST00000698129.1	TALAM1	ENSG00000289740.1	mrna
A00839:75:H7MFFDSXY:3:1475:4291:25676	chr11	65504921	65505070	False	246	150M	255	0	9	0.9416499733924866	ambig_opp_strand	unspliced	3419	19	ENST00000698129.1	TALAM1	ENSG00000289740.1	mrna
A00839:75:H7MFFDSXY:3:2118:26919:24972	chr11	65503409	65503558	False	265	150M	255	0	9	0.9537527561187744	ambig_opp_strand	unspliced	3419	23	ENST00000698129.1	TALAM1	ENSG00000289740.1	mrna
