region_id	ref_name	start_1based	end	length_bp	region_type	region_strand	boundary_flux_left	boundary_flux_right	tx_pos_bp	tx_neg_bp	exon_pos_bp	exon_neg_bp	gdna_source_total	gdna_false_rna	gdna_false_mrna	gdna_false_nrna	gdna_false_rna_rate	rna_source_total	rna_false_gdna	exon_interval_count	exon_transcript_count	exon_gene_count	transcript_span_count	transcript_span_gene_count
99068	chr2	178559311	178576831	17521	EXON	AMBIG	True	True	17521	17521	942	17409	6838	4607	341	4266	0.6737350102369114	130	5	30	16	2	40	2
374859	chr11	65497640	65508073	10434	EXON	AMBIG	False	False	10434	8731	10434	8731	5443	4396	2157	2239	0.807642844019842	75141	57	187	70	5	70	5
38391	chr1	152348735	152357647	8913	EXON	NEG	True	True	8913	8913	0	8913	4538	3067	1449	1618	0.6758483913618334	8	0	1	1	1	13	2
640049	chrX	67544021	67546762	2742	EXON	POS	False	True	2742	0	2742	0	6173	2793	2711	82	0.4524542361898591	25864	179	8	8	1	8	1
319735	chr9	106924133	106929759	5627	EXON	POS	True	True	5627	0	5627	0	4436	2204	1419	785	0.49684400360685305	10741	42	6	6	1	6	1
313995	chr9	76704761	76711358	6598	EXON	AMBIG	True	True	6598	6598	893	6598	2352	1860	1033	827	0.7908163265306123	14822	53	12	11	2	15	2
612285	chr21	33549476	33555391	5916	EXON	POS	True	True	5916	0	5916	0	3947	1860	1851	9	0.47124398277172536	19407	116	7	7	2	10	2
38365	chr1	152212076	152221490	9415	EXON	NEG	True	True	9415	9415	0	9415	2711	1789	823	966	0.6599040944300996	396	45	1	1	1	11	2
308259	chr9	32629454	32635669	6216	EXON	AMBIG	False	True	2216	6216	1602	6216	3549	1771	240	1531	0.4990138067061144	0	0	2	2	2	2	2
38379	chr1	152302165	152314957	12793	EXON	AMBIG	True	True	12793	12793	1797	12583	2720	1672	762	910	0.6147058823529412	228	22	7	5	2	13	2
100568	chr2	185788643	185797526	8884	EXON	AMBIG	True	True	8884	8884	8884	178	2452	1619	802	817	0.6602773246329527	15	3	6	6	2	6	2
373573	chr11	64116219	64119210	2992	EXON	AMBIG	True	True	2955	2992	2955	575	3987	1585	1013	572	0.39754201153749685	1020	511	4	3	2	8	3
99024	chr2	178530241	178535849	5609	EXON	AMBIG	True	True	5609	5609	780	5609	2326	1529	114	1415	0.6573516766981943	48	3	48	40	2	62	2
372689	chr11	62515902	62534074	18173	EXON	NEG	True	True	0	18173	0	18173	5736	1433	1433	0	0.24982566248256624	2280	612	4	4	1	7	1
428151	chr13	23328826	23341690	12865	EXON	NEG	True	True	0	12865	0	12865	3988	1398	1398	0	0.3505516549648947	401	35	16	12	1	16	1
99598	chr2	178744403	178752039	7637	EXON	AMBIG	True	True	7637	7637	99	7635	2169	1312	0	1312	0.6048870447210696	1	0	3	3	2	22	2
439519	chr13	109782042	109786583	4542	EXON	AMBIG	True	True	753	4542	115	4542	3828	1268	1260	8	0.33124346917450365	7947	656	2	2	2	2	2
292220	chr8	76850886	76856300	5415	EXON	POS	True	True	5415	0	5415	0	2824	1182	1135	47	0.4185552407932011	3602	109	6	6	1	6	1
486343	chr15	99128832	99135593	6762	EXON	AMBIG	True	False	6762	2975	6227	2562	2061	1176	735	441	0.5705967976710334	1116	42	8	5	2	5	2
297028	chr8	105801047	105804539	3493	EXON	POS	True	True	3493	3493	3493	0	1659	1119	631	488	0.674502712477396	0	0	4	4	1	12	2
438985	chr13	102729367	102750388	21022	EXON	NEG	False	True	0	21022	0	21022	10570	1107	1107	0	0.10473036896877956	14	7	1	1	1	1	1
591573	chr19	56810077	56817838	7762	EXON	AMBIG	True	True	7762	7762	3713	7762	2210	1105	608	497	0.5	283	29	37	23	3	29	3
265321	chr7	100951841	100960645	8805	EXON	POS	True	True	8805	0	8805	0	3147	1097	530	567	0.34858595487766125	1	0	3	3	1	3	1
303224	chr8	143915153	143922395	7243	EXON	NEG	False	True	0	7243	0	7243	2736	1091	1074	17	0.3987573099415205	10576	358	14	14	1	14	1
100570	chr2	185799697	185809133	9437	EXON	AMBIG	True	True	9437	2627	9437	2244	2498	1058	978	80	0.4235388310648519	14	8	5	5	2	6	2
212697	chr5	180847611	180851493	3883	EXON	NEG	False	True	0	3883	0	3883	2762	1042	1016	26	0.3772628530050688	1854	100	9	7	1	7	1
566729	chr19	8945497	8967189	21693	EXON	NEG	True	True	0	21693	0	21693	6295	1031	1031	0	0.16378077839555202	2	0	4	4	1	4	1
125221	chr3	49716829	49722147	5319	EXON	AMBIG	True	True	4701	5319	1166	5319	1660	1010	330	680	0.608433734939759	2205	59	45	17	3	17	3
356166	chr10	128102579	128109423	6845	EXON	NEG	True	True	0	6845	0	6845	2336	990	990	0	0.4238013698630137	20066	527	3	3	1	3	1
373399	chr11	63718702	63721032	2331	EXON	POS	True	True	2331	0	2331	0	3343	987	987	0	0.2952437930002991	1010	106	5	5	1	12	1
