locus_id	locus_key	chrom	observed_start_1based	observed_end	gdna_false_rna	fraction_of_false_rna	pred_mrna	pred_nrna	ambig_same	ambig_opp	unambig	unspliced	mean_zw	max_zw	zw_ge_90_rate	top_target	top_target_count
3	chr2:3	chr2	3130406	241979860	90923	0.03636498166212719	23027	67896	42542	47174	180	89138	0.5102481921037857	1.0	0.12831736744278124	nRNA chr2:178,525,988-178,804,642(-)	15139
3	chr1:3	chr1	35208	248936807	39734	0.015891756556239475	14932	24802	24872	11975	250	38849	0.5508939681166677	1.0	0.11899129209241456	nRNA chr1:152,168,124-152,332,686(+)	1764
3	chr7:3	chr7	997338	158587769	30914	0.012364165756772214	9859	21055	23129	7301	95	30315	0.4630718778620555	1.0	0.06068447952384033	nRNA chr7:141,995,878-142,106,747(+)	1537
3	chr11:3	chr11	87377	130296836	30852	0.012339368633238545	10125	20727	16551	13969	77	30124	0.543880730956286	1.0	0.15104369246726307	nRNA ENST00000698129.1	1811
3	chr3:3	chr3	1092672	198225656	26379	0.010550376156365861	9286	17093	18899	7257	32	25958	0.5031922435695974	1.0	0.07441525455855036	nRNA chr3:38,039,204-38,124,025(+)	913
3	chr5:3	chr5	5422781	181464195	25682	0.010271608493414764	8170	17512	13351	11421	619	25350	0.5847590495786572	1.0	0.16388910520987462	nRNA chr5:141,136,682-141,241,744(-)	1855
3	chr9:3	chr9	2621777	138331545	24276	0.009709273724247987	9662	14614	16166	6880	924	24096	0.5526422814778418	1.0	0.11719393639808864	nRNA chr9:110,365,247-110,579,741(-)	1851
3	chr8:3	chr8	120387	140451378	22956	0.009181334965144044	6885	16071	16637	6136	17	22687	0.5033520495924823	1.0	0.07788813382122321	nRNA chr8:109,362,460-109,537,207(+)	1757
3	chr12:3	chr12	44928	133204879	19396	0.007757500129984922	4487	14909	15163	3950	62	18921	0.4668443793132552	1.0	0.0435141266240462	nRNA chr12:40,393,447-40,570,646(+)	1194
3	chr4:3	chr4	1895797	190195896	18805	0.007521127549204292	7570	11235	11949	6650	9	18611	0.5125215176430032	1.0	0.08875299122573783	nRNA chr4:78,057,322-78,544,269(+)	1511
