locus_id	locus_key	qname	true_source	predicted_detail	chrom	fragment_start_1based	fragment_end	read_start_1based	read_end	cigar	template_length	mapq	is_reverse	mate_is_reverse	nh	nm	as	zf	zw	zc	zs	zl	zt	zg	zr	target_label
12994	chr2:12994	A00839:75:H7MFFDSXY:3:1552:32497:13463	gdna	nrna	chr2	178718006	178718262	178718113	178718262	150M	-257	255	True	False	1	0	298	25	0.803736686706543	ambig_opp_strand	unspliced	12994	RIGEL_NRNA_chr2_1_178523417_178776534	RIGEL_NRNA_chr2_1_178523417_178776534		nRNA chr2:178,523,417-178,776,534(+)
12994	chr2:12994	A00839:75:H7MFFDSXY:3:1550:14687:8484	gdna	nrna	chr2	178534544	178534787	178534544	178534693	150M	244	255	False	True	1	0	298	25	0.742862343788147	ambig_opp_strand	unspliced	12994	RIGEL_NRNA_chr2_2_178525988_178804642	RIGEL_NRNA_chr2_2_178525988_178804642		nRNA chr2:178,525,988-178,804,642(-)
12994	chr2:12994	A00839:75:H7MFFDSXY:3:2659:6225:25175	gdna	nrna	chr2	178541313	178541621	178541472	178541621	150M	-309	255	True	False	1	0	298	25	0.23120346665382385	ambig_opp_strand	unspliced	12994	RIGEL_NRNA_chr2_1_178523417_178776534	RIGEL_NRNA_chr2_1_178523417_178776534		nRNA chr2:178,523,417-178,776,534(+)
12994	chr2:12994	A00839:75:H7MFFDSXY:3:1237:23294:34507	gdna	nrna	chr2	178568782	178569136	178568987	178569136	150M	-355	255	True	False	1	0	298	25	0.11680469661951065	ambig_opp_strand	unspliced	12994	RIGEL_NRNA_chr2_1_178540115_178582663	RIGEL_NRNA_chr2_1_178540115_178582663		nRNA chr2:178,540,115-178,582,663(+)
3419	chr11:3419	A00839:75:H7MFFDSXY:3:2224:27778:12054	gdna	nrna	chr11	65223531	65223708	65223559	65223708	150M	-178	255	True	False	1	0	298	25	0.0813809484243393	ambig_same_strand	unspliced	3419	RIGEL_NRNA_chr11_1_65213839_65226040	RIGEL_NRNA_chr11_1_65213839_65226040		nRNA chr11:65,213,839-65,226,040(+)
3419	chr11:3419	A00839:75:H7MFFDSXY:3:1234:31620:12477	gdna	nrna	chr11	64219947	64220282	64220133	64220282	150M	-336	255	True	False	1	0	298	25	0.39476507902145386	ambig_same_strand	unspliced	3419	RIGEL_NRNA_chr11_1_64219509_64220669	RIGEL_NRNA_chr11_1_64219509_64220669		nRNA chr11:64,219,509-64,220,669(+)
3419	chr11:3419	A00839:75:H7MFFDSXY:3:2675:25003:35055	gdna	nrna	chr11	64225500	64225802	64225500	64225649	150M	303	255	False	True	1	0	298	25	0.45932137966156006	ambig_same_strand	unspliced	3419	RIGEL_NRNA_chr11_2_64223798_64226158	RIGEL_NRNA_chr11_2_64223798_64226158		nRNA chr11:64,223,798-64,226,158(-)
3419	chr11:3419	A00839:75:H7MFFDSXY:3:1624:11686:30154	gdna	mrna	chr11	65500844	65501189	65501040	65501189	150M	-346	255	True	False	1	0	294	3	0.7107172608375549	ambig_opp_strand	unspliced	3419	ENST00000710933.1	ENSG00000251562.11	MALAT1	mRNA MALAT1 ENST00000710933.1
6465	chr13:6465	A00839:75:H7MFFDSXY:3:1507:24306:15593	gdna	nrna	chr13	110198547	110198700	110198547	110198696	150M	154	255	False	True	1	0	298	25	0.6584106683731079	ambig_same_strand	unspliced	6465	RIGEL_NRNA_chr13_2_110149060_110299118	RIGEL_NRNA_chr13_2_110149060_110299118		nRNA chr13:110,149,060-110,299,118(-)
6465	chr13:6465	A00839:75:H7MFFDSXY:3:1414:8070:35759	gdna	nrna	chr13	110457297	110457573	110457424	110457573	150M	-277	255	True	False	1	0	298	25	0.27382639050483704	ambig_opp_strand	unspliced	6465	RIGEL_NRNA_chr13_1_110307283_110504595	RIGEL_NRNA_chr13_1_110307283_110504595		nRNA chr13:110,307,283-110,504,595(+)
