locus_id	locus_key	chrom	observed_start_1based	observed_end	gdna_false_rna	fraction_of_false_rna	pred_mrna	pred_nrna	ambig_same	ambig_opp	unambig	unspliced	mean_zw	max_zw	zw_ge_90_rate	top_target	top_target_count
3	chr2:3	chr2	3130406	241979860	116670	0.04005930438890934	27518	89152	55511	59816	223	114885	0.5651703343172786	1.0	0.18191480243421618	nRNA chr2:178,525,988-178,804,642(-)	17642
3	chr1:3	chr1	21214	248936807	45786	0.015720882066946114	18082	27704	28636	14086	309	44901	0.6075486476134924	1.0	0.17051063643908618	nRNA chr1:152,189,332-152,365,557(+)	2151
3	chr11:3	chr11	123389	130295870	36334	0.012475484406159526	11569	24765	19547	16431	80	35606	0.589727188779266	1.0	0.20815214399735785	nRNA ENST00000698129.1	1989
3	chr3:3	chr3	1092672	198225656	34020	0.011680959418108303	11088	22932	24096	9683	35	33599	0.5764437447840798	1.0	0.13371546149323926	nRNA chr3:38,039,204-38,124,025(+)	919
3	chr7:3	chr7	997344	158587769	33767	0.011594090437132953	11761	22006	24608	8639	133	33168	0.5278682407095645	1.0	0.10948559244232535	nRNA chr7:141,995,878-142,106,747(+)	1956
3	chr5:3	chr5	5422760	181331826	30985	0.010638875002060134	9697	21288	16604	13328	725	30653	0.6302733250957825	1.0	0.2516701629820881	nRNA chr5:141,136,682-141,241,744(-)	2146
3	chr9:3	chr9	14524	138331545	26883	0.009230430101028968	11829	15054	17529	7886	1109	26703	0.6256805591444797	1.0	0.23178216716884276	mRNA ZNF462 ENST00000277225.10	1959
3	chr8:3	chr8	120387	140458478	26057	0.008946818329148972	8375	17682	18616	7257	18	25788	0.5770034098388815	1.0	0.15930460145066586	nRNA chr8:109,362,460-109,537,207(+)	2371
3	chr12:3	chr12	15172	133204879	24192	0.008306460030654793	5434	18758	18243	5652	66	23717	0.5445171843796661	1.0	0.08254794973544974	nRNA chr12:40,393,447-40,570,646(+)	1788
3	chr17:3	chr17	60017	83221642	22110	0.00759159355480231	4521	17589	11069	10524	304	21724	0.5843163965364278	1.0	0.16666666666666666	nRNA chr17:28,614,881-28,645,454(-)	1446
3	chr4:3	chr4	1900545	190195896	21700	0.0074508177358303986	9311	12389	13343	8140	17	21506	0.5759431427306053	1.0	0.1827188940092166	nRNA chr4:78,057,322-78,544,269(+)	1283
3	chr15:3	chr15	20144097	101968218	18722	0.006428304592175886	4716	14006	9461	9101	10	18499	0.5997062694144442	1.0	0.1544172631129153	nRNA chr15:81,331,216-81,374,213(-)	760
3	chr6:3	chr6	95134	170745948	18339	0.00629679937591676	6331	12008	13515	4521	27	18104	0.5307540000720584	1.0	0.10987512950542559	nRNA chr6:56,457,986-56,642,996(-)	1299
3	chr19:3	chr19	156517	58599378	12056	0.004139495789086235	4832	7224	4863	7057	38	11873	0.6218049611129804	1.0	0.18082282680822828	nRNA chr19:16,892,950-17,026,815(-)	517
5941	chr13:5941	chr13	96090628	110512909	9849	0.00338170985623012	448	9401	6780	2976	1	9569	0.5571468206378208	1.0	0.16153924256269672	nRNA chr13:110,149,060-110,299,118(-)	2476
1380	chr5:1380	chr5	62306164	150396827	8871	0.003045908024633708	1045	7826	8108	693	1	8816	0.7387206357785251	1.0	0.4680419343929658	nRNA ENST00000617094.1	448
883	chr7:883	chr7	42757557	156969973	8467	0.0029071923395979716	2804	5663	4023	3855	5	8244	0.5501284094200021	1.0	0.1072398724459667	nRNA chr7:100,197,473-100,214,387(+)	560
3	chr16:3	chr16	1510646	90176006	7214	0.0024769677025935715	3264	3950	4724	2083	2	7078	0.5524794449792187	1.0	0.19975048516772942	mRNA ZFHX3 ENST00000268489.10	1098
