condition	locus_id	pool_error_count	gdna_truth	mrna_truth	nrna_truth	locus_span_bp	n_transcripts	n_nrna_entities	n_genes	mrna	nrna	gdna	gdna_rate	gdna_prior	gdna_eff_len_per_bp	pool_error_fraction
gdna_zero_ss_0.99_nrna_high	23	24831	0	111238	51733	28337	15	5	1	105833.0	57138.0	1278.0	0.007780869289919574	0.0031054698061121844	0.7323640181597163	0.15236453111289738
gdna_high_ss_0.99_nrna_high	24	21075	1814	110518	48828	28337	15	5	1	112167.0	48993.0	8766.0	0.051587161470287066	0.03573375070114083	1.0018578712670314	0.13077066269545792
gdna_med_ss_0.99_nrna_high	24	20824	1086	110915	50181	28337	15	5	1	112344.0	49838.0	4942.0	0.0295708575668366	0.01986176507798759	1.0117139016356815	0.12839895919399194
gdna_low_ss_0.99_nrna_high	24	20412	308	111177	51204	28337	15	5	1	111849.0	50840.0	2253.0	0.01365934692194832	0.007924851243545713	1.0106905149325676	0.1254663806403629
gdna_high_ss_0.50_nrna_high	24	19789	2247	107547	40179	28337	15	5	1	110946.0	39027.0	19953.0	0.11742170121111542	0.06758649548644663	1.0120068362152292	0.1319504177418602
gdna_med_ss_0.50_nrna_high	24	18910	1208	108114	41091	28337	15	5	1	111139.0	39274.0	16711.0	0.09999162298652498	0.05214569044675266	1.0117139016356815	0.12572051617878774
gdna_low_ss_0.50_nrna_high	24	16633	276	106752	35803	28337	15	5	1	110986.0	31845.0	22111.0	0.1340531823307587	0.04087935377845824	1.0106905149325676	0.11645231077287144
gdna_high_ss_0.99_nrna_high	4	15109	1303	83569	29006	18721	15	5	1	84646.0	29232.0	5734.0	0.04793833394642678	0.03419756864841022	1.0017017051733557	0.13267707546672755
gdna_med_ss_0.99_nrna_high	4	15037	744	83823	29817	18721	15	5	1	84529.0	29855.0	3196.0	0.027181493451267223	0.01914961068420759	1.0177311494736387	0.13146069380332914
gdna_low_ss_0.99_nrna_high	4	14545	231	84068	30464	18721	15	5	1	84704.0	30059.0	1384.0	0.011915934117971191	0.0076346658684512585	1.0161827795351543	0.12673945435375514
gdna_zero_ss_0.99_nrna_high	4	14366	0	84105	30591	18721	15	5	1	84155.0	30541.0	962.0	0.00831762610454962	0.004171431864939209	1.0133638259499067	0.1252528422961568
gdna_high_ss_0.50_nrna_high	4	13691	1487	81430	23608	18721	15	5	1	84096.0	22429.0	13087.0	0.10941209912048959	0.06522041791219485	1.018174356770875	0.12852382069936635
gdna_med_ss_0.50_nrna_high	4	13542	836	81870	24393	18721	15	5	1	84208.0	22891.0	10481.0	0.08913930940636162	0.05042197658084639	1.0177311494736387	0.12644375764479593
gdna_zero_ss_0.99_nrna_high	15	13450	0	178581	50035	56271	19	8	2	178469.0	50147.0	1289.0	0.005606663621930797	0.0038599875500159096	0.7606948407961562	0.05883227770584736
gdna_zero_ss_0.99_nrna_high	41	13327	0	94350	19889	19206	15	5	1	87199.0	27040.0	453.0	0.003949708785268371	0.0013352024878988764	0.44698451836602526	0.11665893433941124
gdna_high_ss_0.99_nrna_high	15	12785	2468	177858	45656	56271	19	8	2	181426.0	44556.0	15218.0	0.06309286898839138	0.05035486149268491	0.9985352698364994	0.05657530245771787
gdna_med_ss_0.99_nrna_high	15	12609	1487	178234	47488	56271	19	8	2	180654.0	46555.0	8353.0	0.03545987892784065	0.027789764617113445	1.0058984829998552	0.055495160843100404
gdna_low_ss_0.50_nrna_high	4	11877	199	80986	21408	18721	15	5	1	84197.0	18396.0	13554.0	0.11669694438943752	0.03950171863584589	1.0161827795351543	0.11576813232871638
gdna_zero_ss_0.99_nrna_high	47	11155	0	69733	23876	30370	4	1	1	67954.0	25655.0	1003.0	0.010601192237771107	0.006148549379991423	0.7920492683092106	0.11916589216848807
gdna_high_ss_0.99_nrna_high	52	10753	1691	68616	21174	30370	4	1	1	69820.0	21661.0	9331.0	0.09255842558425584	0.06434045197683791	0.9958753273989932	0.11754353362993408
gdna_med_ss_0.99_nrna_high	52	10381	962	69342	22431	30370	4	1	1	69906.0	22829.0	4951.0	0.050682799991810495	0.03645479115981665	1.0109297048192465	0.11194263223162776
gdna_low_ss_0.99_nrna_high	15	10081	500	178490	49360	56271	19	8	2	182462.0	45888.0	3048.0	0.01317211038989101	0.010588692329203524	1.005382470660019	0.04414714254433983
gdna_zero_ss_0.50_nrna_high	23	9933	0	98866	9933	28337	15	5	1	108799.0	0.0	55450.0	0.3375971847621599	0.03863060238811933	1.0088273500967195	0.09129679500730706
gdna_low_ss_0.99_nrna_high	52	9814	311	69642	23358	30370	4	1	1	70091.0	23220.0	2073.0	0.0217332047303531	0.014633036580724327	1.0099747364683334	0.10517516691494036
gdna_high_ss_0.50_nrna_high	15	9732	2918	175223	34593	56271	19	8	2	182598.0	30136.0	28466.0	0.11801824212271973	0.09542463827925851	0.9917055334252003	0.04574727124014027
gdna_high_ss_0.50_nrna_high	52	8837	1710	66221	13281	30370	4	1	1	69506.0	11706.0	19600.0	0.1944212990517002	0.12251768694852118	1.011203055132036	0.10881396837905728
gdna_med_ss_0.50_nrna_high	15	8442	1634	175893	36585	56271	19	8	2	182944.0	31168.0	21450.0	0.09105882952258854	0.07351544690962862	0.9824073480267145	0.03942796293528621
gdna_high_ss_0.99_nrna_high	34	8435	1754	36025	26529	33391	10	4	2	36916.0	27392.0	10210.0	0.13701387584207841	0.10493753191986835	1.008118951055915	0.13116564035578776
gdna_med_ss_0.50_nrna_high	52	8021	837	66635	13879	30370	4	1	1	69446.0	11905.0	16335.0	0.16721945826423437	0.09596565626058905	1.0109297048192465	0.09859743580287889
gdna_med_ss_0.99_nrna_high	34	7771	1039	36465	27944	33391	10	4	2	36932.0	28516.0	5663.0	0.07963606193134677	0.060429389171928194	1.0099407809347294	0.11873548465957706
gdna_low_ss_0.99_nrna_high	34	7365	320	36720	29175	33391	10	4	2	36898.0	29317.0	2367.0	0.03451342917966813	0.025788461460866146	1.0090720926364936	0.11122857358604546
gdna_high_ss_0.50_nrna_high	34	7318	1749	34707	17470	33391	10	4	2	36755.0	17171.0	20592.0	0.2763359188384015	0.19195390204020707	1.010189434196024	0.1357044839224122
gdna_low_ss_0.50_nrna_high	15	7149	422	175415	32604	56271	19	8	2	182163.0	26278.0	22957.0	0.09921001910128868	0.05499154993527748	0.9354112993986129	0.034297475064886465
gdna_high_ss_0.99_nrna_low	24	7138	1548	110544	11941	28337	15	5	1	111474.0	12559.0	7744.0	0.058765945498835154	0.04294007978053412	1.0033976089575116	0.05754920061596511
gdna_zero_ss_0.50_nrna_high	4	6988	0	75868	6988	18721	15	5	1	82856.0	0.0	32802.0	0.283612028566982	0.03739055371804436	1.0133638259499067	0.08433909433233562
gdna_zero_ss_0.99_nrna_high	32	6965	0	36740	29527	33391	10	4	2	36863.0	29404.0	1455.0	0.021484894125985646	0.014890425473732252	1.0074905729751404	0.10510510510510511
gdna_high_ss_0.99_nrna_high	44	6644	1165	93880	17947	19206	15	5	1	95834.0	17158.0	5632.0	0.04747774480712166	0.03290566849823143	0.9797401504845576	0.0588006230529595
gdna_med_ss_0.99_nrna_low	24	6573	852	110981	12991	28337	15	5	1	111696.0	13128.0	4051.0	0.03143355965082444	0.02235325099901076	1.0049353044884282	0.05265814266487214
