condition	locus_id	pool_error_count	gdna_truth	mrna_truth	nrna_truth	locus_span_bp	n_transcripts	n_nrna_entities	n_genes	mrna	nrna	gdna	gdna_rate	gdna_prior	gdna_eff_len_per_bp	pool_error_fraction
gdna_high_ss_0.99_nrna_high	24	21438	1835	110468	48771	28337	15	5	1	112033.0	49041.0	8852.0	0.052093264126737523	0.036095738757265856	1.0120068362152292	0.1330941058147187
gdna_med_ss_0.99_nrna_high	24	20809	1114	110932	50219	28337	15	5	1	112217.0	50048.0	4859.0	0.029074220339388716	0.01986176507798759	1.0117139016356815	0.12824084060025268
gdna_low_ss_0.99_nrna_high	24	20305	327	111200	51268	28337	15	5	1	111863.0	50932.0	2147.0	0.01301669677826145	0.007924851243545713	1.0106905149325676	0.12472741791824073
gdna_zero_ss_0.99_nrna_high	23	19959	0	111236	51530	28337	15	5	1	111961.0	50805.0	1483.0	0.009028974301213402	0.004277767336491808	1.0088273500967195	0.12262388951009424
gdna_high_ss_0.50_nrna_high	24	19761	2293	107572	40005	28337	15	5	1	110891.0	38979.0	20056.0	0.118027847415934	0.06758649548644663	1.0120068362152292	0.1318542737038767
gdna_med_ss_0.50_nrna_high	24	19113	1223	108091	41158	28337	15	5	1	111007.0	39465.0	16652.0	0.09963859170436323	0.05214569044675266	1.0117139016356815	0.12702030942633846
gdna_low_ss_0.50_nrna_high	24	16690	276	106765	35653	28337	15	5	1	110891.0	31803.0	22248.0	0.13488377732778795	0.04087935377845824	1.0106905149325676	0.11696357239968043
gdna_high_ss_0.99_nrna_high	4	15198	1311	83568	28968	18721	15	5	1	84570.0	29277.0	5765.0	0.048197505267030066	0.03475993629829858	1.018174356770875	0.1334949537537221
gdna_med_ss_0.99_nrna_high	4	14968	748	83867	29864	18721	15	5	1	84667.0	29812.0	3101.0	0.026373532913760843	0.01914961068420759	1.0177311494736387	0.13074887097196866
gdna_low_ss_0.99_nrna_high	4	14643	226	84080	30447	18721	15	5	1	84655.0	30098.0	1394.0	0.012002031907840926	0.0076346658684512585	1.0161827795351543	0.12760450707171053
gdna_zero_ss_0.99_nrna_high	4	14085	0	84130	30590	18721	15	5	1	84315.0	30405.0	938.0	0.008110117760984973	0.004171431864939209	1.0133638259499067	0.12277719665271966
gdna_high_ss_0.50_nrna_high	4	13904	1511	81407	23722	18721	15	5	1	83933.0	22707.0	12972.0	0.10845065712470321	0.06522041791219484	1.018174356770875	0.13038259564891222
gdna_high_ss_0.99_nrna_high	15	13809	2491	177832	45702	56271	19	8	2	180398.0	45627.0	15175.0	0.06291459369817579	0.050733627389163996	1.0060461852761249	0.06109501161375954
gdna_med_ss_0.50_nrna_high	4	13360	816	81774	24417	18721	15	5	1	84187.0	22820.0	10573.0	0.08992175540057833	0.05042197658084639	1.0177311494736387	0.12485164521947162
gdna_med_ss_0.99_nrna_high	15	12646	1488	178230	47541	56271	19	8	2	180597.0	46662.0	8303.0	0.035247620583965154	0.027789764617113445	1.0058984829998552	0.055645761003964636
gdna_zero_ss_0.99_nrna_high	15	12419	0	178583	50021	56271	19	8	2	179532.0	49072.0	1301.0	0.005658859093973598	0.005096837003012847	1.0044430357177798	0.05432538363283232
gdna_low_ss_0.50_nrna_high	4	11790	189	81017	21335	18721	15	5	1	84231.0	18310.0	13606.0	0.11714465289676014	0.03950171863584589	1.0161827795351543	0.1149783988843487
gdna_high_ss_0.99_nrna_high	52	10835	1674	68600	20977	30370	4	1	1	69699.0	21552.0	9561.0	0.09483990001190334	0.06533072947743389	1.011203055132036	0.11873842478438593
gdna_med_ss_0.99_nrna_high	52	10300	935	69336	22374	30370	4	1	1	69898.0	22747.0	5041.0	0.051604119321090026	0.03645479115981665	1.0109297048192465	0.11117707377624264
gdna_low_ss_0.99_nrna_high	15	10053	502	178499	49315	56271	19	8	2	182491.0	45825.0	3082.0	0.013319043379804493	0.010588692329203524	1.005382470660019	0.044031079731600066
gdna_low_ss_0.99_nrna_high	52	9957	320	69610	23383	30370	4	1	1	70019.0	23294.0	2071.0	0.021712236853140988	0.014633036580724327	1.0099747364683334	0.10670538938840247
