region_id	predicted_detail	target	count
chr11_malat1_65500k_65510k	nrna	ENST00000698129.1	1732
chr11_malat1_65500k_65510k	mrna	MALAT1:ENST00000618132.2	828
chr11_malat1_65500k_65510k	mrna	MALAT1:ENST00000710862.1	459
chr11_malat1_65500k_65510k	mrna	MALAT1:ENST00000710933.1	160
chr11_malat1_65500k_65510k	mrna	MALAT1:ENST00000710943.1	118
chr11_malat1_65500k_65510k	nrna	ENST00000534336.3	109
chr11_malat1_65500k_65510k	mrna	MALAT1:ENST00000710951.1	103
chr11_malat1_65500k_65510k	mrna	MALAT1:ENST00000710935.1	93
chr11_malat1_65500k_65510k	mrna	MALAT1:ENST00000710944.1	74
chr11_malat1_65500k_65510k	mrna	MALAT1:ENST00000508832.3	72
chr11_malat1_65500k_65510k	mrna	MALAT1:ENST00000710949.1	39
chr11_malat1_65500k_65510k	mrna	MALAT1:ENST00000710947.1	13
chr11_malat1_65500k_65510k	mrna	MALAT1:ENST00000710948.1	12
chr11_malat1_65500k_65510k	mrna	MALAT1:ENST00000610481.1	6
chr11_malat1_65500k_65510k	mrna	MALAT1:ENST00000616691.2	3
chr11_malat1_65500k_65510k	mrna	MALAT1:ENST00000710871.1	1
chrx_ar_67540k_67550k	mrna	AR:ENST00000396043.4	1225
chrx_ar_67540k_67550k	mrna	AR:ENST00000513847.5	1164
chrx_ar_67540k_67550k	mrna	AR:ENST00000396044.8	821
chrx_ar_67540k_67550k	mrna	AR:ENST00000504326.5	34
chrx_ar_67540k_67550k	nrna	RIGEL_NRNA_chrX_1_67544020_67724288	14
chrx_ar_67540k_67550k	mrna	AR:ENST00000374690.9	6
chrx_ar_67540k_67550k	mrna	AR:ENST00000514029.5	6
chr2_long_nrna_178530k_178620k	nrna	RIGEL_NRNA_chr2_2_178525988_178804642	7684
chr2_long_nrna_178530k_178620k	nrna	RIGEL_NRNA_chr2_1_178523417_178776534	2600
chr2_long_nrna_178530k_178620k	nrna	RIGEL_NRNA_chr2_1_178528764_178620148	2051
chr2_long_nrna_178530k_178620k	nrna	RIGEL_NRNA_chr2_1_178541746_178597681	1225
chr2_long_nrna_178530k_178620k	nrna	RIGEL_NRNA_chr2_1_178540115_178582663	970
chr2_long_nrna_178530k_178620k	nrna	RIGEL_NRNA_chr2_1_178539804_178576557	856
chr2_long_nrna_178530k_178620k	nrna	RIGEL_NRNA_chr2_1_178528739_178633078	469
chr2_long_nrna_178530k_178620k	mrna	TTN:ENST00000460472.6	458
chr2_long_nrna_178530k_178620k	nrna	RIGEL_NRNA_chr2_1_178527992_178538770	427
chr2_long_nrna_178530k_178620k	mrna	TTN:ENST00000342175.12	368
chr2_long_nrna_178530k_178620k	nrna	RIGEL_NRNA_chr2_1_178608201_178620221	367
chr2_long_nrna_178530k_178620k	nrna	RIGEL_NRNA_chr2_1_178591146_178614275	220
chr2_long_nrna_178530k_178620k	nrna	RIGEL_NRNA_chr2_1_178528764_178738038	211
chr2_long_nrna_178530k_178620k	nrna	RIGEL_NRNA_chr2_1_178528739_178584816	141
chr2_long_nrna_178530k_178620k	mrna	TTN-AS1:ENST00000664161.1	135
chr2_long_nrna_178530k_178620k	nrna	RIGEL_NRNA_chr2_1_178528739_178537458	116
chr2_long_nrna_178530k_178620k	mrna	TTN:ENST00000412264.2	107
chr2_long_nrna_178530k_178620k	nrna	ENST00000603521.1	58
chr2_long_nrna_178530k_178620k	mrna	TTN-AS1:ENST00000657210.1	50
chr2_long_nrna_178530k_178620k	nrna	ENST00000603415.1	41
chr2_long_nrna_178530k_178620k	nrna	RIGEL_NRNA_chr2_1_178584572_178591298	35
chr2_long_nrna_178530k_178620k	nrna	ENST00000605334.1	20
chr2_long_nrna_178530k_178620k	nrna	RIGEL_NRNA_chr2_1_178530814_178531578	17
chr2_long_nrna_178530k_178620k	nrna	RIGEL_NRNA_chr2_1_178528356_178531578	12
chr2_long_nrna_178530k_178620k	nrna	ENST00000604215.1	9
chr2_long_nrna_178530k_178620k	mrna	TTN-AS1:ENST00000627564.2	8
chr2_long_nrna_178530k_178620k	mrna	TTN-AS1:ENST00000419746.5	5
chr2_long_nrna_178530k_178620k	mrna	TTN-AS1:ENST00000589907.5	1
chr2_long_nrna_178530k_178620k	mrna	TTN-AS1:ENST00000627527.1	1
chr2_long_nrna_178530k_178620k	mrna	TTN-AS1:ENST00000629117.2	1
chr2_long_nrna_178530k_178620k	mrna	TTN-AS1:ENST00000591867.5	1
chr1_flg2_152350k_152360k	mrna	FLG2:ENST00000388718.5	1503
chr1_flg2_152350k_152360k	nrna	RIGEL_NRNA_chr1_1_152335378_152364080	1104
chr1_flg2_152350k_152360k	nrna	RIGEL_NRNA_chr1_2_152348734_152360006	166
chr1_flg2_152350k_152360k	nrna	RIGEL_NRNA_chr1_1_152189332_152365557	95
chr9_znf462_106920k_106930k	mrna	ZNF462:ENST00000277225.10	2148
chr9_znf462_106920k_106930k	mrna	ZNF462:ENST00000441147.6	379
chr9_znf462_106920k_106930k	mrna	ZNF462:ENST00000374686.6	159
chr9_znf462_106920k_106930k	nrna	RIGEL_NRNA_chr9_1_106926924_106932462	85
chr9_znf462_106920k_106930k	nrna	RIGEL_NRNA_chr9_1_106863165_106930575	53
chr9_znf462_106920k_106930k	nrna	RIGEL_NRNA_chr9_1_106863165_107013634	10
chr9_znf462_106920k_106930k	mrna	ZNF462:ENST00000480607.5	2
chr9_znf462_106920k_106930k	nrna	RIGEL_NRNA_chr9_1_106929679_106935621	2
chr9_znf462_106920k_106930k	mrna	ZNF462:ENST00000472574.1	1
