locus_id	locus_key	chrom	observed_start_1based	observed_end	gdna_false_rna	fraction_of_false_rna	pred_mrna	pred_nrna	ambig_same	ambig_opp	unambig	unspliced	mean_zw	max_zw	zw_ge_90_rate	top_target	top_target_count
3	chr2:3	chr2	3188987	231371858	37204	0.011166799033035163	9799	27405	26076	10871	13	37100	0.6068186327391399	1.0	0.1460864423180303	nRNA chr2:151,485,335-151,734,487(-)	3097
3	chr1:3	chr1	15551	248936807	34842	0.01045784356276237	9913	24929	26684	6185	30	34759	0.6053159231829816	1.0	0.18150508007577063	nRNA chr1:237,471,173-237,833,988(+)	1367
3	chr7:3	chr7	997344	158587748	34397	0.01032427659228337	8733	25664	24612	9433	165	34275	0.559540451003092	1.0	0.11338198098671395	nRNA chr7:141,995,878-142,106,747(+)	2223
3	chr3:3	chr3	3799531	198225656	32759	0.009832630080722474	8602	24157	22009	10630	25	32741	0.6084903753082139	1.0	0.19704508684636282	nRNA chr3:38,039,204-38,124,025(+)	1173
3	chr4:3	chr4	9130455	190195896	27694	0.008312367821225563	8586	19108	16121	11391	18	27646	0.6096753400570274	1.0	0.15324619051057992	nRNA chr4:78,057,322-78,544,269(+)	2156
3	chr5:3	chr5	2087416	181331826	26229	0.007872647345378974	5679	20550	11762	14076	143	26198	0.6923024978702012	1.0	0.32658507758587824	nRNA chr5:141,136,682-141,241,744(-)	2639
3	chr9:3	chr9	14524	138331545	24983	0.0074986598280377785	7918	17065	15050	8399	1189	24963	0.6653777030887298	1.0	0.23760156906696553	nRNA chr9:110,365,247-110,579,741(-)	2041
3	chr8:3	chr8	166492	140458521	24173	0.007255537926716456	5327	18846	18225	5866	1	24117	0.603812038449778	1.0	0.20543581682041948	nRNA chr8:109,362,460-109,537,207(+)	2932
3	chr15:3	chr15	20144097	101968218	21764	0.006532475383157115	4285	17479	11073	10567	8	21749	0.6195616420899138	0.9958347678184509	0.1646296636647675	nRNA chr15:81,331,216-81,374,213(-)	892
3	chr6:3	chr6	95134	170745960	21759	0.006530974630679823	6047	15712	16572	5018	2	21727	0.5588357086120095	1.0	0.13346201571763408	nRNA chr6:56,457,986-56,642,996(-)	1606
3	chr12:3	chr12	15091	133204855	20887	0.006269243398640078	3663	17224	16077	4658	46	20816	0.5803077464675618	1.0	0.10638196007085747	nRNA chr12:26,335,351-26,833,194(-)	918
3	chr11:3	chr11	87377	130301460	16388	0.004918866319572634	4456	11932	10714	5492	74	16367	0.6027313652334129	1.0	0.17012448132780084	nRNA chr11:46,856,716-46,918,550(-)	1197
3	chr17:3	chr17	60017	83221780	12792	0.003839525137904145	3259	9533	6972	5674	2	12763	0.5461685875042069	1.0	0.10920888055034396	nRNA chr17:31,258,382-31,336,473(+)	656
3	chr19:3	chr19	61553	58583462	11647	0.003495852820604251	3583	8064	3830	7736	2	11622	0.6794600397678808	1.0	0.266077101399502	nRNA chr19:16,892,950-17,026,815(-)	718
917	chr7:917	chr7	43926439	102808838	9591	0.0028787434019417334	2126	7465	3669	5172	0	9581	0.5810765720313094	0.9999362826347351	0.10853925555208008	nRNA chr7:100,197,473-100,214,387(+)	663
3	chr16:3	chr16	1510646	90176006	8055	0.002417712240917596	2510	5545	5011	2521	0	8043	0.5746949705284281	1.0	0.20285536933581627	mRNA ZFHX3 ENST00000268489.10	1065
3	chr10:3	chr10	5765702	133468331	7693	0.002309057761561647	2257	5436	7373	202	2	7590	0.6307170584038322	1.0	0.1787339139477447	nRNA chr10:99,782,639-99,852,594(+)	644
1344	chr1:1344	chr1	152124317	152412487	7445	0.002234620438687958	4455	2990	904	5748	0	7190	0.6173475036835404	0.9996509552001953	0.10436534586971122	mRNA FLG2 ENST00000388718.5	1587
12673	chr2:12673	chr2	178526893	178802535	7438	0.002232519385219749	826	6612	56	7371	1	7430	0.14992437263663722	1.0	0.0006722237160527024	nRNA chr2:178,525,988-178,804,642(-)	1676
3	chrX:3	chrX	7049962	155524630	7137	0.0021421740860867637	2197	4940	4714	2344	10	7098	0.6010397715200169	1.0	0.1800476390640325	nRNA chrX:65,499,117-65,534,757(-)	329
900	chr17:900	chr17	29562177	30185957	7130	0.002140073032618555	1760	5370	1736	5384	0	7128	0.6170904697271699	0.9999870657920837	0.1273492286115007	nRNA chr17:29,560,546-29,707,090(+)	2575
8885	chr17:8885	chr17	10300771	10729383	6544	0.0019641848422799193	129	6415	42	6479	0	6542	0.5107128793610805	0.9998785853385925	0.01039119804400978	nRNA chr17:10,383,155-10,537,862(+)	1108
3	chr14:3	chr14	20510243	81987869	5833	0.0017507778400089806	2333	3500	2813	2973	16	5827	0.6170613467260638	1.0	0.23692782444711127	mRNA ADAM20 ENST00000256389.5	372
2934	chr19:2934	chr19	42325719	55374928	5292	0.0015883964219659738	1286	4006	4292	948	0	5223	0.4790649258664324	1.0	0.015306122448979591	nRNA chr19:42,325,634-42,378,769(+)	721
17546	chr5:17546	chr5	141330638	141512199	4983	0.001495649918869321	416	4567	4784	163	0	4974	0.6645961398198623	1.0	0.05017057997190447	nRNA ENST00000611950.1	346
3	chr20:3	chr20	1757716	64292881	4536	0.001361482647399406	2211	2325	3495	990	0	4533	0.6883650947418852	1.0	0.36772486772486773	mRNA TSHZ2 ENST00000603338.2	588
3369	chr11:3369	chr11	5248270	5904282	4514	0.0013548793364993208	1450	3064	1641	2850	0	4503	0.69688546456319	1.0	0.3996455471865308	nRNA ENST00000380184.2	234
9930	chr2:9930	chr2	74455093	202560197	4280	0.0012846441205620499	1782	2498	3083	1106	6	4269	0.6518193436410087	1.0	0.3383177570093458	mRNA RANBP2 ENST00000283195.11	577
9038	chr17:9038	chr17	28473392	28645234	4135	0.0012411222987205785	897	3238	2202	1927	1	4133	0.5373843082212173	1.0	0.043047158403869405	nRNA chr17:28,614,881-28,645,454(-)	490
13954	chr21:13954	chr21	33503934	33968616	4104	0.0012318176333613673	2360	1744	3099	988	0	4093	0.47591031572307674	0.9921324253082275	0.06042884990253411	mRNA SON ENST00000300278.8	1391
2685	chr12:2685	chr12	123762190	124315195	4017	0.0012057045402564847	437	3580	2568	1438	0	4010	0.5727263680541689	0.9995653629302979	0.05352252925068459	nRNA chr12:123,762,187-123,935,720(+)	1673
6287	chr13:6287	chr13	110148996	110512470	3810	0.0011435733876965911	289	3521	1939	1817	0	3691	0.6263493878796227	1.0	0.09580052493438321	nRNA chr13:110,477,922-110,513,027(+)	954
17544	chr5:17544	chr5	140786064	141011127	3700	0.0011105568331961646	756	2944	1955	1689	0	3679	0.6685258334323865	0.999247133731842	0.16378378378378378	nRNA chr5:140,785,697-140,828,549(-)	416
22495	chrX:22495	chrX	67521831	67730178	3621	0.0010868449440549492	3549	72	3597	0	0	3613	0.39910572596450916	0.993493914604187	0.11267605633802817	mRNA AR ENST00000396043.4	1588
3982	chr11:3982	chr11	63974620	64166101	3588	0.0010769399777048212	1784	1804	1130	2457	0	3588	0.6877096076693215	0.9945573806762695	0.30434782608695654	mRNA FLRT1 ENST00000246841.3	1469
21769	chr9:21769	chr9	114862696	115401309	3547	0.001064633807391026	695	2852	46	3487	0	3546	0.6835090457447334	0.9895378947257996	0.22808006766281363	nRNA chr9:114,850,967-115,121,030(+)	1529
3	chr22:3	chr22	10942359	50780924	3480	0.0010445237241953115	954	2526	2142	901	0	3479	0.5773180499889663	0.9862457513809204	0.10919540229885058	nRNA chr22:24,011,415-24,178,628(+)	626
4102	chr11:4102	chr11	67351592	67511065	3326	0.0009983005478947143	380	2946	1514	1808	1	3324	0.45165179410845185	1.0	0.03788334335538184	nRNA chr11:67,400,854-67,421,183(-)	587
18031	chr6:18031	chr6	26087049	26545803	3271	0.0009817922706445012	1112	2159	2431	830	0	3263	0.6006613109239158	1.0	0.23448486701314583	nRNA chr6:26,457,949-26,469,653(+)	187
