locus_id	locus_key	qname	true_source	predicted_detail	chrom	fragment_start_1based	fragment_end	read_start_1based	read_end	cigar	template_length	mapq	is_reverse	mate_is_reverse	nh	nm	as	zf	zw	zc	zs	zl	zt	zg	zr	target_label
3	chr2:3	A00839:75:H7MFFDSXY:3:2324:24279:31955	gdna	mrna	chr2	202765716	202765969	202765820	202765969	150M	-254	255	True	False	1	0	298	3	0.9963996410369873	ambig_same_strand	unspliced	3	ENST00000392238.3	ENSG00000138439.12	FAM117B	mRNA FAM117B ENST00000392238.3
3	chr2:3	A00839:75:H7MFFDSXY:3:2529:25898:16501	gdna	mrna	chr2	151854950	151855284	151854950	151855099	150M	335	255	False	True	1	0	298	3	0.6963960528373718	ambig_same_strand	unspliced	3	ENST00000636834.1	ENSG00000182389.20	CACNB4	mRNA CACNB4 ENST00000636834.1
3	chr2:3	A00839:75:H7MFFDSXY:3:1527:2211:4100	gdna	mrna	chr2	167245830	167246212	167246063	167246212	150M	-383	255	True	False	1	0	298	3	0.19109076261520386	ambig_same_strand	unspliced	3	ENST00000672277.1	ENSG00000163092.22	XIRP2	mRNA XIRP2 ENST00000672277.1
3	chr2:3	A00839:75:H7MFFDSXY:3:1152:12581:34710	gdna	nrna	chr2	151696491	151696758	151696491	151696640	150M	268	255	False	True	1	0	298	25	0.91264808177948	ambig_same_strand	unspliced	3	RIGEL_NRNA_chr2_2_151485335_151734487	RIGEL_NRNA_chr2_2_151485335_151734487		nRNA chr2:151,485,335-151,734,487(-)
3	chr1:3	A00839:75:H7MFFDSXY:3:2525:31439:29262	gdna	nrna	chr1	146685556	146685814	146685665	146685814	150M	-259	3	True	False	2	0	298	25	0.633751630783081	multimapper	unspliced	3	RIGEL_NRNA_chr1_1_146547366_146898974	RIGEL_NRNA_chr1_1_146547366_146898974		nRNA chr1:146,547,366-146,898,974(+)
3	chr1:3	A00839:75:H7MFFDSXY:3:2370:2510:25755	gdna	nrna	chr1	240143811	240144209	240143811	240143960	150M	399	255	False	True	1	0	296	9	0.5069261789321899	ambig_opp_strand	unspliced	3	ENST00000451892.1	ENSG00000228818.1	ENSG00000228818	nRNA ENST00000451892.1
3	chr1:3	A00839:75:H7MFFDSXY:3:1376:18304:15781	gdna	nrna	chr1	109750676	109750856	109750676	109750825	150M	181	255	False	True	1	0	298	25	0.748022735118866	ambig_opp_strand	unspliced	3	RIGEL_NRNA_chr1_2_109750355_109751546	RIGEL_NRNA_chr1_2_109750355_109751546		nRNA chr1:109,750,355-109,751,546(-)
3	chr1:3	A00839:75:H7MFFDSXY:3:2568:5376:18192	gdna	nrna	chr1	33662718	33662961	33662718	33662867	150M	244	255	False	True	1	0	298	25	0.33602648973464966	ambig_same_strand	unspliced	3	RIGEL_NRNA_chr1_2_33513997_34165842	RIGEL_NRNA_chr1_2_33513997_34165842		nRNA chr1:33,513,997-34,165,842(-)
3	chr7:3	A00839:75:H7MFFDSXY:3:1421:6072:1047	gdna	nrna	chr7	117385568	117385863	117385568	117385717	150M	296	255	False	True	1	0	298	25	0.6558648347854614	ambig_opp_strand	unspliced	3	RIGEL_NRNA_chr7_2_117363307_117427507	RIGEL_NRNA_chr7_2_117363307_117427507		nRNA chr7:117,363,307-117,427,507(-)
3	chr7:3	A00839:75:H7MFFDSXY:3:1378:6497:19006	gdna	nrna	chr7	158326625	158326922	158326625	158326774	35M2I27M2D86M	298	255	False	True	1	5	264	25	0.18277612328529358	ambig_same_strand	unspliced	3	RIGEL_NRNA_chr7_2_157539055_158587823	RIGEL_NRNA_chr7_2_157539055_158587823		nRNA chr7:157,539,055-158,587,823(-)
