locus_key	qname	true_source	predicted_detail	chrom	fragment_start_1based	fragment_end	read_start_1based	read_end	cigar	template_length	mapq	is_reverse	mate_is_reverse	nh	nm	as	zf	zw	zc	zs	zl	zt	zg	zr	target_label
chr19:11001	A00839:75:H7MFFDSXY:3:2531:9372:8672	gdna	mrna	chr19	4538574	4539090	4538574	4538723	150M	517	255	False	True	1	1	298	3	1.0	unambig	spliced_annot	11001	ENST00000586883.1	ENSG00000171236.10	LRG1	mRNA LRG1 ENST00000586883.1
chr1:155	A00839:75:H7MFFDSXY:3:2453:22019:36714	gdna	mrna	chr1	7829834	7830156	7829834	7830037	118M54N32M	323	255	False	True	1	0	300	3	1.0	unambig	spliced_annot	155	ENST00000614998.4	ENSG00000049246.15	PER3	mRNA PER3 ENST00000614998.4
chr11:3418	A00839:75:H7MFFDSXY:3:2276:23095:5321	gdna	mrna	chr11	639543	639919	639543	639794	3M102N147M	377	255	False	True	1	0	300	3	1.0	ambig_same_strand	spliced_annot	3418	ENST00000176183.6	ENSG00000069696.7	DRD4	mRNA DRD4 ENST00000176183.6
chr22:15550	A00839:75:H7MFFDSXY:3:1571:17056:14747	gdna	nrna	chr22	50530318	50530945	50530318	50530467	150M	628	255	False	True	1	1	292	25	1.0	ambig_same_strand	spliced_implicit	15550	RIGEL_NRNA_chr22_2_50529709_50531822	RIGEL_NRNA_chr22_2_50529709_50531822		nRNA chr22:50,529,709-50,531,822(-)
chr22:15119	A00839:75:H7MFFDSXY:3:2465:19316:4069	gdna	nrna	chr22	22635852	22636197	22635852	22636001	150M	346	255	False	True	1	9	259	25	1.0	ambig_same_strand	spliced_implicit	15119	RIGEL_NRNA_chr22_1_22630064_22636153	RIGEL_NRNA_chr22_1_22630064_22636153		nRNA chr22:22,630,064-22,636,153(+)
chr5:18099	A00839:75:H7MFFDSXY:3:1155:12057:5243	gdna	mrna	chr5	169882852	169883168	169883043	169883168	126M24S	-317	255	True	False	1	1	272	3	1.0	ambig_opp_strand	spliced_implicit	18099	ENST00000377365.4	ENSG00000204767.4	INSYN2B	mRNA INSYN2B ENST00000377365.4
chr14:6825	A00839:75:H7MFFDSXY:3:1102:27697:34021	gdna	mrna	chr14	24238329	24238961	24238329	24238478	150M	633	255	False	True	1	0	298	3	1.0	unambig	spliced_annot	6825	ENST00000559479.1	ENSG00000100938.19	GMPR2	mRNA GMPR2 ENST00000559479.1
chr12:5077	A00839:75:H7MFFDSXY:3:2249:26078:18223	gdna	mrna	chr12	56432248	56433028	56432248	56432397	150M	781	255	False	True	1	1	298	3	1.0	unambig	spliced_annot	5077	ENST00000229201.4	ENSG00000111602.12	TIMELESS	mRNA TIMELESS ENST00000229201.4
chr17:10355	A00839:75:H7MFFDSXY:3:1260:9498:7075	gdna	mrna	chr17	81700422	81700713	81700422	81700713	110M178N4M	-292	255	True	False	1	0	230	3	1.0	unambig	spliced_annot	10355	ENST00000677706.1	ENSG00000185359.14	HGS	mRNA HGS ENST00000677706.1
chr20:14205	A00839:75:H7MFFDSXY:3:1374:22833:3145	gdna	nrna	chr20	35000854	35001279	35001130	35001279	150M	-426	255	True	False	1	0	294	25	1.0	ambig_same_strand	spliced_unannot	14205	RIGEL_NRNA_chr20_1_34955867_35002437	RIGEL_NRNA_chr20_1_34955867_35002437		nRNA chr20:34,955,867-35,002,437(+)
chr3:15692	A00839:75:H7MFFDSXY:3:1648:14678:28855	gdna	mrna	chr3	28975635	29200058	29182987	29200058	143M16922N7M	-224424	255	True	False	1	0	300	3	1.0	unambig	spliced_annot	15692	ENST00000636582.1	ENSG00000144642.22	RBMS3	mRNA RBMS3 ENST00000636582.1
