predicted_detail	target	count	fraction
mrna	mRNA FLG2 ENST00000388718.5	1581	0.4709562109025916
nrna	nRNA chr1:152,335,378-152,364,080(+)	1504	0.44801906464104857
nrna	nRNA chr1:152,348,734-152,360,006(-)	212	0.06315162347333929
mrna	mRNA SMCP ENST00000368765.4	1	0.0002978850163836759
mrna	mRNA CHRNB2 ENST00000637900.1	1	0.0002978850163836759
nrna	nRNA chr1:1,702,880-1,721,655(-)	1	0.0002978850163836759
nrna	nRNA chr1:154,479,480-154,502,412(-)	1	0.0002978850163836759
mrna	mRNA F5 ENST00000367796.3	1	0.0002978850163836759
mrna	mRNA AHDC1 ENST00000642416.1	1	0.0002978850163836759
mrna	mRNA MROH9 ENST00000367758.7	1	0.0002978850163836759
mrna	mRNA IPO9 ENST00000361565.9	1	0.0002978850163836759
mrna	mRNA HMCN1 ENST00000271588.9	1	0.0002978850163836759
mrna	mRNA PMF1 ENST00000368277.3	1	0.0002978850163836759
mrna	mRNA THEMIS2 ENST00000373925.5	1	0.0002978850163836759
mrna	mRNA SYTL1 ENST00000490170.5	1	0.0002978850163836759
mrna	mRNA WARS2 ENST00000369426.9	1	0.0002978850163836759
mrna	mRNA ADAMTSL4 ENST00000489159.1	1	0.0002978850163836759
nrna	nRNA chr1:161,314,380-161,362,461(+)	1	0.0002978850163836759
mrna	mRNA ZC3H11A ENST00000639812.1	1	0.0002978850163836759
mrna	mRNA ARHGEF10L ENST00000375415.5	1	0.0002978850163836759
mrna	mRNA CEP170 ENST00000366544.6	1	0.0002978850163836759
nrna	nRNA ENST00000504970.1	1	0.0002978850163836759
nrna	nRNA chr1:32,203,229-32,205,345(+)	1	0.0002978850163836759
mrna	mRNA CASZ1 ENST00000377022.8	1	0.0002978850163836759
mrna	mRNA LAMC1 ENST00000258341.5	1	0.0002978850163836759
mrna	mRNA CACNA1E ENST00000360108.7	1	0.0002978850163836759
mrna	mRNA CLCC1 ENST00000675956.1	1	0.0002978850163836759
nrna	nRNA chr1:1,257,121-1,263,569(-)	1	0.0002978850163836759
mrna	mRNA AMY2B ENST00000491397.1	1	0.0002978850163836759
nrna	nRNA chr1:149,928,650-149,936,834(-)	1	0.0002978850163836759
nrna	nRNA chr1:231,365,907-231,421,226(-)	1	0.0002978850163836759
mrna	mRNA PDE4B ENST00000371045.9	1	0.0002978850163836759
mrna	mRNA CRB1 ENST00000538660.5	1	0.0002978850163836759
nrna	nRNA chr1:16,058,278-16,073,651(-)	1	0.0002978850163836759
mrna	mRNA EPHA8 ENST00000166244.8	1	0.0002978850163836759
mrna	mRNA SPEN ENST00000375759.8	1	0.0002978850163836759
mrna	mRNA UBIAD1 ENST00000376804.2	1	0.0002978850163836759
mrna	mRNA CDC73 ENST00000649895.1	1	0.0002978850163836759
nrna	nRNA chr1:107,141,038-107,483,458(+)	1	0.0002978850163836759
mrna	mRNA NRDC ENST00000352171.12	1	0.0002978850163836759
nrna	nRNA chr1:156,728,468-156,736,960(+)	1	0.0002978850163836759
mrna	mRNA KLHL21 ENST00000377663.3	1	0.0002978850163836759
nrna	nRNA chr1:201,888,679-201,892,137(+)	1	0.0002978850163836759
nrna	nRNA ENST00000330500.4	1	0.0002978850163836759
mrna	mRNA RNF187 ENST00000305943.9	1	0.0002978850163836759
mrna	mRNA MEF2D ENST00000464356.6	1	0.0002978850163836759
nrna	nRNA ENST00000366645.1	1	0.0002978850163836759
mrna	mRNA VSIG8 ENST00000368100.1	1	0.0002978850163836759
mrna	mRNA NAXE ENST00000679649.1	1	0.0002978850163836759
mrna	mRNA BTBD8 ENST00000637221.2	1	0.0002978850163836759
mrna	mRNA PCNX2 ENST00000258229.14	1	0.0002978850163836759
nrna	nRNA chr1:46,394,316-46,413,848(+)	1	0.0002978850163836759
mrna	mRNA USP24 ENST00000294383.7	1	0.0002978850163836759
nrna	nRNA chr1:175,359,181-175,528,369(-)	1	0.0002978850163836759
nrna	nRNA chr1:150,257,874-150,263,831(+)	1	0.0002978850163836759
mrna	mRNA NAV1 ENST00000685211.1	1	0.0002978850163836759
nrna	nRNA chr1:223,220,850-223,364,185(-)	1	0.0002978850163836759
mrna	mRNA EIF4G3 ENST00000681767.1	1	0.0002978850163836759
mrna	mRNA MTR ENST00000650888.1	1	0.0002978850163836759
nrna	nRNA chr1:206,865,622-206,869,223(+)	1	0.0002978850163836759
nrna	nRNA chr1:204,040,168-204,041,265(-)	1	0.0002978850163836759
mrna	mRNA ADAR ENST00000681683.1	1	0.0002978850163836759
nrna	nRNA chr1:31,578,144-31,587,686(+)	1	0.0002978850163836759
