t_index	transcript_id	gene_name	strand	start_1based	end	length	n_exons	is_synthetic	span_overlap_bp	exon_overlap_bp	count	count_em	tpm
13915	ENST00000388718.5	FLG2	-	152348735	152360006	9124	3	False	10000	7852	1583.0	1583.0	17.50074886687019
13898	ENST00000655109.1	CCDST	+	152189303	152365649	2732	8	False	10000	0	0.0	0.0	0.0
13899	ENST00000630125.3	CCDST	+	152189303	152404507	2680	8	False	10000	0	0.0	0.0	0.0
13900	ENST00000669062.1	CCDST	+	152189305	152365652	2362	6	False	10000	0	0.0	0.0	0.0
13901	ENST00000664213.1	CCDST	+	152189311	152365652	2580	8	False	10000	0	0.0	0.0	0.0
13902	ENST00000669830.1	CCDST	+	152189333	152365638	2502	8	False	10000	0	0.0	0.0	0.0
13903	ENST00000653548.1	CCDST	+	152189344	152405050	1472	8	False	10000	0	0.0	0.0	0.0
13905	ENST00000659844.1	CCDST	+	152189352	152365557	2417	8	False	10000	0	0.0	0.0	0.0
13906	ENST00000666686.1	CCDST	+	152189352	152365652	2580	7	False	10000	0	0.0	0.0	0.0
13911	ENST00000392688.7	CCDST	+	152313459	152365652	3072	7	False	10000	0	0.0	0.0	0.0
13912	ENST00000658099.1	CCDST	+	152331476	152365639	5842	4	False	10000	0	0.0	0.0	0.0
13913	ENST00000629331.1	CCDST	+	152335379	152364080	155	2	False	10000	0	0.0	0.0	0.0
13914	ENST00000445097.2	CCDST	+	152337068	152366692	2857	3	False	10000	0	0.0	0.0	0.0
265334	RIGEL_NRNA_chr1_1_152189296_152365652		+	152189297	152365652	176356	1	True	10000	0	0.0	0.0	0.0
265335	RIGEL_NRNA_chr1_1_152189296_152404507		+	152189297	152404507	215211	1	True	10000	0	0.0	0.0	0.0
265339	RIGEL_NRNA_chr1_1_152189332_152365557		+	152189333	152365557	176225	1	True	10000	0	0.0	0.0	0.0
265336	RIGEL_NRNA_chr1_1_152189332_152365652		+	152189333	152365652	176320	1	True	10000	0	0.0	0.0	0.0
265337	RIGEL_NRNA_chr1_1_152189332_152405050		+	152189333	152405050	215718	1	True	10000	0	0.0	0.0	0.0
265344	RIGEL_NRNA_chr1_1_152313458_152365652		+	152313459	152365652	52194	1	True	10000	0	0.0	0.0	0.0
265345	RIGEL_NRNA_chr1_1_152331475_152365652		+	152331476	152365652	34177	1	True	10000	0	0.0	0.0	0.0
265346	RIGEL_NRNA_chr1_1_152335378_152364080		+	152335379	152364080	28702	1	True	10000	0	1513.0	1513.0	5.013630632476534
265347	RIGEL_NRNA_chr1_1_152337067_152366692		+	152337068	152366692	29625	1	True	10000	0	0.0	0.0	0.0
265348	RIGEL_NRNA_chr1_2_152348734_152360006		-	152348735	152360006	11272	1	True	10000	0	212.0	212.0	1.8129498577966243
