locus_id	locus_key	qname	true_source	predicted_detail	chrom	fragment_start_1based	fragment_end	read_start_1based	read_end	cigar	template_length	mapq	is_reverse	mate_is_reverse	nh	nm	as	zf	zw	zc	zs	zl	zt	zg	zr	target_label
3	chr2:3	A00839:75:H7MFFDSXY:3:2324:24279:31955	gdna	mrna	chr2	202765716	202765969	202765820	202765969	150M	-254	255	True	False	1	0	298	3	0.9526009559631348	ambig_same_strand	unspliced	3	ENST00000392238.3	ENSG00000138439.12	FAM117B	mRNA FAM117B ENST00000392238.3
3	chr2:3	A00839:75:H7MFFDSXY:3:1619:12436:22435	gdna	nrna	chr2	46369650	46369895	46369746	46369895	150M	-246	255	True	False	1	0	298	25	0.5015048980712891	ambig_same_strand	unspliced	3	RIGEL_NRNA_chr2_1_46297406_46386697	RIGEL_NRNA_chr2_1_46297406_46386697		nRNA chr2:46,297,406-46,386,697(+)
3	chr2:3	A00839:75:H7MFFDSXY:3:1478:11360:25175	gdna	nrna	chr2	17721060	17721290	17721060	17721209	150M	231	255	False	True	1	0	298	25	0.2741115689277649	ambig_same_strand	unspliced	3	RIGEL_NRNA_chr2_2_17665446_17800195	RIGEL_NRNA_chr2_2_17665446_17800195		nRNA chr2:17,665,446-17,800,195(-)
3	chr2:3	A00839:75:H7MFFDSXY:3:1552:32497:13463	gdna	nrna	chr2	178718006	178718262	178718113	178718262	150M	-257	255	True	False	1	0	298	25	0.09118147194385529	ambig_opp_strand	unspliced	3	RIGEL_NRNA_chr2_1_178528764_178738038	RIGEL_NRNA_chr2_1_178528764_178738038		nRNA chr2:178,528,764-178,738,038(+)
3	chr1:3	A00839:75:H7MFFDSXY:3:2324:7111:31031	gdna	nrna	chr1	156595150	156595562	156595413	156595562	150M	-413	3	True	False	2	0	290	25	0.0578426867723465	multimapper	unspliced	3	RIGEL_NRNA_chr1_1_156591755_156595741	RIGEL_NRNA_chr1_1_156591755_156595741		nRNA chr1:156,591,755-156,595,741(+)
3	chr1:3	A00839:75:H7MFFDSXY:3:1376:18304:15781	gdna	nrna	chr1	109750676	109750856	109750676	109750825	150M	181	255	False	True	1	0	298	25	0.639573335647583	ambig_opp_strand	unspliced	3	RIGEL_NRNA_chr1_2_109750355_109751546	RIGEL_NRNA_chr1_2_109750355_109751546		nRNA chr1:109,750,355-109,751,546(-)
3	chr1:3	A00839:75:H7MFFDSXY:3:1436:25536:12712	gdna	mrna	chr1	152350515	152350871	152350515	152350664	150M	357	255	False	True	1	0	298	3	0.5728872418403625	ambig_opp_strand	unspliced	3	ENST00000388718.5	ENSG00000143520.6	FLG2	mRNA FLG2 ENST00000388718.5
3	chr1:3	A00839:75:H7MFFDSXY:3:2130:1289:21762	gdna	nrna	chr1	152353387	152353563	152353414	152353563	150M	-177	255	True	False	1	1	294	25	0.9229825139045715	ambig_opp_strand	unspliced	3	RIGEL_NRNA_chr1_1_152335378_152364080	RIGEL_NRNA_chr1_1_152335378_152364080		nRNA chr1:152,335,378-152,364,080(+)
3	chr7:3	A00839:75:H7MFFDSXY:3:2571:8169:34898	gdna	nrna	chr7	117297519	117297759	117297519	117297668	150M	241	255	False	True	1	0	298	25	0.6906374096870422	ambig_opp_strand	unspliced	3	RIGEL_NRNA_chr7_2_117277530_117323114	RIGEL_NRNA_chr7_2_117277530_117323114		nRNA chr7:117,277,530-117,323,114(-)
3	chr7:3	A00839:75:H7MFFDSXY:3:2466:19416:14387	gdna	nrna	chr7	154872565	154872920	154872771	154872920	150M	-356	255	True	False	1	2	294	25	0.053429849445819855	ambig_same_strand	unspliced	3	RIGEL_NRNA_chr7_1_154868055_154876386	RIGEL_NRNA_chr7_1_154868055_154876386		nRNA chr7:154,868,055-154,876,386(+)
3	chr7:3	A00839:75:H7MFFDSXY:3:1309:10086:6308	gdna	nrna	chr7	108232308	108232482	108232308	108232457	150M	175	255	False	True	1	1	294	25	0.6221303939819336	ambig_same_strand	unspliced	3	RIGEL_NRNA_chr7_2_108148116_108456339	RIGEL_NRNA_chr7_2_108148116_108456339		nRNA chr7:108,148,116-108,456,339(-)
3	chr7:3	A00839:75:H7MFFDSXY:3:1666:13919:21277	gdna	nrna	chr7	90163010	90163350	90163201	90163350	150M	-341	255	True	False	1	0	296	25	0.380150705575943	ambig_opp_strand	unspliced	3	RIGEL_NRNA_chr7_1_90161265_90164829	RIGEL_NRNA_chr7_1_90161265_90164829		nRNA chr7:90,161,265-90,164,829(+)
3	chr11:3	A00839:75:H7MFFDSXY:3:2224:27778:12054	gdna	mrna	chr11	65223531	65223708	65223559	65223708	150M	-178	255	True	False	1	0	298	3	0.5031686425209045	ambig_same_strand	unspliced	3	ENST00000534471.1	ENSG00000293475.1	ENSG00000293475	mRNA ENSG00000293475 ENST00000534471.1
3	chr11:3	A00839:75:H7MFFDSXY:3:1234:31620:12477	gdna	nrna	chr11	64219947	64220282	64220133	64220282	150M	-336	255	True	False	1	0	298	25	0.38957709074020386	ambig_same_strand	unspliced	3	RIGEL_NRNA_chr11_1_64219509_64220669	RIGEL_NRNA_chr11_1_64219509_64220669		nRNA chr11:64,219,509-64,220,669(+)
3	chr11:3	A00839:75:H7MFFDSXY:3:2675:25003:35055	gdna	nrna	chr11	64225500	64225802	64225500	64225649	150M	303	255	False	True	1	0	298	25	0.16965807974338531	ambig_same_strand	unspliced	3	RIGEL_NRNA_chr11_2_64223852_64225870	RIGEL_NRNA_chr11_2_64223852_64225870		nRNA chr11:64,223,852-64,225,870(-)
3	chr11:3	A00839:75:H7MFFDSXY:3:1624:11686:30154	gdna	mrna	chr11	65500844	65501189	65501040	65501189	150M	-346	255	True	False	1	0	294	3	0.7094918489456177	ambig_opp_strand	unspliced	3	ENST00000710933.1	ENSG00000251562.11	MALAT1	mRNA MALAT1 ENST00000710933.1
3	chr3:3	A00839:75:H7MFFDSXY:3:2437:16893:33786	gdna	nrna	chr3	47343515	47343751	47343602	47343751	150M	-237	255	True	False	1	0	298	25	0.6793757677078247	ambig_same_strand	unspliced	3	RIGEL_NRNA_chr3_1_47282943_47344577	RIGEL_NRNA_chr3_1_47282943_47344577		nRNA chr3:47,282,943-47,344,577(+)
3	chr3:3	A00839:75:H7MFFDSXY:3:2619:32958:33332	gdna	nrna	chr3	53775974	53776112	53775974	53776112	139M	-139	255	True	False	1	1	255	25	0.1555773764848709	ambig_same_strand	unspliced	3	RIGEL_NRNA_chr3_1_53494610_53781924	RIGEL_NRNA_chr3_1_53494610_53781924		nRNA chr3:53,494,610-53,781,924(+)
3	chr3:3	A00839:75:H7MFFDSXY:3:1233:16206:23296	gdna	nrna	chr3	53800253	53800507	53800358	53800507	150M	-255	255	True	False	1	0	298	25	0.5940913558006287	ambig_same_strand	unspliced	3	RIGEL_NRNA_chr3_1_53799890_53813712	RIGEL_NRNA_chr3_1_53799890_53813712		nRNA chr3:53,799,890-53,813,712(+)
3	chr3:3	A00839:75:H7MFFDSXY:3:2552:23764:25801	gdna	mrna	chr3	47891475	47891772	47891475	47891624	150M	298	255	False	True	1	1	296	3	0.7096536159515381	ambig_same_strand	unspliced	3	ENST00000497735.1	ENSG00000047849.22	MAP4	mRNA MAP4 ENST00000497735.1
3	chr5:3	A00839:75:H7MFFDSXY:3:1163:14262:25441	gdna	nrna	chr5	141183091	141183317	141183091	141183240	150M	227	255	False	True	1	0	296	25	0.8352029323577881	ambig_opp_strand	unspliced	3	RIGEL_NRNA_chr5_2_141136682_141241744	RIGEL_NRNA_chr5_2_141136682_141241744		nRNA chr5:141,136,682-141,241,744(-)
3	chr5:3	A00839:75:H7MFFDSXY:3:1512:7401:2409	gdna	nrna	chr5	141235450	141235769	141235620	141235769	150M	-320	255	True	False	1	0	296	9	0.588782548904419	ambig_opp_strand	unspliced	3	ENST00000524813.2	ENSG00000146001.6	PCDHB18P	nRNA ENST00000524813.2
3	chr5:3	A00839:75:H7MFFDSXY:3:2438:24144:12837	gdna	nrna	chr5	140652894	140653167	140653018	140653167	150M	-274	255	True	False	1	0	296	25	0.5811043977737427	ambig_same_strand	unspliced	3	RIGEL_NRNA_chr5_1_140647828_140662480	RIGEL_NRNA_chr5_1_140647828_140662480		nRNA chr5:140,647,828-140,662,480(+)
3	chr5:3	A00839:75:H7MFFDSXY:3:2466:28718:20353	gdna	nrna	chr5	115391605	115391769	115391605	115391754	150M	165	255	False	True	1	0	298	9	0.697519838809967	ambig_same_strand	unspliced	3	ENST00000515849.2	ENSG00000249026.2	CTNNA1P1	nRNA ENST00000515849.2
