qname	span	predicted_detail	target	read1_strand	rna_strand_if_rna	template_length	cigar	nh	nm	zw	zc	zs	zt	zg	zr
A00839:75:H7MFFDSXY:3:1436:25536:12712	chr1:152350515-152350871	mrna	mRNA FLG2 ENST00000388718.5	+	-	357	150M	1	0	0.6577302813529968	ambig_opp_strand	unspliced	ENST00000388718.5	ENSG00000143520.6	FLG2
A00839:75:H7MFFDSXY:3:2130:1289:21762	chr1:152353387-152353563	nrna	nRNA chr1:152,335,378-152,364,080(+)	-	+	177	150M	1	1	0.9367368817329407	ambig_opp_strand	unspliced	RIGEL_NRNA_chr1_1_152335378_152364080	RIGEL_NRNA_chr1_1_152335378_152364080	
A00839:75:H7MFFDSXY:3:2674:3161:10441	chr1:152351717-152351998	nrna	nRNA chr1:152,335,378-152,364,080(+)	-	+	282	150M	1	0	0.9113338589668274	ambig_opp_strand	unspliced	RIGEL_NRNA_chr1_1_152335378_152364080	RIGEL_NRNA_chr1_1_152335378_152364080	
A00839:75:H7MFFDSXY:3:1350:16432:18302	chr1:152355010-152355344	nrna	nRNA chr1:152,335,378-152,364,080(+)	-	+	335	104M	1	0	0.724029004573822	ambig_opp_strand	unspliced	RIGEL_NRNA_chr1_1_152335378_152364080	RIGEL_NRNA_chr1_1_152335378_152364080	
A00839:75:H7MFFDSXY:3:1444:14199:16752	chr1:152354484-152354839	nrna	nRNA chr1:152,335,378-152,364,080(+)	-	+	356	150M	1	0	0.5179604291915894	ambig_opp_strand	unspliced	RIGEL_NRNA_chr1_1_152335378_152364080	RIGEL_NRNA_chr1_1_152335378_152364080	
A00839:75:H7MFFDSXY:3:1212:11505:14935	chr1:152353745-152354135	mrna	mRNA FLG2 ENST00000388718.5	+	-	391	150M	1	0	0.2767440378665924	ambig_opp_strand	unspliced	ENST00000388718.5	ENSG00000143520.6	FLG2
A00839:75:H7MFFDSXY:3:1575:23231:1329	chr1:152355025-152355360	mrna	mRNA FLG2 ENST00000388718.5	+	-	336	105M	1	0	0.7802353501319885	ambig_opp_strand	unspliced	ENST00000388718.5	ENSG00000143520.6	FLG2
A00839:75:H7MFFDSXY:3:2460:13259:18067	chr1:152354044-152354419	nrna	nRNA chr1:152,335,378-152,364,080(+)	-	+	376	150M	1	0	0.26672127842903137	ambig_opp_strand	unspliced	RIGEL_NRNA_chr1_1_152335378_152364080	RIGEL_NRNA_chr1_1_152335378_152364080	
A00839:75:H7MFFDSXY:3:2340:29279:21699	chr1:152354368-152354662	nrna	nRNA chr1:152,335,378-152,364,080(+)	-	+	295	150M	1	0	0.8892678618431091	ambig_opp_strand	unspliced	RIGEL_NRNA_chr1_1_152335378_152364080	RIGEL_NRNA_chr1_1_152335378_152364080	
A00839:75:H7MFFDSXY:3:2320:16477:9549	chr1:152356451-152356798	mrna	mRNA FLG2 ENST00000388718.5	+	-	348	150M	1	0	0.7217763662338257	ambig_opp_strand	unspliced	ENST00000388718.5	ENSG00000143520.6	FLG2
