locus_id	locus_key	chrom	observed_start_1based	observed_end	gdna_false_rna	fraction_of_false_rna	pred_mrna	pred_nrna	ambig_same	ambig_opp	unambig	unspliced	mean_zw	max_zw	zw_ge_90_rate	top_target	top_target_count
12994	chr2:12994	chr2	24586848	186333274	32893	0.012457940767875458	1704	31189	668	32224	1	32477	0.5194265795519393	1.0	0.13464870945185906	nRNA chr2:178,525,988-178,804,642(-)	14782
3419	chr11:3419	chr11	644233	114450251	14507	0.005494401444671184	4801	9706	5609	8871	27	14107	0.5667802357673568	1.0	0.2214103536223892	nRNA ENST00000698129.1	1824
6465	chr13:6465	chr13	96090628	110512596	9744	0.003690456171288069	450	9294	6778	2965	1	9518	0.5538946094114887	1.0	0.15948275862068967	nRNA chr13:110,149,060-110,299,118(-)	2492
12263	chr2:12263	chr2	3651440	240805352	6514	0.002467121459336051	2112	4402	5032	1428	54	6404	0.5027275825548994	1.0	0.10408351243475591	nRNA chr2:169,127,108-169,362,534(-)	379
9590	chr17:9590	chr17	29562177	30185966	6196	0.002346681695125295	1685	4511	1595	4600	1	6046	0.5900395750437891	1.0	0.13508715300193674	nRNA chr17:29,560,546-29,707,090(+)	2088
18408	chr5:18408	chr5	107380994	141248274	5981	0.0022652522947941237	135	5846	216	5659	106	5976	0.7523664577579622	1.0	0.379869587025581	nRNA chr5:141,136,682-141,241,744(-)	1804
1437	chr1:1437	chr1	152124320	152412433	5574	0.002111104546260232	3677	1897	836	4738	0	5479	0.6778907777178814	0.9993980526924133	0.09346968066020811	mRNA FLG2 ENST00000388718.5	1503
4278	chr11:4278	chr11	67351592	85758001	4584	0.0017361505633399538	1175	3409	2481	2096	7	4417	0.5045194281888865	1.0	0.024214659685863876	nRNA chr11:67,400,854-67,421,183(-)	686
18628	chr5:18628	chr5	108713551	141512199	4515	0.001710017406954601	372	4143	4367	148	0	4512	0.645940206880379	0.9971442222595215	0.030564784053156147	nRNA ENST00000611950.1	315
9377	chr17:9377	chr17	10300785	46371505	4128	0.0015634444863584923	141	3987	19	4105	4	3926	0.525774426661051	1.0	0.046027131782945735	nRNA chr17:10,383,155-10,537,862(+)	1248
23984	chrX:23984	chrX	67521831	67853372	4117	0.0015592783309927114	3964	153	4116	1	0	4109	0.3649289886726626	1.0	0.09788681078455186	mRNA AR ENST00000396043.4	1769
22928	chr9:22928	chr9	21069650	123930130	4107	0.0015554909170238198	2255	1852	1890	2217	0	4091	0.6419496527823771	1.0	0.2990017044071098	nRNA chr9:76,704,847-76,710,661(+)	844
9572	chr17:9572	chr17	28473423	28645234	4032	0.0015270853122571321	895	3137	2169	1861	2	3845	0.5350141134468787	1.0	0.057787698412698416	nRNA chr17:28,614,881-28,645,454(-)	435
22644	chr9:22644	chr9	27723901	107012899	3855	0.0014600480850077491	3312	543	3657	198	0	3853	0.6144563172196175	1.0	0.3159533073929961	mRNA ZNF462 ENST00000277225.10	2176
14756	chr21:14756	chr21	11628714	33915950	3853	0.0014592906022139708	2504	1349	3010	843	0	3823	0.4661972072599574	1.0	0.05761744095509992	mRNA SON ENST00000300278.8	1467
15589	chr3:15589	chr3	9749983	195443010	3828	0.0014498220672917415	1766	2062	1820	2004	4	3762	0.5483936220456145	1.0	0.15438871473354232	mRNA IGSF10 ENST00000282466.4	799
3535	chr11:3535	chr11	5248270	62984861	3735	0.0014145991173810488	1293	2442	1499	2235	1	3718	0.7216058097684998	1.0	0.38473895582329315	nRNA ENST00000380184.2	196
5463	chr12:5463	chr12	57096217	84580459	3623	0.0013721800809294617	320	3303	3355	266	2	3503	0.6086809766447219	1.0	0.03808998067899531	nRNA chr12:57,128,482-57,213,361(+)	2094
4167	chr11:4167	chr11	63974619	64166104	3517	0.0013320334928592097	1756	1761	1157	2359	1	3443	0.687729958576972	1.0	0.3110605629798123	mRNA FLRT1 ENST00000246841.3	1409
4067	chr11:4067	chr11	59712942	64269089	3433	0.0013002192155205194	85	3348	3345	47	41	3145	0.8005512768504156	0.9980326890945435	0.43984852898339644	nRNA chr11:64,251,529-64,267,923(+)	3264
18625	chr5:18625	chr5	140786133	141011127	3126	0.0011839456066755443	659	2467	1697	1429	0	3126	0.6438652590585733	0.9595271348953247	0.09724888035828536	nRNA ENST00000409700.4	294
19130	chr6:19130	chr6	26026894	166439391	3064	0.0011604636400684158	1038	2026	2193	829	42	3035	0.6090714729621437	1.0	0.24869451697127937	nRNA chr6:26,457,949-26,469,653(+)	159
3698	chr11:3698	chr11	26249163	94492977	2990	0.0011324367766986172	867	2123	2793	196	1	2907	0.5630795221563965	1.0	0.01705685618729097	nRNA chr11:68,047,283-68,050,880(+)	610
254	chr1:254	chr1	13893297	228495719	2891	0.0010949413784065896	1419	1472	2751	83	57	2771	0.5269607401848231	1.0	0.12798339674852993	nRNA chr1:154,582,056-154,599,446(-)	647
15741	chr3:15741	chr3	38039218	177106114	2800	0.001060475911289675	507	2293	1476	1319	5	2739	0.574163157963194	1.0	0.10821428571428572	nRNA chr3:38,039,204-38,124,025(+)	675
13468	chr2:13468	chr2	185738484	185833291	2776	0.001051386117764335	1919	857	632	2144	0	2774	0.8132715978624798	1.0	0.4773054755043228	mRNA FSIP2 ENST00000424728.6	1730
23236	chr9:23236	chr9	114862696	115401293	2772	0.0010498711521767783	754	2018	20	2752	0	2771	0.4986498191402378	0.9761757254600525	0.008658008658008658	nRNA chr9:114,850,967-115,121,030(+)	1019
15939	chr3:15939	chr3	52495346	190656792	2755	0.0010434325484296623	328	2427	2616	135	4	2519	0.508862737217705	1.0	0.042105263157894736	nRNA chr3:52,495,337-52,524,495(+)	1069
20901	chr7:20901	chr7	82821985	143352083	2714	0.0010279041511572064	2244	470	2712	1	1	2703	0.6766407057384198	1.0	0.4038319823139278	mRNA PCLO ENST00000423517.6	1888
22083	chr8:22083	chr8	76603277	92818668	2688	0.001018056874838088	2608	80	2686	2	0	2686	0.6935844517328882	0.9948737621307373	0.44308035714285715	mRNA ZFHX4 ENST00000518282.5	2184
21010	chr7:21010	chr7	100180349	156969973	2659	0.0010070733743283021	803	1856	1170	1489	0	2582	0.5226763415662764	1.0	0.04701015419330575	nRNA chr7:100,197,473-100,214,387(+)	384
4892	chr12:4892	chr12	1946060	96952286	2655	0.0010055584087407454	635	2020	1132	1522	1	2612	0.5124584516370055	1.0	0.07080979284369116	nRNA chr12:2,676,000-2,691,118(-)	254
19045	chr6:19045	chr6	11174790	11306145	2622	0.000993059942643403	997	1625	13	2608	1	2621	0.6532871379970958	1.0	0.0038138825324180014	nRNA chr6:11,173,451-11,259,099(+)	1100
22241	chr8:22241	chr8	102253867	104252174	2563	0.0009707142002269418	616	1947	2153	409	1	2509	0.49971652550639534	1.0	0.05852516582130316	nRNA chr8:102,254,197-102,412,759(-)	1054
5933	chr12:5933	chr12	123762227	124315034	2540	0.000962003148098491	385	2155	1511	1029	0	2511	0.4811494086986393	1.0	0.023622047244094488	nRNA chr12:123,762,187-123,935,720(+)	731
19660	chr6:19660	chr6	56458653	56954637	2478	0.0009385211814913624	1429	1049	2464	14	0	2457	0.4094745800086268	0.9518471956253052	0.0012106537530266344	mRNA DST ENST00000361203.7	600
4270	chr11:4270	chr11	66848505	66906558	2472	0.0009362487331100274	853	1619	1014	1440	18	2334	0.603641823182428	1.0	0.2196601941747573	nRNA chr11:66,857,882-66,860,475(-)	513
15783	chr3:15783	chr3	42692672	197782046	2448	0.0009271589395846874	1330	1118	1321	1126	1	2431	0.5161589342907521	1.0	0.09763071895424837	nRNA chr3:42,856,004-42,875,898(-)	229
20487	chr7:20487	chr7	34627467	92242360	2409	0.0009123880251060097	1087	1322	1103	1305	1	2400	0.4988931499262317	1.0	0.1050228310502283	nRNA chr7:92,084,986-92,134,503(-)	348
4692	chr11:4692	chr11	118365047	118602178	2338	0.0008854973859268786	1555	783	1961	375	2	2318	0.3623971829140659	1.0	0.04063301967493584	mRNA KMT2A ENST00000649699.1	466
18367	chr5:18367	chr5	95888315	96807862	2320	0.0008786800407828737	329	1991	980	1337	3	2307	0.516269617518089	1.0	0.05818965517241379	nRNA chr5:96,760,809-96,808,100(-)	566
19375	chr6:19375	chr6	33194409	43576026	2293	0.0008684540230668661	709	1584	1524	761	8	2208	0.5191796835592343	1.0	0.07849978194505015	nRNA chr6:33,200,444-33,202,692(+)	496
15752	chr3:15752	chr3	38846493	169663595	2278	0.0008627729021135284	587	1691	2139	138	1	2242	0.5221152286657685	1.0	0.012291483757682178	nRNA chr3:39,107,679-39,138,903(+)	489
3678	chr11:3678	chr11	19350736	63768688	2260	0.0008559555569695234	389	1871	1957	303	0	2248	0.5786005557642475	0.9998694658279419	0.13053097345132744	nRNA chr11:63,759,891-63,768,775(-)	684
12182	chr19:12182	chr19	56621268	56824888	2244	0.0008498956946192967	1457	787	347	1897	0	2230	0.5034877313549984	0.993209719657898	0.1626559714795009	nRNA chr19:56,765,318-56,823,395(+)	554
17891	chr5:17891	chr5	5422781	126493362	2234	0.000846108280650405	1163	1071	1508	725	1	2225	0.7555525743051523	1.0	0.41763652641002685	mRNA ICE1 ENST00000296564.9	1083
12374	chr2:12374	chr2	21001506	219538359	2217	0.0008396696769032891	1170	1047	1436	780	1	2152	0.4529728359741486	1.0	0.018944519621109608	mRNA APOB ENST00000233242.5	819
20892	chr7:20892	chr7	49228193	100967666	2208	0.0008362610043312867	706	1502	1450	758	0	2122	0.5018018540205852	0.999711275100708	0.13134057971014493	nRNA chr7:100,957,964-100,967,890(+)	649
4257	chr11:4257	chr11	66331885	127099630	2186	0.0008279286935997249	133	2053	780	1406	0	2147	0.615623900968895	1.0	0.2538883806038426	nRNA chr11:66,334,493-66,339,875(+)	688
5278	chr12:5278	chr12	48996288	49055324	2172	0.0008226263140432765	1285	887	2054	111	7	2044	0.38376740265841736	1.0	0.02992633517495396	mRNA KMT2D ENST00000692637.1	626
22179	chr8:22179	chr8	93261885	132480790	2147	0.0008131577791210473	871	1276	1659	484	4	2134	0.4705944535807018	1.0	0.13553795994410806	nRNA chr8:124,998,496-125,022,283(+)	249
9611	chr17:9611	chr17	31094947	31382114	2139	0.000810127847945934	1081	1058	865	1274	0	2129	0.5558077352819856	0.9895359873771667	0.014492753623188406	nRNA chr17:31,258,382-31,336,473(+)	400
4127	chr11:4127	chr11	62433566	62534074	2131	0.0008070979167708205	2131	0	2131	0	0	2121	0.8412227761048469	0.9998085498809814	0.650398873768184	mRNA AHNAK ENST00000378024.9	2130
3614	chr11:3614	chr11	12452817	64844653	2123	0.0008040679855957072	155	1968	2112	1	10	1988	0.7887056780609667	1.0	0.45077720207253885	nRNA chr11:64,823,051-64,844,653(-)	1968
2655	chr10:2655	chr10	38010694	60733491	2096	0.0007938419678796997	1517	579	1809	287	0	2085	0.5749951909280219	1.0	0.14980916030534353	mRNA ANK3 ENST00000280772.7	838
15629	chr3:15629	chr3	14125037	79018652	2090	0.0007915695194983646	286	1804	1227	862	1	2075	0.6304330332133402	1.0	0.1215311004784689	nRNA chr3:78,606,807-78,670,540(-)	463
17253	chr4:17253	chr4	76435797	76800198	2080	0.0007877821055294729	1123	957	14	2066	0	2078	0.6498483744015595	0.9814049601554871	0.13125	mRNA SHROOM3 ENST00000646790.1	890
8243	chr15:8243	chr15	98648919	99133452	2076	0.0007862671399419162	1250	826	867	1209	0	2074	0.7589315673204494	1.0	0.5183044315992292	mRNA SYNM ENST00000336292.11	948
22458	chr8:22458	chr8	143916060	143975365	2059	0.0007798285361948004	1570	489	2059	0	0	1980	0.34862633337388416	0.9915817379951477	0.034968431277319086	mRNA PLEC ENST00000693060.1	799
766	chr1:766	chr1	47765671	171285860	2041	0.0007730111910507953	251	1790	224	1817	0	2035	0.5360624284548744	0.9952579140663147	0.04311611954924057	nRNA chr1:170,863,238-171,251,832(-)	412
8115	chr15:8115	chr15	81324536	90362830	2012	0.0007620276905410093	355	1657	389	1623	0	2003	0.7711982106614976	0.9921541810035706	0.4537773359840954	nRNA chr15:81,332,346-81,362,937(+)	771
12954	chr2:12954	chr2	98997895	172596247	1992	0.000754452862603226	462	1530	724	1267	1	1950	0.46741289206561687	1.0	0.06877510040160642	nRNA chr2:172,427,417-172,504,534(+)	293
1525	chr1:1525	chr1	154983363	246666163	1977	0.0007487717416498884	1321	656	1976	1	0	1943	0.5285130339553584	1.0	0.13657056145675264	mRNA FLAD1 ENST00000368431.7	486
21485	chr7:21485	chr7	152136543	152442911	1977	0.0007487717416498884	1405	572	1966	9	2	1966	0.26765303867014073	1.0	0.006069802731411229	mRNA KMT2C ENST00000683670.1	347
628	chr1:628	chr1	39083871	39486041	1935	0.0007328646029805433	1430	505	1929	6	0	1897	0.6053424818474963	0.9997337460517883	0.20775193798449612	mRNA MACF1 ENST00000289893.8	512
11104	chr19:11104	chr19	8865559	8981296	1926	0.0007294559304085407	1922	4	1924	2	0	1917	0.5452824394858847	1.0	0.003115264797507788	mRNA MUC16 ENST00000397910.8	1888
8187	chr15:8187	chr15	82889101	89655127	1925	0.0007290771890116516	740	1185	515	1410	0	1917	0.5927677870633734	0.9981451630592346	0.09246753246753246	mRNA TICRR ENST00000268138.12	546
98	chr1:98	chr1	2315257	231353654	1924	0.0007286984476147625	574	1350	1332	319	273	1903	0.6487591262585377	0.9996899366378784	0.35706860706860705	nRNA ENST00000366645.1	428
4510	chr11:4510	chr11	92336062	92891475	1895	0.0007177149471049765	1738	157	1858	37	0	1894	0.7925651824175525	1.0	0.5862796833773087	mRNA FAT3 ENST00000409404.6	1697
4274	chr11:4274	chr11	67180082	67256030	1893	0.0007169574643111982	652	1241	736	1157	0	1889	0.5096429539440969	0.9766881465911865	0.012150026413100899	nRNA chr11:67,252,335-67,261,545(-)	462
4236	chr11:4236	chr11	28570650	65872475	1891	0.0007161999815174198	451	1440	794	1096	1	1777	0.37868906224431154	1.0	0.02009518773135907	nRNA chr11:65,860,432-65,866,440(+)	277
4110	chr11:4110	chr11	61714957	94913750	1890	0.0007158212401205306	329	1561	484	1405	1	1869	0.5471462583366447	1.0	0.10582010582010581	nRNA chr11:61,768,500-61,790,603(-)	420
17049	chr4:17049	chr4	47031590	48037719	1888	0.0007150637573267524	459	1429	629	1259	0	1877	0.6651581120475045	1.0	0.19597457627118645	nRNA chr4:47,831,329-47,907,534(+)	346
4341	chr11:4341	chr11	70472413	124898190	1885	0.0007139275331360848	624	1261	1120	765	0	1867	0.5470955478274498	1.0	0.1856763925729443	nRNA chr11:124,884,710-124,897,868(-)	407
3135	chr10:3135	chr10	100969493	128300525	1857	0.000703322774023188	394	1463	540	1314	3	1824	0.5352082827956479	1.0	0.1254711900915455	nRNA chr10:100,972,711-100,985,258(+)	495
15564	chr3:15564	chr3	1092672	56683224	1832	0.0006938542391009588	851	981	1709	123	0	1818	0.43948844017808664	1.0	0.0453056768558952	nRNA chr3:56,622,858-56,683,237(-)	254
4164	chr11:4164	chr11	63839004	63910852	1824	0.0006908243079258455	258	1566	1823	0	1	1773	0.48191355959575605	1.0	0.0010964912280701754	nRNA chr11:63,898,086-63,909,539(+)	1025
7761	chr15:7761	chr15	41503782	83283457	1812	0.0006862794111631755	812	1000	468	1343	1	1780	0.5196652292750907	1.0	0.05132450331125828	mRNA BNC1 ENST00000345382.7	374
14271	chr20:14271	chr20	41028933	41205065	1783	0.0006752959106533895	751	1032	1612	171	0	1693	0.5946588217099555	0.9922667145729065	0.13067863151991027	mRNA ZHX3 ENST00000432768.6	589
6100	chr13:6100	chr13	23203708	23411581	1773	0.0006715084966844978	1759	14	1764	9	0	1770	0.5270719531460235	0.7684155106544495	0.0	mRNA SACS ENST00000402364.1	1303
