region_id	chrom	bin_start_0based	bin_end	gdna_false_rna	region_false	fraction_of_region_false	browser_region	rank
chr11_malat1_65500k_65510k	chr11	65504000	65505000	826	3822	0.21611721611721613	chr11:65,504,001-65,505,000	1
chr11_malat1_65500k_65510k	chr11	65500000	65501000	727	3822	0.1902145473574045	chr11:65,500,001-65,501,000	2
chr11_malat1_65500k_65510k	chr11	65505000	65506000	727	3822	0.1902145473574045	chr11:65,505,001-65,506,000	3
chr11_malat1_65500k_65510k	chr11	65501000	65502000	546	3822	0.14285714285714285	chr11:65,501,001-65,502,000	4
chr11_malat1_65500k_65510k	chr11	65503000	65504000	525	3822	0.13736263736263737	chr11:65,503,001-65,504,000	5
chr1_flg2_152350k_152360k	chr1	152356000	152357000	517	2868	0.18026499302649931	chr1:152,356,001-152,357,000	1
chr1_flg2_152350k_152360k	chr1	152353000	152354000	447	2868	0.15585774058577406	chr1:152,353,001-152,354,000	2
chr1_flg2_152350k_152360k	chr1	152351000	152352000	397	2868	0.13842398884239887	chr1:152,351,001-152,352,000	3
chr1_flg2_152350k_152360k	chr1	152352000	152353000	391	2868	0.13633193863319387	chr1:152,352,001-152,353,000	4
chr1_flg2_152350k_152360k	chr1	152354000	152355000	359	2868	0.12517433751743376	chr1:152,354,001-152,355,000	5
chr2_long_nrna_178530k_178620k	chr2	178539000	178540000	363	18664	0.019449207029575654	chr2:178,539,001-178,540,000	1
chr2_long_nrna_178530k_178620k	chr2	178548000	178549000	340	18664	0.018216888126875268	chr2:178,548,001-178,549,000	2
chr2_long_nrna_178530k_178620k	chr2	178569000	178570000	333	18664	0.01784183454779254	chr2:178,569,001-178,570,000	3
chr2_long_nrna_178530k_178620k	chr2	178530000	178531000	325	18664	0.017413201885983713	chr2:178,530,001-178,531,000	4
chr2_long_nrna_178530k_178620k	chr2	178565000	178566000	324	18664	0.017359622803257608	chr2:178,565,001-178,566,000	5
chr9_znf462_106920k_106930k	chr9	106928000	106929000	684	2839	0.24092990489609017	chr9:106,928,001-106,929,000	1
chr9_znf462_106920k_106930k	chr9	106926000	106927000	550	2839	0.19373018668545264	chr9:106,926,001-106,927,000	2
chr9_znf462_106920k_106930k	chr9	106927000	106928000	462	2839	0.16273335681578022	chr9:106,927,001-106,928,000	3
chr9_znf462_106920k_106930k	chr9	106924000	106925000	409	2839	0.14406481155336387	chr9:106,924,001-106,925,000	4
chr9_znf462_106920k_106930k	chr9	106925000	106926000	364	2839	0.1282141599154632	chr9:106,925,001-106,926,000	5
chrx_ar_67540k_67550k	chrX	67545000	67546000	2172	3270	0.6642201834862386	chrX:67,545,001-67,546,000	1
chrx_ar_67540k_67550k	chrX	67546000	67547000	869	3270	0.26574923547400614	chrX:67,546,001-67,547,000	2
chrx_ar_67540k_67550k	chrX	67544000	67545000	229	3270	0.07003058103975535	chrX:67,544,001-67,545,000	3
