region_id	predicted_detail	zc	zs	count
chr11_malat1_65500k_65510k	mrna	ambig_opp_strand	unspliced	1939
chr11_malat1_65500k_65510k	nrna	ambig_opp_strand	unspliced	1819
chr11_malat1_65500k_65510k	nrna	ambig_opp_strand	spliced_implicit	22
chr11_malat1_65500k_65510k	mrna	ambig_opp_strand	spliced_implicit	21
chr11_malat1_65500k_65510k	mrna	unambig	spliced_annot	17
chr11_malat1_65500k_65510k	mrna	ambig_same_strand	spliced_annot	4
chrx_ar_67540k_67550k	mrna	ambig_same_strand	unspliced	3252
chrx_ar_67540k_67550k	nrna	ambig_same_strand	unspliced	14
chrx_ar_67540k_67550k	mrna	ambig_same_strand	spliced_unannot	4
chr2_long_nrna_178530k_178620k	nrna	ambig_opp_strand	unspliced	17367
chr2_long_nrna_178530k_178620k	mrna	ambig_opp_strand	unspliced	1085
chr2_long_nrna_178530k_178620k	nrna	ambig_opp_strand	spliced_implicit	162
chr2_long_nrna_178530k_178620k	mrna	ambig_opp_strand	spliced_implicit	44
chr2_long_nrna_178530k_178620k	mrna	ambig_same_strand	spliced_annot	5
chr2_long_nrna_178530k_178620k	mrna	unambig	spliced_annot	1
chr1_flg2_152350k_152360k	mrna	ambig_opp_strand	unspliced	1493
chr1_flg2_152350k_152360k	nrna	ambig_opp_strand	unspliced	1354
chr1_flg2_152350k_152360k	nrna	ambig_opp_strand	spliced_unannot	11
chr1_flg2_152350k_152360k	mrna	ambig_opp_strand	spliced_unannot	9
chr1_flg2_152350k_152360k	mrna	ambig_opp_strand	spliced_implicit	1
chr9_znf462_106920k_106930k	mrna	ambig_same_strand	unspliced	2689
chr9_znf462_106920k_106930k	nrna	ambig_same_strand	unspliced	150
