locus_id	locus_key	chrom	observed_start_1based	observed_end	gdna_false_rna	fraction_of_false_rna	pred_mrna	pred_nrna	ambig_same	ambig_opp	unambig	unspliced	mean_zw	max_zw	zw_ge_90_rate	top_target	top_target_count
3	chr2:3	chr2	3130406	241979860	85468	0.035707511578996626	20570	64898	40934	43394	148	83683	0.4914516848652235	1.0	0.08521317920157252	nRNA chr2:178,525,988-178,804,642(-)	14066
3	chr1:3	chr1	131229	248593775	39107	0.01633843842513948	13163	25944	24931	11333	240	38222	0.5206275846670119	1.0	0.08561127163934845	nRNA chr1:152,168,124-152,332,686(+)	1688
3	chr7:3	chr7	997379	158587769	31013	0.012956861709638955	8645	22368	23329	7242	63	30414	0.44674620266812304	1.0	0.04440073517557153	nRNA chr7:141,995,878-142,106,747(+)	1558
3	chr11:3	chr11	124137	130295870	29275	0.012230746027462045	9518	19757	15955	13003	74	28547	0.5312844881486947	1.0	0.1315456874466268	nRNA ENST00000698129.1	1701
3	chr3:3	chr3	1092672	198225656	25236	0.010543299974347812	8326	16910	18341	6671	27	24815	0.4801842716862701	1.0	0.053772388651133304	nRNA chr3:38,039,204-38,124,025(+)	924
3	chr5:3	chr5	5422637	181331826	24819	0.010369082345194893	7369	17450	13109	10865	567	24487	0.5487311360306506	1.0	0.12260767960030622	nRNA chr5:141,136,682-141,241,744(-)	1704
3	chr9:3	chr9	14524	138331545	24259	0.01013512102067299	8006	16253	16294	6797	890	24079	0.5060652406483347	1.0	0.08343295271857867	nRNA chr9:110,365,247-110,579,741(-)	2170
3	chr8:3	chr8	120387	140451471	23069	0.009637953206063943	6116	16953	16935	5948	17	22800	0.4821755703769337	1.0	0.05747973470891673	nRNA chr8:109,362,460-109,537,207(+)	1569
3	chr4:3	chr4	1900622	190195896	19071	0.007967636464209348	6591	12480	12388	6471	9	18877	0.4746926104158431	1.0	0.05484767447957632	nRNA chr4:78,057,322-78,544,269(+)	1093
3	chr12:3	chr12	15172	133204855	18931	0.007909146133078873	3999	14932	15064	3589	52	18456	0.45146056811123697	1.0	0.029422640114098567	nRNA chr12:26,335,351-26,833,194(-)	934
3	chr17:3	chr17	60222	83221879	17992	0.00751684312642518	3593	14399	9397	8169	261	17606	0.5188659651558175	1.0	0.05802578923966207	nRNA chr17:28,614,881-28,645,454(-)	1305
